# Selection         : all 
# Volume            : 1.395979868099e-03
# Time              	max(p)	location	cell	processor
0                   	0.000000000000e+00	(4.920000000000e+00 8.851213587211e-02 1.000000000001e-01)	0	15
1                   	1.247347383075e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
2                   	1.688789015005e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
3                   	1.443030509662e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
4                   	1.091410097512e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
5                   	9.108775327918e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
6                   	8.810914732044e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
7                   	9.012492101608e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
8                   	9.131844478570e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
9                   	9.095658290785e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
10                  	9.018461980706e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
11                  	8.982647403333e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
12                  	8.998808414097e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
13                  	9.045531349687e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
14                  	9.104291011151e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
15                  	9.168340954650e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
16                  	9.237589476173e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
17                  	9.312793545945e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
18                  	9.393501894049e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
19                  	9.478457707430e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
20                  	9.566414088787e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
21                  	9.656467663082e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
22                  	9.748000945081e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
23                  	9.840531223432e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
24                  	9.933629631483e+00	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
25                  	1.002690323131e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
26                  	1.012000490872e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
27                  	1.021263756663e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
28                  	1.030455008365e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
29                  	1.039552603957e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
30                  	1.048538464136e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
31                  	1.057396910207e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
32                  	1.066114673028e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
33                  	1.074680664741e+01	(4.000000000000e-02 9.956494065742e-02 9.999999999995e-02)	15	2
