# Selection         : all 
# Volume            : 1.395979868099e-03
# Time              	maxMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.920000000000e+00 8.851213587211e-02 1.000000000001e-01)	0	15
1                   	1.030750896033e+00	(7.960000000000e+00 1.997892471641e-02 1.000000000002e-01)	173	11
2                   	1.068492137681e+00	(7.960000000000e+00 1.997892471641e-02 1.000000000002e-01)	173	11
3                   	1.097706494418e+00	(7.960000000000e+00 1.997892471641e-02 1.000000000002e-01)	173	11
4                   	1.117994354387e+00	(1.200000000000e-01 2.679914685508e-02 1.000000000002e-01)	17	0
5                   	1.133982294927e+00	(1.200000000000e-01 2.679914685508e-02 1.000000000002e-01)	17	0
6                   	1.148972225658e+00	(3.600000000000e-01 1.997892471641e-02 1.000000000002e-01)	58	0
7                   	1.164804367779e+00	(3.600000000000e-01 1.997892471641e-02 1.000000000002e-01)	58	0
8                   	1.180580841645e+00	(3.600000000000e-01 1.997892471641e-02 1.000000000002e-01)	58	0
9                   	1.195789287793e+00	(3.600000000000e-01 1.997892471641e-02 1.000000000002e-01)	58	0
10                  	1.210316919018e+00	(3.600000000000e-01 1.997892471641e-02 1.000000000002e-01)	58	0
11                  	1.224317148232e+00	(3.600000000000e-01 1.997892471641e-02 1.000000000002e-01)	58	0
12                  	1.237980315275e+00	(3.600000000000e-01 1.997892471641e-02 1.000000000002e-01)	58	0
13                  	1.251421658969e+00	(3.600000000000e-01 1.997892471641e-02 1.000000000002e-01)	58	0
14                  	1.264942380390e+00	(5.200000000000e-01 1.997892471641e-02 1.000000000002e-01)	86	0
15                  	1.278493540418e+00	(5.200000000000e-01 1.997892471641e-02 1.000000000002e-01)	86	0
16                  	1.291882955973e+00	(5.200000000000e-01 1.997892471641e-02 1.000000000002e-01)	86	0
17                  	1.305164221446e+00	(4.400000000000e-01 1.997892471641e-02 1.000000000002e-01)	72	0
18                  	1.318299986727e+00	(4.400000000000e-01 1.997892471641e-02 1.000000000002e-01)	72	0
19                  	1.331265551843e+00	(4.400000000000e-01 1.997892471641e-02 1.000000000002e-01)	72	0
20                  	1.344323660056e+00	(5.200000000000e-01 1.270066360982e-02 9.999999999994e-02)	85	0
21                  	1.357626776176e+00	(5.200000000000e-01 1.270066360982e-02 9.999999999994e-02)	85	0
22                  	1.370797490102e+00	(5.200000000000e-01 1.270066360982e-02 9.999999999994e-02)	85	0
23                  	1.383829338255e+00	(5.200000000000e-01 1.270066360982e-02 9.999999999994e-02)	85	0
24                  	1.396714816528e+00	(5.200000000000e-01 1.270066360982e-02 9.999999999994e-02)	85	0
25                  	1.409550136479e+00	(6.000000000000e-01 1.270066360982e-02 9.999999999994e-02)	99	0
26                  	1.422322038251e+00	(6.000000000000e-01 1.270066360982e-02 9.999999999994e-02)	99	0
27                  	1.434951255568e+00	(6.000000000000e-01 1.270066360982e-02 9.999999999994e-02)	99	0
28                  	1.447429201855e+00	(6.000000000000e-01 1.270066360982e-02 9.999999999994e-02)	99	0
29                  	1.459747125419e+00	(6.000000000000e-01 1.270066360982e-02 9.999999999994e-02)	99	0
30                  	1.471908394531e+00	(6.800000000000e-01 1.270066360982e-02 9.999999999994e-02)	113	0
