# Selection         : all 
# Volume            : 1.395979868099e-03
# Time              	min(p)	location	cell	processor
0                   	0.000000000000e+00	(4.920000000000e+00 8.851213587211e-02 1.000000000001e-01)	0	15
1                   	6.177012851392e-02	(7.960000000000e+00 1.270066360982e-02 9.999999999994e-02)	172	11
2                   	8.330937024834e-02	(7.960000000000e+00 1.270066360982e-02 9.999999999994e-02)	172	11
3                   	7.078222565449e-02	(7.960000000000e+00 1.270066360982e-02 9.999999999994e-02)	172	11
4                   	5.320271885836e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
5                   	4.425685456488e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
6                   	4.280945386149e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
7                   	4.379361178548e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
8                   	4.432935909174e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
9                   	4.408274212836e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
10                  	4.364008346966e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
11                  	4.341157582338e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
12                  	4.344435784481e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
13                  	4.362816351527e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
14                  	4.387033032716e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
15                  	4.413828660159e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
16                  	4.443243873036e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
17                  	4.475682109199e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
18                  	4.510912716154e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
19                  	4.548300639627e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
20                  	4.587225106473e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
21                  	4.627242393960e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
22                  	4.668051348647e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
23                  	4.709417489048e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
24                  	4.751129955931e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
25                  	4.792996486888e-02	(7.960000000000e+00 5.605608193473e-03 9.999999999983e-02)	171	11
26                  	4.834840120347e-02	(7.960000000000e+00 9.956494065742e-02 9.999999999995e-02)	187	9
27                  	4.876513909939e-02	(7.960000000000e+00 9.956494065742e-02 9.999999999995e-02)	187	9
28                  	4.917903293232e-02	(7.960000000000e+00 9.956494065742e-02 9.999999999995e-02)	187	9
29                  	4.958902672808e-02	(7.960000000000e+00 9.956494065742e-02 9.999999999995e-02)	187	9
