# Selection         : all 
# Volume            : 1.395979868099e-03
# Time              	minMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.920000000000e+00 8.851213587211e-02 1.000000000001e-01)	0	15
1                   	4.756219472368e-01	(7.960000000000e+00 9.956494065742e-02 9.999999999995e-02)	187	9
2                   	2.782069713369e-01	(7.960000000000e+00 9.956494065742e-02 9.999999999995e-02)	187	9
3                   	1.921352408515e-01	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
4                   	1.482956821744e-01	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
5                   	1.226017789495e-01	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
6                   	1.057708064537e-01	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
7                   	9.380403378558e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
8                   	8.477181962618e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
9                   	7.764655971506e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
10                  	7.183698379310e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
11                  	6.698074680825e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
12                  	6.284290943827e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
13                  	5.926322723001e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
14                  	5.612773159526e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
15                  	5.335272085130e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
16                  	5.087517978367e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
17                  	4.864667984348e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
18                  	4.662931806290e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
19                  	4.479294208569e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
20                  	4.311322013997e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
21                  	4.157027111741e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
22                  	4.014767064608e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
23                  	3.883171522521e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
24                  	3.761086772710e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
25                  	3.647533358585e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
26                  	3.541673332134e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
27                  	3.442784701685e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
28                  	3.350241258507e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
29                  	3.263496495971e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
30                  	3.182070672956e-02	(2.000000000000e-01 9.956494065742e-02 9.999999999995e-02)	47	2
