#            face_x              face_y              face_z                 U_x                 U_y                 U_z   wallShearStress_x   wallShearStress_y   wallShearStress_z               yPlus                   p
               0.04     0.0999847695156                 0.1                   0                   0                   0     -0.201066519424     0.0484002967009   3.26507198604e-12     0.0944503213166       13.5843042816
               0.12     0.0999847695156                 0.1                   0                   0                   0     -0.128375440367   0.000358147400448   4.72299414306e-12     0.0752299228508       12.5659099992
                0.2     0.0999847695156                 0.1                   0                   0                   0    -0.0848860580671   6.84773125112e-05    5.2176577164e-12     0.0611591178335       12.7579367561
               0.28     0.0999847695156                 0.1                   0                   0                   0    -0.0957543521925   7.64706504788e-06   5.24105483833e-12     0.0649563463488        12.411356156
               0.36     0.0999847695156                 0.1                   0                   0                   0    -0.0853722919061   1.84770318815e-05    5.1994063517e-12     0.0613339291235       12.3429901617
               0.44     0.0999847695156                 0.1                   0                   0                   0    -0.0871651569574   6.26164752581e-06   5.00646984063e-12     0.0619746035282       12.1489102908
               0.52     0.0999847695156                 0.1                   0                   0                   0    -0.0838535704911   8.14767864924e-06   4.73856309453e-12     0.0607859321338       12.0258443523
                0.6     0.0999847695156                 0.1                   0                   0                   0    -0.0837061499624   4.34394868047e-06    4.3932257715e-12     0.0607324749942       11.8741346557
               0.68     0.0999847695156                 0.1                   0                   0                   0    -0.0824330834421   4.14862324489e-06   4.01429165724e-12     0.0602688727974       11.7417201879
               0.76     0.0999847695156                 0.1                   0                   0                   0    -0.0820517600643   2.72160539042e-06   3.61549521992e-12      0.060129313494       11.6034391084
               0.84     0.0999847695156                 0.1                   0                   0                   0    -0.0814666916971   2.29597888515e-06   3.22565387376e-12     0.0599145545188       11.4710075307
               0.92     0.0999847695156                 0.1                   0                   0                   0    -0.0811672217315   1.65017303576e-06   2.85207756643e-12     0.0598043306689       11.3378602019
                  1     0.0999847695156                 0.1                   0                   0                   0    -0.0808626881519   1.32172057982e-06   2.50364555872e-12     0.0596920344229       11.2067853959
               1.08     0.0999847695156                 0.1                   0                   0                   0    -0.0806664273732   9.88613023993e-07   2.18517887526e-12     0.0596195514884       11.0759831979
               1.16     0.0999847695156                 0.1                   0                   0                   0    -0.0804963728906   7.74833449492e-07   1.89873014468e-12     0.0595566757313        10.946058589
               1.24     0.0999847695156                 0.1                   0                   0                   0    -0.0803750518161   5.89845723603e-07   1.64290114065e-12     0.0595117780033       10.8164733314
               1.32     0.0999847695156                 0.1                   0                   0                   0    -0.0802766934175   4.58207530904e-07    1.4172308853e-12     0.0594753532812       10.6873200995
                1.4     0.0999847695156                 0.1                   0                   0                   0    -0.0802033151417   3.51583216184e-07   1.21986833564e-12     0.0594481648238       10.5584140762
               1.48     0.0999847695156                 0.1                   0                   0                   0    -0.0801454672485   2.72159597262e-07   1.04651150142e-12     0.0594267219876       10.4297423494
               1.56     0.0999847695156                 0.1                   0                   0                   0    -0.0801014571916   2.09586718351e-07   8.96147896131e-13     0.0594104033237       10.3012294679
               1.64     0.0999847695156                 0.1                   0                   0                   0    -0.0800671682221   1.62024391728e-07   7.66624358832e-13     0.0593976860735       10.1728503565
               1.72     0.0999847695156                 0.1                   0                   0                   0    -0.0800408564038   1.24984085998e-07   6.53891730252e-13     0.0593879255787       10.0445689098
                1.8     0.0999847695156                 0.1                   0                   0                   0    -0.0800204574031   9.65756583633e-08   5.57057195949e-13      0.059380357368       9.91636573666
               1.88     0.0999847695156                 0.1                   0                   0                   0    -0.0800047447979   7.45574608739e-08   4.75367718707e-13     0.0593745271941       9.78822157805
               1.96     0.0999847695156                 0.1                   0                   0                   0    -0.0799925881084   5.76026800651e-08   4.03622510486e-13     0.0593700160525       9.66012373283
               2.04     0.0999847695156                 0.1                   0                   0                   0    -0.0799832085458   4.44872811058e-08    3.4270257918e-13     0.0593665352213       9.53206129439
               2.12     0.0999847695156                 0.1                   0                   0                   0    -0.0799759577668   3.43697568493e-08   2.90802881049e-13      0.059363844259       9.40402639462
                2.2     0.0999847695156                 0.1                   0                   0                   0    -0.0799703591901   2.65493769181e-08   2.46421406648e-13     0.0593617663906       9.27601267499
               2.28     0.0999847695156                 0.1                   0                   0                   0    -0.0799660327241   2.05115925009e-08   2.08938207795e-13     0.0593601606065       9.14801536601
               2.36     0.0999847695156                 0.1                   0                   0                   0    -0.0799626909741   1.58460400478e-08   1.76844824677e-13     0.0593589202737       9.02003071128
               2.44     0.0999847695156                 0.1                   0                   0                   0    -0.0799601088751   1.22425845944e-08   1.49535277506e-13     0.0593579618774        8.8920558453
               2.52     0.0999847695156                 0.1                   0                   0                   0    -0.0799581141571   9.45839056104e-09   1.26338523577e-13     0.0593572214881       8.76408853588
                2.6     0.0999847695156                 0.1                   0                   0                   0    -0.0799565729541   7.30762241212e-09   1.06672337338e-13     0.0593566494261       8.63612706782
               2.68     0.0999847695156                 0.1                   0                   0                   0    -0.0799553822595    5.6458872165e-09   8.99570110696e-14     0.0593562074615       8.50817011128
               2.76     0.0999847695156                 0.1                   0                   0                   0    -0.0799544622932   4.36210374904e-09   7.58534512139e-14     0.0593558659842        8.3802166412
               2.84     0.0999847695156                 0.1                   0                   0                   0    -0.0799537515249   3.37022609149e-09   6.37635639104e-14     0.0593556021566       8.25226586443
               2.92     0.0999847695156                 0.1                   0                   0                   0    -0.0799532023661   2.60391194285e-09   5.36744320233e-14     0.0593553983155       8.12431716877
                  3     0.0999847695156                 0.1                   0                   0                   0    -0.0799527780768   2.01184045715e-09   4.51485466731e-14     0.0593552408241       7.99637008092
               3.08     0.0999847695156                 0.1                   0                   0                   0      -0.07995245026   1.55439406824e-09   3.79148067553e-14     0.0593551191417       7.86842423536
               3.16     0.0999847695156                 0.1                   0                   0                   0    -0.0799521969808   1.20096253838e-09   3.18194798268e-14     0.0593550251269       7.74047934959
               3.24     0.0999847695156                 0.1                   0                   0                   0    -0.0799520012902   9.27899835434e-10   2.66889446594e-14     0.0593549524883        7.6125352054
               3.32     0.0999847695156                 0.1                   0                   0                   0    -0.0799518500948   7.16924026378e-10   2.21862530938e-14     0.0593548963657       7.48459163417
                3.4     0.0999847695156                 0.1                   0                   0                   0    -0.0799517332763   5.53912391014e-10   1.85436465531e-14     0.0593548530038       7.35664850563
               3.48     0.0999847695156                 0.1                   0                   0                   0    -0.0799516430196   4.27967354987e-10   1.54449014343e-14     0.0593548195011       7.22870571913
               3.56     0.0999847695156                 0.1                   0                   0                   0    -0.0799515732841   3.30663739226e-10   1.29070116343e-14     0.0593547936159       7.10076319688
               3.64     0.0999847695156                 0.1                   0                   0                   0    -0.0799515194045   2.55479848897e-10   1.05879473092e-14     0.0593547736162       6.97282087882
               3.72     0.0999847695156                 0.1                   0                   0                   0    -0.0799514777757   1.97393912946e-10   9.03936478318e-15     0.0593547581639       6.84487871851
                3.8     0.0999847695156                 0.1                   0                   0                   0    -0.0799514456121   1.52514717614e-10   7.68752822801e-15     0.0593547462249       6.71693668008
               3.88     0.0999847695156                 0.1                   0                   0                   0     -0.079951420761   1.17834512496e-10   6.19535082343e-15     0.0593547370005       6.58899473583
               3.96     0.0999847695156                 0.1                   0                   0                   0    -0.0799514015609   9.10441538383e-11   5.00777390202e-15     0.0593547298735       6.46105286434
               4.04     0.0999847695156                 0.1                   0                   0                   0    -0.0799513867262   7.03441055728e-11   3.99810719914e-15     0.0593547243669       6.33311104906
               4.12     0.0999847695156                 0.1                   0                   0                   0    -0.0799513752644   5.43498915719e-11   3.25518903352e-15     0.0593547201124       6.20516927722
                4.2     0.0999847695156                 0.1                   0                   0                   0    -0.0799513664084   4.19896688777e-11   2.57695762583e-15     0.0593547168252       6.07722753894
               4.28     0.0999847695156                 0.1                   0                   0                   0    -0.0799513595661   3.24441711948e-11   1.98263322979e-15     0.0593547142854       5.94928582659
               4.36     0.0999847695156                 0.1                   0                   0                   0    -0.0799513542797   2.50667943302e-11   1.51914230076e-15     0.0593547123231       5.82134413427
               4.44     0.0999847695156                 0.1                   0                   0                   0    -0.0799513501952    1.9366674238e-11   1.10250838718e-15     0.0593547108069       5.69340245743
               4.52     0.0999847695156                 0.1                   0                   0                   0    -0.0799513470391   1.49633274667e-11   9.12973382197e-16     0.0593547096355       5.56546079255
                4.6     0.0999847695156                 0.1                   0                   0                   0     -0.079951344601   1.15619764025e-11   5.30365360197e-16     0.0593547087304       5.43751913692
               4.68     0.0999847695156                 0.1                   0                   0                   0    -0.0799513427169   8.93162932653e-12    3.0287041117e-16     0.0593547080311       5.30957748842
