# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	top	(-4.763845936314e+00 -2.417643540261e-18 5.132709122114e-24)	(-4.763845936313e+00 -2.462243380795e-21 5.132709122114e-24)
1.000000000000e+02	top	(-2.011380045259e-01 -1.287392615975e-09 -1.081093910676e-15)	(-8.598669845702e-02 4.839951277759e-02 4.294331496979e-12)
2.000000000000e+02	top	(-2.010667208014e-01 -2.321685776168e-10 -1.349287094270e-15)	(-8.016151777852e-02 4.840029666205e-02 5.204414267967e-12)
3.000000000000e+02	top	(-2.010665202249e-01 -1.211271976922e-11 -1.025717427853e-15)	(-7.995873793296e-02 4.840029670066e-02 5.240819392795e-12)
4.000000000000e+02	top	(-2.010665194286e-01 -3.572265514604e-13 -9.793223630083e-16)	(-7.995159687858e-02 4.840029670086e-02 5.241185965135e-12)
5.000000000000e+02	top	(-2.010665194226e-01 -2.446088060799e-12 -9.600531732267e-16)	(-7.995134591823e-02 4.840029670136e-02 5.241177029953e-12)
6.000000000000e+02	top	(-2.010665194256e-01 -6.073012238393e-14 -8.567350217837e-16)	(-7.995133664272e-02 4.840029670080e-02 5.241201434207e-12)
7.000000000000e+02	top	(-2.010665194178e-01 -1.801277286820e-14 -8.906534562297e-16)	(-7.995133614277e-02 4.840029670089e-02 5.241164674505e-12)
8.000000000000e+02	top	(-2.010665194228e-01 -1.483628841073e-15 -8.263778308040e-16)	(-7.995133621373e-02 4.840029670088e-02 5.241245497572e-12)
9.000000000000e+02	top	(-2.010665194241e-01 -1.074213294028e-17 -8.570007923314e-16)	(-7.995133632859e-02 4.840029670086e-02 5.241307721831e-12)
1.000000000000e+03	top	(-2.010665194249e-01 -1.680702461222e-14 -8.805243831357e-16)	(-7.995133634663e-02 4.840029670086e-02 5.241217578411e-12)
