# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.581641944666e-01	4.581641944667e-01	4.581641944667e-01
100                 	top	6.155423572805e-02	9.446687079630e-02	6.210243911108e-02
200                 	top	5.943266902813e-02	9.445036795588e-02	6.012070243510e-02
300                 	top	5.935745133099e-02	9.445032150233e-02	6.005656055998e-02
400                 	top	5.935480233482e-02	9.445032131729e-02	6.005452441516e-02
500                 	top	5.935470902623e-02	9.445032131813e-02	6.005446059445e-02
600                 	top	5.935470576941e-02	9.445032131683e-02	6.005445864303e-02
700                 	top	5.935470565781e-02	9.445032131663e-02	6.005445858521e-02
800                 	top	5.935470565451e-02	9.445032131663e-02	6.005445858363e-02
900                 	top	5.935470565468e-02	9.445032131663e-02	6.005445858371e-02
1000                	top	5.935470565487e-02	9.445032131663e-02	6.005445858384e-02
