# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.581641944666e-01	4.581641944667e-01	4.581641944667e-01
1                   	top	3.159745393501e-01	3.162483752436e-01	3.159803245857e-01
2                   	top	2.416602109521e-01	2.423983918172e-01	2.416717575911e-01
3                   	top	2.008281837583e-01	2.021044823195e-01	2.008464846094e-01
4                   	top	1.764352670538e-01	1.783067073369e-01	1.764869135566e-01
5                   	top	1.604240706184e-01	1.629099460100e-01	1.605323424860e-01
6                   	top	1.490061020605e-01	1.521062621967e-01	1.491867202007e-01
7                   	top	1.403239829771e-01	1.440329938023e-01	1.405821658047e-01
8                   	top	1.333972567929e-01	1.377123331161e-01	1.337317911408e-01
9                   	top	1.276680588616e-01	1.325908819463e-01	1.280768288105e-01
10                  	top	1.227991019534e-01	1.283344269986e-01	1.232820664916e-01
11                  	top	1.185758205806e-01	1.247295320085e-01	1.191350917529e-01
12                  	top	1.148548364553e-01	1.216326532469e-01	1.154934687546e-01
13                  	top	1.115356737107e-01	1.189425794654e-01	1.122566076058e-01
14                  	top	1.085450170851e-01	1.165850943638e-01	1.093506538953e-01
15                  	top	1.058277181931e-01	1.145041165715e-01	1.067199351865e-01
16                  	top	1.033413485455e-01	1.126562689346e-01	1.043216323959e-01
17                  	top	1.010526596707e-01	1.110073333339e-01	1.021221849707e-01
18                  	top	9.893516402215e-02	1.095298339193e-01	1.000947987288e-01
19                  	top	9.696744229501e-02	1.082013536348e-01	9.821772275596e-02
20                  	top	9.513194517074e-02	1.070033456088e-01	9.647305411062e-02
21                  	top	9.341413024152e-02	1.059202795828e-01	9.484588825198e-02
22                  	top	9.180182657778e-02	1.049390153654e-01	9.332369344932e-02
23                  	top	9.028475692017e-02	1.040483326862e-01	9.189583698525e-02
24                  	top	8.885417168913e-02	1.032385720335e-01	9.055322102817e-02
25                  	top	8.750256468006e-02	1.025013565746e-01	8.928800069776e-02
26                  	top	8.622345014801e-02	1.018293744425e-01	8.809336402217e-02
27                  	top	8.501118662497e-02	1.012162064154e-01	8.696335835330e-02
28                  	top	8.386083597828e-02	1.006561880210e-01	8.589275172567e-02
29                  	top	8.276804962020e-02	1.001442980236e-01	8.487692084409e-02
30                  	top	8.172897580673e-02	9.967606736835e-02	8.391175989890e-02
31                  	top	8.074018347786e-02	9.924750416774e-02	8.299360573178e-02
32                  	top	7.979859953721e-02	9.885503137742e-02	8.211917592340e-02
33                  	top	7.890145698416e-02	9.849543459687e-02	8.128551737547e-02
34                  	top	7.804625164713e-02	9.816581802282e-02	8.048996327839e-02
35                  	top	7.723070593091e-02	9.786356702391e-02	7.973009684970e-02
36                  	top	7.645273840599e-02	9.758631613717e-02	7.900372059987e-02
37                  	top	7.571043806849e-02	9.733192153324e-02	7.830883019235e-02
38                  	top	7.500204249187e-02	9.709843719058e-02	7.764359208231e-02
39                  	top	7.432591943964e-02	9.688409416024e-02	7.700632429822e-02
40                  	top	7.368055124035e-02	9.668728243003e-02	7.639547986037e-02
41                  	top	7.306452142667e-02	9.650653499212e-02	7.580963239882e-02
42                  	top	7.247650332606e-02	9.634051379381e-02	7.524746363928e-02
43                  	top	7.191525027648e-02	9.618799730253e-02	7.470775248415e-02
44                  	top	7.137958716348e-02	9.604786946118e-02	7.418936545044e-02
45                  	top	7.086840320030e-02	9.591910984474e-02	7.369124825413e-02
46                  	top	7.038064577127e-02	9.580078485582e-02	7.321241839157e-02
47                  	top	6.991531507234e-02	9.569203983440e-02	7.275195857362e-02
48                  	top	6.947145948087e-02	9.559209196996e-02	7.230901089810e-02
49                  	top	6.904817151552e-02	9.550022392184e-02	7.188277167485e-02
50                  	top	6.864458431114e-02	9.541577806437e-02	7.147248680694e-02
51                  	top	6.825986861170e-02	9.533815128450e-02	7.107744766286e-02
52                  	top	6.789323015202e-02	9.526679027205e-02	7.069698737362e-02
53                  	top	6.754390733943e-02	9.520118725011e-02	7.033047750504e-02
54                  	top	6.721116922778e-02	9.514087609812e-02	6.997732506440e-02
55                  	top	6.689431369848e-02	9.508542882898e-02	6.963696980242e-02
56                  	top	6.659266588422e-02	9.503445238269e-02	6.930888177282e-02
57                  	top	6.630557681755e-02	9.498758570312e-02	6.899255912171e-02
58                  	top	6.603242217438e-02	9.494449706916e-02	6.868752607815e-02
59                  	top	6.577260117047e-02	9.490488167536e-02	6.839333112921e-02
60                  	top	6.552553554527e-02	9.486845941341e-02	6.810954535954e-02
61                  	top	6.529066863754e-02	9.483497282814e-02	6.783576093708e-02
62                  	top	6.506746459115e-02	9.480418526211e-02	6.757158972662e-02
63                  	top	6.485540760418e-02	9.477587915921e-02	6.731666202007e-02
64                  	top	6.465400123055e-02	9.474985450844e-02	6.707062537353e-02
65                  	top	6.446276772019e-02	9.472592742030e-02	6.683314353991e-02
66                  	top	6.428124740742e-02	9.470392881609e-02	6.660389548698e-02
67                  	top	6.410899814997e-02	9.468370322605e-02	6.638257449253e-02
68                  	top	6.394559479382e-02	9.466510769224e-02	6.616888730951e-02
69                  	top	6.379062865880e-02	9.464801076123e-02	6.596255339470e-02
70                  	top	6.364370702763e-02	9.463229155487e-02	6.576330419547e-02
71                  	top	6.350445266160e-02	9.461783891821e-02	6.557088248969e-02
72                  	top	6.337250334942e-02	9.460455063705e-02	6.538504177266e-02
73                  	top	6.324751145690e-02	9.459233271996e-02	6.520554568779e-02
74                  	top	6.312914348482e-02	9.458109873822e-02	6.503216749668e-02
75                  	top	6.301707962842e-02	9.457076921928e-02	6.486468958618e-02
76                  	top	6.291101335375e-02	9.456127108799e-02	6.470290300892e-02
77                  	top	6.281065099236e-02	9.455253715328e-02	6.454660705405e-02
78                  	top	6.271571133205e-02	9.454450563656e-02	6.439560884567e-02
79                  	top	6.262592480978e-02	9.453711969823e-02	6.424972241208e-02
80                  	top	6.254103449601e-02	9.453032716252e-02	6.410877035073e-02
81                  	top	6.246079398624e-02	9.452408001468e-02	6.397258081414e-02
82                  	top	6.238496787426e-02	9.451833412408e-02	6.384098862357e-02
83                  	top	6.231333133607e-02	9.451304892344e-02	6.371383493767e-02
84                  	top	6.224566968749e-02	9.450818711821e-02	6.359096683694e-02
85                  	top	6.218177799641e-02	9.450371442556e-02	6.347223700426e-02
86                  	top	6.212146073651e-02	9.449959933534e-02	6.335750348938e-02
87                  	top	6.206453144878e-02	9.449581288810e-02	6.324662950286e-02
88                  	top	6.201081240177e-02	9.449232847001e-02	6.313948321084e-02
89                  	top	6.196013425476e-02	9.448912162311e-02	6.303593752970e-02
90                  	top	6.191233573153e-02	9.448616987138e-02	6.293586992772e-02
91                  	top	6.186726330075e-02	9.448345256187e-02	6.283916223813e-02
92                  	top	6.182477086237e-02	9.448095071694e-02	6.274570048329e-02
93                  	top	6.178471944551e-02	9.447864689917e-02	6.265537470859e-02
94                  	top	6.174697691392e-02	9.447652508758e-02	6.256807882441e-02
