# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	maxMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.040000000000e+00 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	1.013570552666e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
2                   	1.032252329299e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
3                   	1.040722187141e+00	(1.480000000000e+00 2.666597511054e-02 5.000000000000e-02)	45	5
4                   	1.045975646371e+00	(1.160000000000e+00 3.304027721530e-02 5.000000000000e-02)	54	5
5                   	1.050612701916e+00	(1.160000000000e+00 3.304027721530e-02 5.000000000000e-02)	54	5
6                   	1.055569890023e+00	(1.160000000000e+00 3.304027721530e-02 5.000000000000e-02)	54	5
7                   	1.061273948052e+00	(1.160000000000e+00 2.666597511054e-02 5.000000000000e-02)	41	5
8                   	1.067393153007e+00	(1.240000000000e+00 2.666597511054e-02 5.000000000000e-02)	42	5
9                   	1.073623720509e+00	(1.400000000000e+00 2.666597511054e-02 5.000000000000e-02)	44	5
10                  	1.079930573768e+00	(1.480000000000e+00 2.666597511054e-02 5.000000000000e-02)	45	5
11                  	1.086242411450e+00	(1.560000000000e+00 2.666597511054e-02 5.000000000000e-02)	46	5
12                  	1.092548155221e+00	(1.640000000000e+00 2.666597511054e-02 5.000000000000e-02)	47	5
13                  	1.099070067073e+00	(1.800000000000e+00 1.976492149912e-02 5.000000000000e-02)	36	5
14                  	1.105700628614e+00	(1.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	5
15                  	1.112412908913e+00	(2.120000000000e+00 1.976492149912e-02 5.000000000000e-02)	25	2
16                  	1.119219688960e+00	(2.280000000000e+00 1.976492149912e-02 5.000000000000e-02)	27	2
17                  	1.126170169711e+00	(2.360000000000e+00 1.976492149912e-02 5.000000000000e-02)	28	2
18                  	1.133246097189e+00	(2.520000000000e+00 1.976492149912e-02 5.000000000000e-02)	30	2
19                  	1.140434897611e+00	(2.680000000000e+00 1.976492149912e-02 5.000000000000e-02)	32	2
20                  	1.147717621965e+00	(2.840000000000e+00 1.976492149912e-02 5.000000000000e-02)	34	2
21                  	1.155062385004e+00	(2.920000000000e+00 1.976492149912e-02 5.000000000000e-02)	35	2
22                  	1.162433954994e+00	(3.080000000000e+00 1.976492149912e-02 5.000000000000e-02)	27	3
23                  	1.169728143769e+00	(3.240000000000e+00 1.976492149912e-02 5.000000000000e-02)	29	3
24                  	1.176840301619e+00	(3.400000000000e+00 1.976492149912e-02 5.000000000000e-02)	31	3
25                  	1.183645011329e+00	(3.480000000000e+00 1.976492149912e-02 5.000000000000e-02)	32	3
26                  	1.190619803867e+00	(3.640000000000e+00 1.229358735696e-02 5.000000000000e-02)	21	3
27                  	1.197921327033e+00	(3.800000000000e+00 1.229358735696e-02 5.000000000000e-02)	23	3
28                  	1.204821374121e+00	(3.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	3
29                  	1.211138595545e+00	(4.040000000000e+00 1.229358735696e-02 5.000000000000e-02)	12	12
30                  	1.216716461346e+00	(4.200000000000e+00 1.229358735696e-02 5.000000000000e-02)	14	12
31                  	1.221389799540e+00	(4.280000000000e+00 1.229358735696e-02 5.000000000000e-02)	15	12
32                  	1.226096210714e+00	(4.440000000000e+00 4.204846563605e-03 5.000000000000e-02)	5	12
33                  	1.231300239308e+00	(4.520000000000e+00 4.204846563605e-03 5.000000000000e-02)	6	12
