# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	minMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.040000000000e+00 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	7.203445281690e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
2                   	2.355983684325e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
3                   	1.529738249945e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
4                   	1.400944746607e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
5                   	1.381175536197e-01	(9.200000000000e-01 9.957951534364e-02 5.000000000000e-02)	186	6
6                   	1.398676950387e-01	(8.400000000000e-01 9.957951534364e-02 5.000000000000e-02)	185	6
7                   	1.424115934437e-01	(8.400000000000e-01 9.957951534364e-02 5.000000000000e-02)	185	6
8                   	1.441938283264e-01	(8.400000000000e-01 9.957951534364e-02 5.000000000000e-02)	185	6
9                   	1.445820639709e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
10                  	1.436796971696e-01	(1.160000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	7
11                  	1.421432928308e-01	(1.240000000000e+00 9.957951534364e-02 5.000000000000e-02)	177	7
12                  	1.404355373941e-01	(1.240000000000e+00 9.957951534364e-02 5.000000000000e-02)	177	7
13                  	1.387969757431e-01	(1.240000000000e+00 9.957951534364e-02 5.000000000000e-02)	177	7
14                  	1.372761336873e-01	(1.320000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	7
15                  	1.358872370664e-01	(1.400000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	7
16                  	1.346069734102e-01	(1.480000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	7
17                  	1.334274906144e-01	(1.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	7
18                  	1.323502621599e-01	(1.720000000000e+00 9.957951534364e-02 5.000000000000e-02)	183	7
19                  	1.313990973319e-01	(1.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
20                  	1.305801183702e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
21                  	1.298901874218e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
22                  	1.293138663265e-01	(2.120000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	0
23                  	1.288441560428e-01	(2.200000000000e+00 9.957951534364e-02 5.000000000000e-02)	177	0
24                  	1.284840251477e-01	(2.360000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	0
25                  	1.282246816576e-01	(2.440000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	0
26                  	1.280732796241e-01	(2.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	0
27                  	1.280146629963e-01	(2.680000000000e+00 9.957951534364e-02 5.000000000000e-02)	183	0
28                  	1.280519176275e-01	(2.840000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	0
29                  	1.281773577617e-01	(2.920000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	0
30                  	1.283861141016e-01	(3.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	1
31                  	1.286795541810e-01	(3.240000000000e+00 9.957951534364e-02 5.000000000000e-02)	177	1
32                  	1.290484392200e-01	(3.320000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	1
33                  	1.294914179702e-01	(3.480000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	1
34                  	1.300052089504e-01	(3.640000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	1
35                  	1.305832241542e-01	(3.720000000000e+00 9.957951534364e-02 5.000000000000e-02)	183	1
36                  	1.312223462127e-01	(3.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	1
37                  	1.319186377736e-01	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	15
38                  	1.326648933260e-01	(4.120000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	15
39                  	1.334559503798e-01	(4.280000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	15
40                  	1.342886166258e-01	(4.440000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	15
41                  	1.351577469979e-01	(4.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	15
42                  	1.360583120636e-01	(4.680000000000e+00 9.957951534364e-02 5.000000000000e-02)	183	15
43                  	1.369864904314e-01	(4.840000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	15
44                  	1.379379071060e-01	(5.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	15
45                  	1.389074377090e-01	(5.160000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	14
46                  	1.398896828250e-01	(5.320000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	14
47                  	1.408788768965e-01	(5.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	14
48                  	1.417871820436e-01	(3.400000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	1
49                  	1.424231885703e-01	(2.920000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	0
50                  	1.428999816804e-01	(2.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	0
51                  	1.432307069629e-01	(2.360000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	0
52                  	1.434393683797e-01	(2.120000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	0
53                  	1.435537157047e-01	(2.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	0
54                  	1.436117415788e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
55                  	1.436323488969e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
56                  	1.436309755837e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
57                  	1.436115627755e-01	(1.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
58                  	1.435813208849e-01	(1.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
59                  	1.435460274242e-01	(1.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
60                  	1.435078019152e-01	(1.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
61                  	1.434684489124e-01	(1.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
62                  	1.434294444467e-01	(1.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
63                  	1.433919507601e-01	(1.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
64                  	1.433568403623e-01	(1.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
65                  	1.433247248124e-01	(1.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
66                  	1.432912090490e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
67                  	1.432609428467e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
68                  	1.432342861093e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
69                  	1.432112856359e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
70                  	1.431918545860e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
71                  	1.431757703910e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
72                  	1.431627892224e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
73                  	1.431526168544e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
74                  	1.431449218386e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
75                  	1.431370020937e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
76                  	1.431307471802e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
77                  	1.431263944342e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
78                  	1.431236154349e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
79                  	1.431221024625e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
80                  	1.431215757323e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
81                  	1.431217870374e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
82                  	1.431225218306e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
83                  	1.431235997931e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
84                  	1.431248733976e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
85                  	1.431262258003e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
86                  	1.431275681506e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
87                  	1.431288361961e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
88                  	1.431299868416e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
89                  	1.431309946001e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
90                  	1.431318481102e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
91                  	1.431325468970e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
92                  	1.431330985865e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
93                  	1.431335162889e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
94                  	1.431338164204e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
95                  	1.431340170530e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
96                  	1.431341364626e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
97                  	1.431341921896e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
98                  	1.431342003177e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
99                  	1.431341748501e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
100                 	1.431341276426e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
101                 	1.431340685086e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
102                 	1.431340050083e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
103                 	1.431339427359e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
104                 	1.431338855944e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
105                 	1.431338359848e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
106                 	1.431337951135e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
107                 	1.431337632341e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
108                 	1.431337399408e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
109                 	1.431337243611e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
110                 	1.431337153496e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
111                 	1.431337116301e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
112                 	1.431337119252e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
113                 	1.431337150175e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
114                 	1.431337198180e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
115                 	1.431337254695e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
116                 	1.431337312754e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
117                 	1.431337367007e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
118                 	1.431337413567e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
119                 	1.431337451039e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
120                 	1.431337476971e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
121                 	1.431337490676e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
122                 	1.431337495939e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
123                 	1.431337492523e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
124                 	1.431337481755e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
125                 	1.431337465224e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
126                 	1.431337444309e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
127                 	1.431337420784e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
128                 	1.431337395953e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
129                 	1.431337370588e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
130                 	1.431337345955e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
131                 	1.431337322881e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
132                 	1.431337301497e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
133                 	1.431337281992e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
134                 	1.431337264454e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
135                 	1.431337248878e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
136                 	1.431337235510e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
137                 	1.431337223953e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
138                 	1.431337213914e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
139                 	1.431337205407e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
140                 	1.431337198489e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
141                 	1.431337192795e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
142                 	1.431337188355e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
143                 	1.431337184997e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
144                 	1.431337182585e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
145                 	1.431337181142e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
146                 	1.431337180593e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
147                 	1.431337180711e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
148                 	1.431337181626e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
149                 	1.431337183129e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
150                 	1.431337184789e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
151                 	1.431337186888e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
152                 	1.431337189206e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
153                 	1.431337191787e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
154                 	1.431337194857e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
155                 	1.431337198195e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
156                 	1.431337201605e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
157                 	1.431337204955e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
158                 	1.431337208085e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
159                 	1.431337211072e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
160                 	1.431337213882e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
161                 	1.431337216684e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
162                 	1.431337219414e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
163                 	1.431337221808e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
164                 	1.431337224685e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
165                 	1.431337227554e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
166                 	1.431337230201e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
167                 	1.431337232559e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
168                 	1.431337234465e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
169                 	1.431337235991e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
170                 	1.431337237195e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
171                 	1.431337238044e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
172                 	1.431337238641e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
173                 	1.431337239132e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
