# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	top	(-4.838069426230e-02 -5.562357707750e-18 -5.823614238125e-34)	(-4.838069426229e-02 5.562357707750e-18 0.000000000000e+00)
1.000000000000e+02	top	(-1.767352424790e-02 -6.541032435309e-06 -1.097741907039e-17)	(-6.813006293564e-03 3.662770024345e-05 2.284671620675e-17)
2.000000000000e+02	top	(-1.767352459297e-02 -6.541043281418e-06 -1.102417769316e-17)	(-6.812987047604e-03 3.662768778186e-05 2.297077296244e-17)
3.000000000000e+02	top	(-1.767352457605e-02 -6.541042845190e-06 -1.102420213960e-17)	(-6.812987042593e-03 3.662768759008e-05 2.297086164804e-17)
4.000000000000e+02	top	(-1.767352457567e-02 -6.541042818411e-06 -1.102420230572e-17)	(-6.812987017635e-03 3.662768761648e-05 2.297086197223e-17)
5.000000000000e+02	top	(-1.767352457566e-02 -6.541042817204e-06 -1.102420239525e-17)	(-6.812987029127e-03 3.662768761438e-05 2.297086208585e-17)
6.000000000000e+02	top	(-1.767352457591e-02 -6.541042834573e-06 -1.102420242982e-17)	(-6.812987043901e-03 3.662768760069e-05 2.297086213755e-17)
7.000000000000e+02	top	(-1.767352457604e-02 -6.541042843853e-06 -1.102420243545e-17)	(-6.812987051355e-03 3.662768759310e-05 2.297086213639e-17)
8.000000000000e+02	top	(-1.767352457612e-02 -6.541042850235e-06 -1.102420243298e-17)	(-6.812987055143e-03 3.662768758760e-05 2.297086212981e-17)
9.000000000000e+02	top	(-1.767352457615e-02 -6.541042851817e-06 -1.102420242975e-17)	(-6.812987055910e-03 3.662768758597e-05 2.297086212130e-17)
1.000000000000e+03	top	(-1.767352457615e-02 -6.541042851714e-06 -1.102420242754e-17)	(-6.812987055829e-03 3.662768758605e-05 2.297086211776e-17)
