# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.624605718533e+00	4.624605718534e+00	4.624605718534e+00
100                 	top	1.735359882740e+00	2.795035303781e+00	1.796121359868e+00
200                 	top	1.735357431609e+00	2.795035331073e+00	1.794047333360e+00
300                 	top	1.735357430971e+00	2.795035329735e+00	1.794047408172e+00
400                 	top	1.735357427792e+00	2.795035329705e+00	1.794047406462e+00
500                 	top	1.735357429256e+00	2.795035329705e+00	1.794047408633e+00
600                 	top	1.735357431138e+00	2.795035329724e+00	1.794047411006e+00
700                 	top	1.735357432087e+00	2.795035329734e+00	1.794047412266e+00
800                 	top	1.735357432569e+00	2.795035329741e+00	1.794047412816e+00
900                 	top	1.735357432667e+00	2.795035329743e+00	1.794047412914e+00
1000                	top	1.735357432657e+00	2.795035329743e+00	1.794047412881e+00
