# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.624605718533e+00	4.624605718534e+00	4.624605718534e+00
100                 	top	5.298671923315e-01	2.222715262387e+01	5.477584219090e+00
200                 	top	7.359296326964e-01	2.811347528444e+01	4.058033300953e+00
300                 	top	1.007699311823e+00	7.566132072969e+00	3.151537650943e+00
400                 	top	1.782966283003e+00	4.095853823495e+00	2.275086837100e+00
500                 	top	1.793248069302e+00	2.437147616414e+00	1.855987248579e+00
600                 	top	1.787663294455e+00	2.433712239420e+00	1.823765872926e+00
700                 	top	1.783341703420e+00	2.439976988046e+00	1.818000873768e+00
800                 	top	1.778210659631e+00	2.439368354836e+00	1.813409875507e+00
900                 	top	1.772737114497e+00	2.448334129130e+00	1.809148089508e+00
1000                	top	1.771312197706e+00	2.429030020039e+00	1.809483840534e+00
