# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.624605718533e+00	4.624605718534e+00	4.624605718534e+00
1                   	top	3.910917380515e+00	3.985711916839e+00	3.911820405114e+00
2                   	top	2.227379845394e+00	2.829340405781e+00	2.235686959434e+00
3                   	top	1.794088955259e+00	2.659060239110e+00	1.805905260671e+00
4                   	top	1.716813854906e+00	2.687776082661e+00	1.730200643886e+00
5                   	top	1.704644284668e+00	2.732178971253e+00	1.719921429289e+00
6                   	top	1.715422199205e+00	2.762634830489e+00	1.732605989253e+00
7                   	top	1.730969336497e+00	2.777995245911e+00	1.749409614059e+00
8                   	top	1.741779352297e+00	2.784386914630e+00	1.761147536940e+00
9                   	top	1.744125333201e+00	2.787223450560e+00	1.764776523104e+00
10                  	top	1.738667783825e+00	2.789095679661e+00	1.761783191993e+00
11                  	top	1.729336161536e+00	2.790691374615e+00	1.755319258266e+00
12                  	top	1.718904711001e+00	2.792027769703e+00	1.747865359085e+00
13                  	top	1.708836403905e+00	2.793050774089e+00	1.740608092829e+00
14                  	top	1.699438366060e+00	2.793774792079e+00	1.733885810294e+00
15                  	top	1.690810304578e+00	2.794259826765e+00	1.727730462178e+00
16                  	top	1.682818122762e+00	2.794572608184e+00	1.722131120030e+00
17                  	top	1.675421517996e+00	2.794767836170e+00	1.717089408065e+00
18                  	top	1.668637662557e+00	2.794885165675e+00	1.712607187078e+00
19                  	top	1.662624804921e+00	2.794952349227e+00	1.708676115542e+00
20                  	top	1.657430183857e+00	2.794988560535e+00	1.705278987455e+00
21                  	top	1.653041485701e+00	2.795006711424e+00	1.702395009835e+00
22                  	top	1.649366561761e+00	2.795015153277e+00	1.700003503214e+00
23                  	top	1.646365407515e+00	2.795018976386e+00	1.698085336677e+00
24                  	top	1.644060705103e+00	2.795021015943e+00	1.696623182326e+00
25                  	top	1.642399011156e+00	2.795022644540e+00	1.695601392081e+00
26                  	top	1.641428157696e+00	2.795024365534e+00	1.695005827369e+00
27                  	top	1.641052129784e+00	2.795026225039e+00	1.694823694310e+00
28                  	top	1.641291129597e+00	2.795028085062e+00	1.695043321781e+00
29                  	top	1.642095611810e+00	2.795029783169e+00	1.695653801182e+00
30                  	top	1.643433555186e+00	2.795031204643e+00	1.696644334435e+00
31                  	top	1.645312416010e+00	2.795032301908e+00	1.698003157242e+00
32                  	top	1.647671317297e+00	2.795033085921e+00	1.699716190665e+00
33                  	top	1.650499591348e+00	2.795033606401e+00	1.701765733917e+00
34                  	top	1.653773950386e+00	2.795033931591e+00	1.704129777320e+00
35                  	top	1.657449913823e+00	2.795034131233e+00	1.706782438595e+00
36                  	top	1.661505074855e+00	2.795034264385e+00	1.709695446279e+00
37                  	top	1.665911793230e+00	2.795034373296e+00	1.712839989948e+00
38                  	top	1.670621887920e+00	2.795034482610e+00	1.716188026555e+00
39                  	top	1.675600373187e+00	2.795034602159e+00	1.719712558042e+00
40                  	top	1.680824878896e+00	2.795034731573e+00	1.723387121864e+00
41                  	top	1.686261002865e+00	2.795034864821e+00	1.727185049042e+00
42                  	top	1.691875414465e+00	2.795034993783e+00	1.731078969170e+00
43                  	top	1.697642651900e+00	2.795035110292e+00	1.735040733744e+00
44                  	top	1.703534128526e+00	2.795035208111e+00	1.739041709168e+00
45                  	top	1.709517001953e+00	2.795035284390e+00	1.743053280728e+00
46                  	top	1.715557178580e+00	2.795035339664e+00	1.747047463336e+00
47                  	top	1.721618792344e+00	2.795035376806e+00	1.750997488643e+00
48                  	top	1.727166105410e+00	2.795035399644e+00	1.754878312154e+00
49                  	top	1.731039882762e+00	2.795035412022e+00	1.758667021533e+00
50                  	top	1.733938283426e+00	2.795035417319e+00	1.762343125220e+00
51                  	top	1.735945919588e+00	2.795035418222e+00	1.765888740929e+00
52                  	top	1.737211392139e+00	2.795035416735e+00	1.769288722058e+00
53                  	top	1.737904487850e+00	2.795035414239e+00	1.772530638733e+00
54                  	top	1.738256096163e+00	2.795035411561e+00	1.775604700993e+00
55                  	top	1.738380949383e+00	2.795035409151e+00	1.778503640385e+00
56                  	top	1.738372629190e+00	2.795035407186e+00	1.781222555960e+00
57                  	top	1.738255012811e+00	2.795035405658e+00	1.783758722220e+00
58                  	top	1.738071770508e+00	2.795035404493e+00	1.786111377404e+00
59                  	top	1.737857895339e+00	2.795035403616e+00	1.788281504349e+00
60                  	top	1.737626222705e+00	2.795035403010e+00	1.790271609963e+00
61                  	top	1.737387684610e+00	2.795035402687e+00	1.792085506931e+00
62                  	top	1.737151227043e+00	2.795035402652e+00	1.793728108207e+00
63                  	top	1.736923898141e+00	2.795035402989e+00	1.795205234190e+00
64                  	top	1.736710992597e+00	2.795035403732e+00	1.796523434881e+00
65                  	top	1.736516224755e+00	2.795035404902e+00	1.797689828140e+00
66                  	top	1.736312942026e+00	2.795035406465e+00	1.798711955833e+00
67                  	top	1.736129348487e+00	2.795035408322e+00	1.799597656480e+00
68                  	top	1.735967633829e+00	2.795035410329e+00	1.800354953953e+00
69                  	top	1.735828088074e+00	2.795035412361e+00	1.800991960935e+00
70                  	top	1.735710189614e+00	2.795035414257e+00	1.801516796720e+00
71                  	top	1.735612592270e+00	2.795035415862e+00	1.801937517622e+00
72                  	top	1.735533819813e+00	2.795035417021e+00	1.802262058282e+00
73                  	top	1.735472089264e+00	2.795035417631e+00	1.802498184187e+00
74                  	top	1.735425390963e+00	2.795035417626e+00	1.802653451233e+00
75                  	top	1.735377327557e+00	2.795035416989e+00	1.802735173157e+00
76                  	top	1.735339366758e+00	2.795035415688e+00	1.802750396876e+00
77                  	top	1.735312949642e+00	2.795035413720e+00	1.802705883540e+00
78                  	top	1.735296083496e+00	2.795035411136e+00	1.802608093251e+00
79                  	top	1.735286900980e+00	2.795035408020e+00	1.802463174852e+00
80                  	top	1.735283704144e+00	2.795035404436e+00	1.802276960312e+00
81                  	top	1.735284986600e+00	2.795035400442e+00	1.802054959607e+00
82                  	top	1.735289446209e+00	2.795035396099e+00	1.801802359849e+00
83                  	top	1.735295988563e+00	2.795035391458e+00	1.801524023836e+00
84                  	top	1.735303718273e+00	2.795035386559e+00	1.801224495907e+00
85                  	top	1.735311926184e+00	2.795035381458e+00	1.800908006136e+00
86                  	top	1.735320073048e+00	2.795035376241e+00	1.800578474461e+00
87                  	top	1.735327768913e+00	2.795035370936e+00	1.800239518689e+00
88                  	top	1.735334752239e+00	2.795035365549e+00	1.799894462378e+00
89                  	top	1.735340868354e+00	2.795035360125e+00	1.799546335947e+00
90                  	top	1.735346048314e+00	2.795035354674e+00	1.799197891543e+00
91                  	top	1.735350289246e+00	2.795035349238e+00	1.798851610828e+00
92                  	top	1.735353637438e+00	2.795035343835e+00	1.798509716533e+00
93                  	top	1.735356172461e+00	2.795035338485e+00	1.798174179783e+00
94                  	top	1.735357993947e+00	2.795035333203e+00	1.797846732166e+00
95                  	top	1.735359211577e+00	2.795035327999e+00	1.797528876823e+00
96                  	top	1.735359936269e+00	2.795035322928e+00	1.797221895625e+00
97                  	top	1.735360274473e+00	2.795035317953e+00	1.796926862021e+00
98                  	top	1.735360323802e+00	2.795035313086e+00	1.796644656418e+00
99                  	top	1.735360169240e+00	2.795035308356e+00	1.796375978968e+00
100                 	top	1.735359882740e+00	2.795035303781e+00	1.796121359868e+00
101                 	top	1.735359523859e+00	2.795035299402e+00	1.795881170202e+00
102                 	top	1.735359138478e+00	2.795035295201e+00	1.795655633041e+00
103                 	top	1.735358760550e+00	2.795035291163e+00	1.795444837506e+00
104                 	top	1.735358413761e+00	2.795035287318e+00	1.795248750276e+00
105                 	top	1.735358112682e+00	2.795035283718e+00	1.795067226981e+00
106                 	top	1.735357864636e+00	2.795035280334e+00	1.794900024382e+00
107                 	top	1.735357671162e+00	2.795035277146e+00	1.794746812864e+00
108                 	top	1.735357529795e+00	2.795035274193e+00	1.794607186981e+00
109                 	top	1.735357435243e+00	2.795035271470e+00	1.794480676529e+00
