# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	maxMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.040000000000e+00 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	1.020369136404e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
2                   	1.038543862414e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
3                   	1.052107155003e+00	(7.880000000000e+00 2.666597511054e-02 5.000000000000e-02)	50	11
4                   	1.062875967078e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
5                   	1.072503135441e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
6                   	1.081505120577e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
7                   	1.090180853330e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
8                   	1.098477070330e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
9                   	1.106504925023e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
10                  	1.114360233415e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
11                  	1.122121078706e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
12                  	1.180220273841e+00	(1.200000000000e-01 9.311245548279e-02 5.000000000000e-02)	98	6
13                  	1.191592902715e+00	(4.000000000000e-02 9.170232198675e-02 5.000000000000e-02)	84	6
14                  	1.145495659760e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
15                  	1.309984526778e+00	(1.200000000000e-01 7.242689935851e-02 5.000000000000e-02)	163	4
16                  	1.161694720534e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
17                  	1.170124993244e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
18                  	1.178836114536e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
19                  	1.187877766056e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
20                  	1.197296002784e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
21                  	1.207129686815e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
22                  	1.423465193215e+00	(1.200000000000e-01 9.561803526425e-02 5.000000000000e-02)	124	6
23                  	1.257525286621e+00	(1.200000000000e-01 8.042811013644e-02 5.000000000000e-02)	13	6
24                  	6.051105861757e+00	(1.200000000000e-01 9.311245548279e-02 5.000000000000e-02)	98	6
25                  	3.044047885343e+00	(1.200000000000e-01 9.441495469782e-02 5.000000000000e-02)	111	6
26                  	1.920541006932e+00	(2.000000000000e-01 9.170232198675e-02 5.000000000000e-02)	86	6
27                  	3.313962672167e+00	(3.600000000000e-01 9.170232198675e-02 5.000000000000e-02)	88	6
28                  	1.502464072213e+00	(3.600000000000e-01 9.017565966428e-02 5.000000000000e-02)	76	6
29                  	3.679743696299e+00	(4.400000000000e-01 9.311245548279e-02 5.000000000000e-02)	102	6
30                  	1.318343351245e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
31                  	4.653093228328e+00	(4.400000000000e-01 9.441495469782e-02 5.000000000000e-02)	115	6
32                  	1.449666359017e+00	(3.600000000000e-01 8.852283895375e-02 5.000000000000e-02)	64	6
33                  	1.362419196272e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
34                  	1.377067363296e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
35                  	1.392304084366e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
36                  	1.408294761579e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
37                  	1.424368881210e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
38                  	1.440489496963e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
39                  	1.456357297866e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
40                  	1.471291671786e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
41                  	1.921246838108e+00	(1.200000000000e-01 7.530830934111e-02 5.000000000000e-02)	176	4
42                  	1.503218552698e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
43                  	1.519363597559e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
44                  	1.534694398554e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
45                  	1.548305439697e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
46                  	1.559554812512e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
47                  	1.578411017477e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
48                  	1.594968082306e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
49                  	1.604976790628e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
50                  	1.602881926959e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
51                  	1.580380087066e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
