# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	minMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.040000000000e+00 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	3.721259265122e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
2                   	1.816012258227e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
3                   	1.136997519680e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
4                   	8.627022385789e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
5                   	7.173595853640e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
6                   	6.342675677105e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
7                   	5.806484834130e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
8                   	5.447514033066e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
9                   	5.201296891365e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
10                  	5.037133207815e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
11                  	4.935722269311e-02	(7.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	8
12                  	4.885320312771e-02	(7.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	8
13                  	4.877855664107e-02	(7.160000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	9
14                  	4.907605763521e-02	(7.240000000000e+00 9.957951534364e-02 5.000000000000e-02)	177	9
15                  	4.970340042059e-02	(7.400000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	9
16                  	5.062814983223e-02	(7.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	9
17                  	5.182344095892e-02	(7.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	9
18                  	5.326415545928e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
19                  	5.492543721098e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
20                  	5.678010981073e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
21                  	5.879773745638e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
22                  	6.094515075692e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
23                  	6.318753345673e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
24                  	6.549094083068e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
25                  	6.782423030137e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
26                  	7.016047729613e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
27                  	7.247808003965e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
28                  	7.476122304039e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
29                  	7.699802553278e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
30                  	7.918119964630e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
31                  	7.787720411480e-02	(4.400000000000e-01 9.870379855227e-02 5.000000000000e-02)	167	6
32                  	8.337439118305e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
33                  	8.538419693909e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
34                  	8.733952755648e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
35                  	8.924221656663e-02	(7.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	9
36                  	9.109443384771e-02	(7.640000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	9
37                  	9.290179013445e-02	(7.400000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	9
38                  	9.467155651771e-02	(7.320000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	9
39                  	9.642320289890e-02	(7.160000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	9
40                  	9.817936685440e-02	(7.160000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	9
41                  	9.994479674732e-02	(7.240000000000e+00 9.957951534364e-02 5.000000000000e-02)	177	9
42                  	1.017343138823e-01	(7.320000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	9
43                  	1.035690349563e-01	(7.320000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	9
44                  	1.054380228933e-01	(7.480000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	9
45                  	1.073622492875e-01	(7.640000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	9
46                  	1.093695349775e-01	(7.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	9
47                  	1.114494956604e-01	(7.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	9
48                  	1.136395337150e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
49                  	1.159707763855e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
50                  	1.184443117004e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
51                  	1.210462867891e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
52                  	1.237033448531e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
53                  	1.262658234416e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
54                  	1.285159215577e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
55                  	1.303699643487e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
56                  	1.320837716435e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
57                  	1.339615694400e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
58                  	1.361004483302e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
59                  	1.384519315205e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
60                  	1.409364194546e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
61                  	1.434919335113e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
62                  	1.456397149364e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
63                  	1.456952902445e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
64                  	1.457434247678e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
65                  	1.457768880024e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
66                  	1.458045555329e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
67                  	1.458176258852e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
68                  	1.457966449012e-01	(2.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	0
69                  	1.457573251290e-01	(2.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	0
70                  	1.456947019587e-01	(2.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	0
71                  	1.456031679837e-01	(2.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	0
72                  	1.454807561805e-01	(2.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	0
73                  	1.453276516332e-01	(2.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	0
74                  	1.451427064793e-01	(1.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	7
75                  	1.425392838028e-01	(1.200000000000e-01 9.957951534364e-02 5.000000000000e-02)	176	6
76                  	1.303930021813e-01	(1.200000000000e-01 9.957951534364e-02 5.000000000000e-02)	176	6
77                  	1.443783275256e-01	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	7
78                  	1.440609141566e-01	(1.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
79                  	1.437177443426e-01	(1.720000000000e+00 9.957951534364e-02 5.000000000000e-02)	183	7
80                  	1.433227979611e-01	(1.720000000000e+00 9.957951534364e-02 5.000000000000e-02)	183	7
81                  	1.428632694372e-01	(1.640000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	7
82                  	1.424359494707e-01	(1.640000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	7
83                  	1.420646358663e-01	(1.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	7
84                  	1.417169627691e-01	(1.480000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	7
85                  	1.413626256970e-01	(1.480000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	7
86                  	1.410131609152e-01	(1.480000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	7
87                  	1.406806532505e-01	(1.480000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	7
88                  	1.403807301391e-01	(1.480000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	7
89                  	1.401011959008e-01	(1.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	7
90                  	1.398349159648e-01	(1.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	7
91                  	1.396339378318e-01	(1.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	7
92                  	1.229850785256e-01	(1.200000000000e-01 9.957951534364e-02 5.000000000000e-02)	176	6
93                  	1.392518703684e-01	(1.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	7
94                  	1.392043812229e-01	(1.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	7
95                  	1.393328120304e-01	(1.640000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	7
96                  	1.321102734165e-01	(3.600000000000e-01 9.957951534364e-02 5.000000000000e-02)	179	6
97                  	1.029037572113e-01	(2.800000000000e-01 9.957951534364e-02 5.000000000000e-02)	178	6
98                  	9.957342882908e-02	(2.800000000000e-01 9.957951534364e-02 5.000000000000e-02)	178	6
99                  	8.208463631378e-02	(2.000000000000e-01 9.957951534364e-02 5.000000000000e-02)	177	6
100                 	1.408215889336e-01	(2.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	0
101                 	1.269937789447e-02	(6.800000000000e-01 9.957951534364e-02 5.000000000000e-02)	183	6
102                 	2.611529362100e-02	(2.800000000000e-01 9.957951534364e-02 5.000000000000e-02)	178	6
103                 	1.297965784555e-01	(2.800000000000e-01 9.441495469782e-02 5.000000000000e-02)	113	6
104                 	1.395321059987e-01	(2.800000000000e-01 9.441495469782e-02 5.000000000000e-02)	113	6
105                 	1.442059511888e-01	(2.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	0
106                 	1.137626479296e-01	(3.600000000000e-01 1.976492149912e-02 5.000000000000e-02)	28	4
107                 	3.890637357893e-02	(6.000000000000e-01 8.673343453802e-02 5.000000000000e-02)	55	6
108                 	3.073139875633e-02	(4.400000000000e-01 9.441495469782e-02 5.000000000000e-02)	115	6
109                 	8.469312918130e-02	(1.200000000000e-01 9.672928572232e-02 5.000000000000e-02)	137	6
110                 	2.304570942377e-02	(4.400000000000e-01 9.957951534364e-02 5.000000000000e-02)	180	6
111                 	5.059503233377e-02	(3.600000000000e-01 9.017565966428e-02 5.000000000000e-02)	76	6
112                 	4.816972988659e-02	(3.600000000000e-01 9.017565966428e-02 5.000000000000e-02)	76	6
113                 	4.780620879976e-02	(3.600000000000e-01 9.311245548279e-02 5.000000000000e-02)	101	6
114                 	8.447969977521e-03	(3.600000000000e-01 9.561803526425e-02 5.000000000000e-02)	127	6
115                 	4.068078764820e-02	(3.600000000000e-01 9.870379855227e-02 5.000000000000e-02)	166	6
116                 	1.154466388020e-01	(3.600000000000e-01 9.957951534364e-02 5.000000000000e-02)	179	6
117                 	1.496884962114e-01	(4.280000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	15
118                 	1.499291941539e-01	(4.360000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	15
119                 	1.501501954910e-01	(4.360000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	15
120                 	1.503648909796e-01	(4.440000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	15
121                 	1.505697167444e-01	(4.440000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	15
122                 	1.507676040064e-01	(4.520000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	15
123                 	1.509543641257e-01	(4.520000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	15
124                 	1.511367739656e-01	(4.520000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	15
125                 	1.513079199676e-01	(4.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	15
126                 	1.514650168856e-01	(4.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	15
127                 	1.516082798570e-01	(4.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	15
128                 	1.517341455256e-01	(4.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	15
129                 	1.518401279668e-01	(4.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	15
130                 	1.519234640698e-01	(4.520000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	15
131                 	1.519773771790e-01	(4.520000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	15
132                 	1.520092894826e-01	(4.520000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	15
