#            face_x              face_y              face_z                 U_x                 U_y                 U_z   wallShearStress_x   wallShearStress_y   wallShearStress_z               yPlus                   p
               0.04                 0.1                0.05                   0                   0                   0     -0.017448913169    0.00218575770425                   0       2.78224214976       2.50751182371
               0.12                 0.1                0.05                   0                   0                   0    -0.0131637549798   0.000708399368542                   0       2.41349182235       1.77969910013
                0.2                 0.1                0.05                   0                   0                   0    -0.0095755010641   4.87646128622e-05                   0       2.05737412085       1.63633853873
               0.28                 0.1                0.05                   0                   0                   0   -0.00888097395204    0.00044474532492                   0       1.98199301622       1.58704280378
               0.36                 0.1                0.05                   0                   0                   0   -0.00849774252191   4.45062495045e-05                   0       1.93818010376       1.55596324375
               0.44                 0.1                0.05                   0                   0                   0   -0.00816185553966   3.45766637351e-05                   0       1.89940155265       1.54151134001
               0.52                 0.1                0.05                   0                   0                   0   -0.00796349804309   2.21000709734e-05   4.97744062783e-17       1.87617619011       1.52936792311
                0.6                 0.1                0.05                   0                   0                   0   -0.00779908169132   1.40974658132e-05   4.94716722263e-17       1.85670458294       1.51828070015
               0.68                 0.1                0.05                   0                   0                   0   -0.00764280971092   8.61468059072e-06                   0       1.83800740825       1.50864681375
               0.76                 0.1                0.05                   0                   0                   0   -0.00750377890891   4.91400042688e-06                   0       1.82121208417       1.50014143834
               0.84                 0.1                0.05                   0                   0                   0   -0.00738201384444   2.70842167403e-06                   0       1.80637442874       1.49225665753
               0.92                 0.1                0.05                   0                   0                   0   -0.00727947522172    1.5906975423e-06                   0       1.79378457085       1.48461562169
                  1                 0.1                0.05                   0                   0                   0   -0.00718880385362   1.09635850394e-06                   0       1.78257788416       1.47701775905
               1.08                 0.1                0.05                   0                   0                   0   -0.00711057357912   8.58566616509e-07                   0       1.77285205287       1.46960816508
               1.16                 0.1                0.05                   0                   0                   0   -0.00703869889391   7.02776358421e-07                   0       1.76386915002       1.46238032476
               1.24                 0.1                0.05                   0                   0                   0   -0.00698073167737   5.65244506564e-07                   0       1.75659094729       1.45537453807
               1.32                 0.1                0.05                   0                   0                   0   -0.00692932923281    4.6331573801e-07                   0       1.75011167815       1.44845614531
                1.4                 0.1                0.05                   0                   0                   0   -0.00689133205817   3.82514658755e-07                   0       1.74530667984       1.44166973288
               1.48                 0.1                0.05                   0                   0                   0   -0.00685733681781   3.24805352173e-07                   0       1.74099651689       1.43494828061
               1.56                 0.1                0.05                   0                   0                   0   -0.00683356804356   2.71067928671e-07                   0       1.73797658677       1.42835373031
               1.64                 0.1                0.05                   0                   0                   0   -0.00681070228475   2.45275521075e-07                   0        1.7350664388       1.42185249632
               1.72                 0.1                0.05                   0                   0                   0   -0.00679648188798   1.77913396443e-07                   0        1.7332541329       1.41549646903
                1.8                 0.1                0.05                   0                   0                   0   -0.00678184216253   1.34985860977e-07                   0       1.73138638076       1.40920333318
               1.88                 0.1                0.05                   0                   0                   0   -0.00677449669369   1.41168620508e-07                   0       1.73044848772       1.40303552614
               1.96                 0.1                0.05                   0                   0                   0   -0.00676679682072   9.85449335893e-08                   0       1.72946485947       1.39687837043
               2.04                 0.1                0.05                   0                   0                   0   -0.00676533227951  -1.41907720632e-07                   0       1.72927738261       1.39084959835
               2.12                 0.1                0.05                   0                   0                   0   -0.00676325759992   1.05867740387e-06                   0        1.7290124037       1.38478140195
                2.2                 0.1                0.05                   0                   0                   0   -0.00676582199556   7.09575573521e-08                   0       1.72934056507       1.37888888828
               2.28                 0.1                0.05                   0                   0                   0   -0.00676854997198  -3.43458966922e-07                   0       1.72968343601       1.37291306158
               2.36                 0.1                0.05                   0                   0                   0   -0.00677419514298   2.14186766817e-05                   0       1.73041275011       1.36720248782
               2.44                 0.1                0.05                   0                   0                   0   -0.00678057951736  -1.71433739617e-06                   0       1.73123060074       1.36128853592
               2.52                 0.1                0.05                   0                   0                   0    -0.0067888249098  -1.53339504348e-08                   0       1.73227749229       1.35570751144
                2.6                 0.1                0.05                   0                   0                   0   -0.00679880305476   -1.7458406271e-06                   0       1.73355054424       1.34990076821
               2.68                 0.1                0.05                   0                   0                   0   -0.00680872641691  -1.88542548663e-06   4.43089499742e-17       1.73481526354       1.34441479201
               2.76                 0.1                0.05                   0                   0                   0   -0.00682196925059  -3.83619287701e-06   4.41018635207e-17        1.7365011575        1.3387358588
               2.84                 0.1                0.05                   0                   0                   0   -0.00683338523006  -2.24149643069e-06                   0       1.73795241948       1.33326793234
               2.92                 0.1                0.05                   0                   0                   0   -0.00684556569359  -1.01724540333e-07                   0       1.73949764524       1.32774404846
                  3                 0.1                0.05                   0                   0                   0   -0.00685344080961   1.33897419852e-05                   0       1.74049775519       1.32224685361
               3.08                 0.1                0.05                   0                   0                   0   -0.00692375562601   2.00952337786e-05                   0       1.74940823657       1.31709571112
