# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	top	(-4.838069426230e-02 -5.562357707750e-18 -5.823614238125e-34)	(-4.838069426229e-02 5.562357707750e-18 0.000000000000e+00)
1.000000000000e+02	top	(-1.459998373384e-02 -5.126573352153e-05 -1.110990096404e-17)	(-7.296315431657e-03 5.660543348373e-04 2.246181822669e-17)
2.000000000000e+02	top	(-1.583471832838e-02 -3.949805630579e-04 -1.131241493604e-17)	(-7.225613207783e-03 2.773463852861e-05 2.323904758268e-17)
3.000000000000e+02	top	(-1.761804972509e-02 -2.464154011893e-03 -1.111309720246e-17)	(-6.954103481901e-03 1.206923955329e-05 2.295384433988e-17)
4.000000000000e+02	top	(-1.415962604933e-02 -3.098675900788e-05 -1.171089359235e-17)	(-7.323314591251e-03 3.479074611567e-04 2.335910822147e-17)
5.000000000000e+02	top	(-2.742757067373e-02 -6.679155393266e-03 -1.073625945973e-17)	(-3.558861208712e-03 6.353250321853e-03 2.267161777216e-17)
6.000000000000e+02	top	(-2.530633015890e-02 -1.757062033711e-04 -1.135323110355e-17)	(-7.185805733506e-03 8.612461994161e-03 2.289549738102e-17)
7.000000000000e+02	top	(-2.116276876982e+02 -2.931897394806e+02 -5.305905281058e-15)	(2.090354748658e+02 3.320911907357e+04 4.378241210727e-17)
8.000000000000e+02	top	(-3.846760451795e-01 -4.197832003068e-02 -2.136469796874e-16)	(6.110458973126e-01 7.925621341683e-03 2.410613210605e-15)
9.000000000000e+02	top	(-3.896109290082e-02 -7.346967644308e-04 -2.488185309043e-17)	(-6.539837698151e-03 1.565491278828e-04 4.993294059661e-17)
1.000000000000e+03	top	(-2.452904523015e-02 -9.025749536836e-06 -1.170714574231e-17)	(-6.655803637066e-03 4.519838589782e-04 2.612324604224e-17)
