# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.624605718533e+00	4.624605718534e+00	4.624605718534e+00
100                 	top	1.795857854004e+00	2.540553173460e+00	1.898585364208e+00
200                 	top	1.787135791821e+00	2.645812880633e+00	1.820725597832e+00
300                 	top	1.753237425759e+00	2.799422232744e+00	1.814051035564e+00
400                 	top	1.799177463962e+00	2.501803698290e+00	1.886703553622e+00
500                 	top	1.649392748305e+00	3.508246341098e+00	1.788468456286e+00
600                 	top	1.782205970314e+00	3.395490166802e+00	1.936474232933e+00
700                 	top	6.648108513519e-01	3.714034297199e+03	6.140972298090e+01
800                 	top	6.135217322011e-01	1.643447345782e+01	5.294671406326e+00
900                 	top	1.700216726250e+00	4.149881806054e+00	2.855663734719e+00
1000                	top	1.715222278977e+00	3.292802709335e+00	1.917585485613e+00
