# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.624605718533e+00	4.624605718534e+00	4.624605718534e+00
1                   	top	2.801763625695e+00	3.186493649008e+00	2.807211685453e+00
2                   	top	1.955012168990e+00	2.807179928391e+00	1.968248345426e+00
3                   	top	1.546499506816e+00	2.691814253693e+00	1.565480535890e+00
4                   	top	1.346982520287e+00	2.625689599412e+00	1.371088311387e+00
5                   	top	1.228236873183e+00	2.582284674413e+00	1.257087260262e+00
6                   	top	1.154889976605e+00	2.556815296375e+00	1.187228931557e+00
7                   	top	1.104982363929e+00	2.545971155635e+00	1.140819401668e+00
8                   	top	1.070272205803e+00	2.540129199454e+00	1.110025130092e+00
9                   	top	1.045799612756e+00	2.534705580891e+00	1.089420040255e+00
10                  	top	1.029159762941e+00	2.525760347339e+00	1.076887207351e+00
11                  	top	1.018744973592e+00	2.517611683125e+00	1.070747620896e+00
12                  	top	1.013528981471e+00	2.488128094434e+00	1.069899303847e+00
13                  	top	1.012754199280e+00	2.483300819301e+00	1.073873123896e+00
14                  	top	1.015838555157e+00	2.516471581620e+00	1.081650131458e+00
15                  	top	1.022312094252e+00	2.527880030550e+00	1.092567522190e+00
16                  	top	1.031780588659e+00	2.528875260041e+00	1.106529758933e+00
17                  	top	1.043892060042e+00	2.524028263218e+00	1.123972133248e+00
18                  	top	1.058306335667e+00	2.517287553500e+00	1.143500965992e+00
19                  	top	1.074687699007e+00	2.511292773990e+00	1.164684465254e+00
20                  	top	1.092686301108e+00	2.512952006987e+00	1.187230073453e+00
21                  	top	1.111935927638e+00	2.512438345039e+00	1.210067256222e+00
22                  	top	1.132064788137e+00	2.480726439938e+00	1.235022355661e+00
23                  	top	1.152709314414e+00	2.441633757868e+00	1.256577368365e+00
24                  	top	1.173538192705e+00	3.028989729816e+00	1.298159537799e+00
25                  	top	1.194267591640e+00	3.882389367049e+00	1.340788464294e+00
26                  	top	1.214669506932e+00	3.819166312848e+00	1.344642624518e+00
27                  	top	1.234576148410e+00	4.080322513911e+00	1.379781298353e+00
28                  	top	1.253878425449e+00	4.321242325708e+00	1.406558660241e+00
29                  	top	1.272505610407e+00	4.122592198511e+00	1.433248651165e+00
30                  	top	1.290427500016e+00	3.733456236227e+00	1.454938547934e+00
31                  	top	1.307645048985e+00	3.599350129080e+00	1.478661145268e+00
32                  	top	1.324171192880e+00	3.538516578562e+00	1.490813625250e+00
33                  	top	1.340044148972e+00	3.463939695759e+00	1.506082173076e+00
34                  	top	1.355308933946e+00	3.371483183749e+00	1.524639341400e+00
35                  	top	1.369999927069e+00	3.281579022645e+00	1.543562272735e+00
36                  	top	1.384151863521e+00	3.205617987740e+00	1.562754080352e+00
37                  	top	1.397823323558e+00	3.126816747167e+00	1.579959208349e+00
38                  	top	1.411082470085e+00	3.050839355069e+00	1.591150933284e+00
39                  	top	1.424084673142e+00	3.008875107899e+00	1.599408840456e+00
40                  	top	1.437002681990e+00	2.960958521642e+00	1.608591626712e+00
