# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	maxMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.000000000000e-02 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	1.007181447038e+00	(1.200000000000e-01 1.229358735696e-02 5.000000000000e-02)	13	12
2                   	1.028572414915e+00	(7.600000000000e-01 1.229358735696e-02 5.000000000000e-02)	21	12
3                   	1.040373214478e+00	(1.080000000000e+00 2.666597511054e-02 5.000000000000e-02)	40	13
4                   	1.047725638557e+00	(1.160000000000e+00 3.304027721530e-02 5.000000000000e-02)	54	13
5                   	1.052063168289e+00	(1.320000000000e+00 3.304027721530e-02 5.000000000000e-02)	56	13
6                   	1.055673093891e+00	(1.400000000000e+00 3.304027721530e-02 5.000000000000e-02)	57	13
7                   	1.059334081093e+00	(1.560000000000e+00 3.304027721530e-02 5.000000000000e-02)	59	13
8                   	1.063124732686e+00	(1.720000000000e+00 3.304027721530e-02 5.000000000000e-02)	61	13
9                   	1.066896392122e+00	(1.880000000000e+00 3.304027721530e-02 5.000000000000e-02)	63	13
10                  	1.070631566811e+00	(2.040000000000e+00 3.304027721530e-02 5.000000000000e-02)	48	10
11                  	1.074314738302e+00	(2.200000000000e+00 3.304027721530e-02 5.000000000000e-02)	50	10
12                  	1.077948835949e+00	(2.440000000000e+00 3.304027721530e-02 5.000000000000e-02)	53	10
13                  	1.081669201305e+00	(2.520000000000e+00 2.666597511054e-02 5.000000000000e-02)	42	10
14                  	1.085399081468e+00	(2.760000000000e+00 2.666597511054e-02 5.000000000000e-02)	45	10
15                  	1.089058688373e+00	(3.000000000000e+00 2.666597511054e-02 5.000000000000e-02)	39	11
16                  	1.092630137652e+00	(3.240000000000e+00 2.666597511054e-02 5.000000000000e-02)	42	11
17                  	1.096091261935e+00	(3.560000000000e+00 2.666597511054e-02 5.000000000000e-02)	46	11
18                  	1.099415232736e+00	(3.800000000000e+00 2.666597511054e-02 5.000000000000e-02)	49	11
19                  	1.102825411995e+00	(3.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
20                  	1.106269601868e+00	(4.280000000000e+00 1.976492149912e-02 5.000000000000e-02)	27	4
21                  	1.109561903979e+00	(4.600000000000e+00 1.976492149912e-02 5.000000000000e-02)	31	4
22                  	1.112675872215e+00	(4.920000000000e+00 1.976492149912e-02 5.000000000000e-02)	35	4
23                  	1.115586094054e+00	(5.240000000000e+00 1.976492149912e-02 5.000000000000e-02)	29	5
24                  	1.118306852481e+00	(5.480000000000e+00 1.229358735696e-02 5.000000000000e-02)	19	5
25                  	1.121388027841e+00	(5.800000000000e+00 1.229358735696e-02 5.000000000000e-02)	23	5
26                  	1.124250954664e+00	(6.120000000000e+00 1.229358735696e-02 5.000000000000e-02)	13	2
27                  	1.126875440616e+00	(6.440000000000e+00 1.229358735696e-02 5.000000000000e-02)	17	2
28                  	1.129249390466e+00	(6.760000000000e+00 1.229358735696e-02 5.000000000000e-02)	21	2
29                  	1.131368388078e+00	(7.000000000000e+00 1.229358735696e-02 5.000000000000e-02)	13	3
30                  	1.133235639881e+00	(7.320000000000e+00 1.229358735696e-02 5.000000000000e-02)	17	3
31                  	1.135120620449e+00	(7.320000000000e+00 4.204846563605e-03 5.000000000000e-02)	4	3
32                  	1.137090993827e+00	(7.560000000000e+00 4.204846563605e-03 5.000000000000e-02)	7	3
33                  	1.138806826379e+00	(7.880000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	3
34                  	1.140277032813e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	3
35                  	1.141519072742e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	3
36                  	1.142549597990e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	3
37                  	1.143390635068e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	3
38                  	1.144063331813e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	3
39                  	1.144587927961e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	3
40                  	1.144983122652e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	3
41                  	1.145266028089e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	3
42                  	1.145452199374e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	3
43                  	1.145626541467e+00	(5.640000000000e+00 4.204846563605e-03 5.000000000000e-02)	8	5
44                  	1.145897134163e+00	(5.400000000000e+00 4.204846563605e-03 5.000000000000e-02)	5	5
45                  	1.146144252489e+00	(5.320000000000e+00 4.204846563605e-03 5.000000000000e-02)	4	5
46                  	1.146366977640e+00	(5.240000000000e+00 4.204846563605e-03 5.000000000000e-02)	3	5
47                  	1.146566800667e+00	(5.160000000000e+00 4.204846563605e-03 5.000000000000e-02)	2	5
48                  	1.146742266696e+00	(5.080000000000e+00 4.204846563605e-03 5.000000000000e-02)	1	5
49                  	1.146898403567e+00	(5.080000000000e+00 4.204846563605e-03 5.000000000000e-02)	1	5
50                  	1.147033066526e+00	(5.080000000000e+00 4.204846563605e-03 5.000000000000e-02)	1	5
51                  	1.147155720788e+00	(5.000000000000e+00 4.204846563605e-03 5.000000000000e-02)	0	5
52                  	1.147262790746e+00	(5.000000000000e+00 4.204846563605e-03 5.000000000000e-02)	0	5
53                  	1.147355554523e+00	(5.000000000000e+00 4.204846563605e-03 5.000000000000e-02)	0	5
54                  	1.147436181368e+00	(5.000000000000e+00 4.204846563605e-03 5.000000000000e-02)	0	5
55                  	1.147506410109e+00	(5.000000000000e+00 4.204846563605e-03 5.000000000000e-02)	0	5
56                  	1.147567972687e+00	(5.000000000000e+00 4.204846563605e-03 5.000000000000e-02)	0	5
57                  	1.147621840113e+00	(5.000000000000e+00 4.204846563605e-03 5.000000000000e-02)	0	5
58                  	1.147668787965e+00	(5.000000000000e+00 4.204846563605e-03 5.000000000000e-02)	0	5
