# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	minMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.000000000000e-02 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	8.789019653486e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	1
2                   	3.990211181097e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	1
3                   	2.336036784240e-01	(1.160000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	14
4                   	1.388672553291e-01	(1.160000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	14
5                   	1.105815998370e-01	(1.240000000000e+00 9.957951534364e-02 5.000000000000e-02)	177	14
6                   	9.562776526672e-02	(1.320000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	14
7                   	8.899777023301e-02	(1.480000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	14
8                   	8.440502237445e-02	(1.640000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	14
9                   	8.165793602974e-02	(1.720000000000e+00 9.957951534364e-02 5.000000000000e-02)	183	14
10                  	7.949114708062e-02	(1.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	14
11                  	7.795004684621e-02	(2.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	8
12                  	7.665970738240e-02	(2.280000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	8
13                  	7.563160090216e-02	(2.440000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	8
14                  	7.474078816438e-02	(2.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	8
15                  	7.398441227253e-02	(2.760000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	8
16                  	7.331513718691e-02	(3.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	8
17                  	7.272829498588e-02	(3.160000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	9
18                  	7.220584677840e-02	(3.320000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	9
19                  	7.174285361081e-02	(3.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	9
20                  	7.133118818288e-02	(3.720000000000e+00 9.957951534364e-02 5.000000000000e-02)	183	9
21                  	7.096652260502e-02	(3.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
22                  	7.064428594877e-02	(4.200000000000e+00 9.957951534364e-02 5.000000000000e-02)	177	6
23                  	7.036118331612e-02	(4.360000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	6
24                  	7.011382209627e-02	(4.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	6
25                  	6.989983925040e-02	(4.840000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	6
26                  	6.971650191103e-02	(5.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
27                  	6.956147248038e-02	(5.320000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	7
28                  	6.943266595862e-02	(5.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	7
29                  	6.932801411544e-02	(5.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	7
30                  	6.924549674654e-02	(6.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	0
31                  	6.918321887177e-02	(6.280000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	0
32                  	6.913946199164e-02	(6.520000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	0
33                  	6.911255778202e-02	(6.840000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	0
34                  	6.910087681326e-02	(7.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	1
35                  	6.910287887603e-02	(7.320000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	1
36                  	6.911719969317e-02	(7.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	1
37                  	6.914240353924e-02	(7.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	1
38                  	6.917857948382e-02	(7.880000000000e+00 9.957951534364e-02 5.000000000000e-02)	185	1
39                  	6.922418342097e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	1
40                  	6.927858835252e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	1
41                  	6.934032351440e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	1
42                  	6.940790609010e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	1
43                  	6.947989352446e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	1
44                  	6.955492347839e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	1
45                  	6.957802829680e-02	(4.280000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	6
46                  	6.958245872414e-02	(4.200000000000e+00 9.957951534364e-02 5.000000000000e-02)	177	6
47                  	6.958403510180e-02	(4.120000000000e+00 9.957951534364e-02 5.000000000000e-02)	176	6
48                  	6.958433243728e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
49                  	6.958306978102e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
50                  	6.958144727739e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
51                  	6.957960808120e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
52                  	6.957769852121e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
53                  	6.957583443917e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
54                  	6.957410139849e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
55                  	6.957255405207e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
56                  	6.957121596484e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
57                  	6.957008952398e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
58                  	6.956916523941e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
59                  	6.956842439787e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
60                  	6.956784346305e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
61                  	6.956739729495e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
62                  	6.956706128652e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
63                  	6.956681195111e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
64                  	6.956663029428e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
65                  	6.956650014267e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
66                  	6.956640819296e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
67                  	6.956634413530e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
68                  	6.956629966421e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
69                  	6.956626890768e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
70                  	6.956624774193e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
71                  	6.956623331894e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
72                  	6.956622337924e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
73                  	6.956621653972e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
74                  	6.956621179365e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
75                  	6.956620852271e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
76                  	6.956620628058e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
77                  	6.956620472132e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
78                  	6.956620368583e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
79                  	6.956620308208e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
80                  	6.956620272056e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
81                  	6.956620258361e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
82                  	6.956620256015e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
83                  	6.956620263774e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
84                  	6.956620275642e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
85                  	6.956620291397e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
86                  	6.956620309129e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
87                  	6.956620326514e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
88                  	6.956620346698e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
89                  	6.956620365950e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
90                  	6.956620387037e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
91                  	6.956620410622e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
92                  	6.956620432064e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
93                  	6.956620450246e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
94                  	6.956620477407e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
95                  	6.956620498826e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
96                  	6.956620519736e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
97                  	6.956620537748e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
98                  	6.956620552189e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
99                  	6.956620564651e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
100                 	6.956620575557e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
101                 	6.956620584315e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
102                 	6.956620604252e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
103                 	6.956620626592e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
104                 	6.956620590802e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
105                 	6.956620628587e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
106                 	6.956620626599e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
107                 	6.956620571912e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
108                 	6.956620572460e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
109                 	6.956620589750e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
110                 	6.956620616463e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
111                 	6.956620613920e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
112                 	6.956620612309e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
113                 	6.956620615689e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
114                 	6.956620624138e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
115                 	6.956620628011e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
116                 	6.956620616200e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
117                 	6.956620616301e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
118                 	6.956620617049e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
119                 	6.956620600655e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
120                 	6.956620571036e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
121                 	6.956620604184e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
122                 	6.956620599689e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
123                 	6.956620588996e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
124                 	6.956620588122e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
125                 	6.956620587055e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
126                 	6.956620590421e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
127                 	6.956620599397e-02	(4.040000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	6
