#            face_x              face_y              face_z                 U_x                 U_y                 U_z   wallShearStress_x   wallShearStress_y   wallShearStress_z               yPlus                   p
               0.04                 0.1                0.05                   0                   0                   0    -0.0145917677276   -0.00105185264604                   0       2.54219709646      0.340439075448
               0.12                 0.1                0.05                   0                   0                   0   -0.00650630430255  -3.90217987577e-06                   0       1.69554862426      0.286563351634
                0.2                 0.1                0.05                   0                   0                   0   -0.00505295119655   4.35702079324e-06                   0       1.49448289886      0.288595492583
               0.28                 0.1                0.05                   0                   0                   0   -0.00468706713702   1.31699055692e-06                   0       1.43936465916      0.282840998676
               0.36                 0.1                0.05                   0                   0                   0   -0.00443834613696   9.20770046947e-07                   0       1.40065363347      0.277786978682
               0.44                 0.1                0.05                   0                   0                   0   -0.00426604605498   6.60982696978e-07                   0       1.37319727797      0.273114235758
               0.52                 0.1                0.05                   0                   0                   0   -0.00413644456877   5.25118782024e-07   1.11702407251e-17       1.35217768707      0.268617741885
                0.6                 0.1                0.05                   0                   0                   0    -0.0040323378212   4.30831726911e-07   1.09966225054e-17       1.33505333237      0.264332842645
               0.68                 0.1                0.05                   0                   0                   0   -0.00394672187621   3.61503144903e-07                   0       1.32080413925      0.260202348185
               0.76                 0.1                0.05                   0                   0                   0   -0.00387453457602   3.09101128881e-07                   0       1.30866934647      0.256201359136
               0.84                 0.1                0.05                   0                   0                   0   -0.00381282610744   2.66559892844e-07                   0       1.29820613886      0.252317963749
               0.92                 0.1                0.05                   0                   0                   0   -0.00375947561453   2.33078477345e-07                   0       1.28909164868      0.248527957009
                  1                 0.1                0.05                   0                   0                   0   -0.00371280291627   2.04839213572e-07                   0       1.28106482565      0.244828181455
               1.08                 0.1                0.05                   0                   0                   0   -0.00367180006303   1.81114307948e-07                   0        1.2739713778      0.241205549111
               1.16                 0.1                0.05                   0                   0                   0   -0.00363547660381   1.61580399467e-07                   0       1.26765430388      0.237650235564
               1.24                 0.1                0.05                   0                   0                   0   -0.00360307666684   1.44453022416e-07                   0       1.26199289471      0.234159984621
               1.32                 0.1                0.05                   0                   0                   0   -0.00357413471225   1.29525780969e-07                   0        1.2569141537      0.230727317894
                1.4                 0.1                0.05                   0                   0                   0   -0.00354814763716   1.16921686603e-07                   0       1.25233638632      0.227345363759
               1.48                 0.1                0.05                   0                   0                   0   -0.00352469382256   1.05747477725e-07                   0       1.24819045313      0.224012580303
               1.56                 0.1                0.05                   0                   0                   0   -0.00350349450357   9.57594039868e-08                   0       1.24443116262      0.220724922715
               1.64                 0.1                0.05                   0                   0                   0   -0.00348430751547   8.68258406475e-08                   0       1.24101890271      0.217478741493
               1.72                 0.1                0.05                   0                   0                   0   -0.00346690572035   7.90604830957e-08                   0       1.23791599204      0.214270024331
                1.8                 0.1                0.05                   0                   0                   0   -0.00345105339285   7.21412632516e-08                   0       1.23508258156      0.211097170313
               1.88                 0.1                0.05                   0                   0                   0   -0.00343661565137   6.56858515986e-08                   0       1.23249634325       0.20795902668
               1.96                 0.1                0.05                   0                   0                   0   -0.00342347143127   5.99485142891e-08                   0       1.23013708552      0.204851926328
               2.04                 0.1                0.05                   0                   0                   0   -0.00341148196122   5.46606684371e-08                   0       1.22798114115      0.201774708146
               2.12                 0.1                0.05                   0                   0                   0   -0.00340056156845   4.99191562334e-08                   0       1.22601413881      0.198724881776
                2.2                 0.1                0.05                   0                   0                   0   -0.00339058079547   4.56955222892e-08                   0        1.2242136184      0.195700959413
               2.28                 0.1                0.05                   0                   0                   0   -0.00338146750761   4.16513007035e-08                   0       1.22256727536      0.192702779423
               2.36                 0.1                0.05                   0                   0                   0   -0.00337316780104   3.79746734818e-08                   0       1.22106597688      0.189727905252
               2.44                 0.1                0.05                   0                   0                   0   -0.00336560831571   3.45904191195e-08                   0       1.21969696581      0.186775333845
               2.52                 0.1                0.05                   0                   0                   0   -0.00335872926071   3.14634584034e-08                   0        1.2184498429      0.183843730322
                2.6                 0.1                0.05                   0                   0                   0   -0.00335248565128   2.85545283097e-08                   0       1.21731681558       0.18093212874
