# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	top	(-4.838069426230e-02 -5.562357707750e-18 -5.823614238125e-34)	(-4.838069426229e-02 5.562357707750e-18 0.000000000000e+00)
1.000000000000e+02	top	(-1.459176778542e-02 -1.051852651502e-03 -6.601574993931e-18)	(-3.309637033282e-03 4.357052271617e-06 1.347527862184e-17)
2.000000000000e+02	top	(-1.459176775273e-02 -1.051852648676e-03 -6.601563087064e-18)	(-3.309637041998e-03 4.357020314684e-06 1.347523108429e-17)
3.000000000000e+02	top	(-1.459176772764e-02 -1.051852646043e-03 -6.601563051988e-18)	(-3.309637039822e-03 4.357020792147e-06 1.347523101855e-17)
4.000000000000e+02	top	(-1.459176772765e-02 -1.051852646044e-03 -6.601563036161e-18)	(-3.309637039541e-03 4.357020793065e-06 1.347523098431e-17)
5.000000000000e+02	top	(-1.459176772765e-02 -1.051852646045e-03 -6.601563031680e-18)	(-3.309637039565e-03 4.357020793182e-06 1.347523097392e-17)
6.000000000000e+02	top	(-1.459176772765e-02 -1.051852646045e-03 -6.601563030858e-18)	(-3.309637039602e-03 4.357020793296e-06 1.347523097169e-17)
7.000000000000e+02	top	(-1.459176772764e-02 -1.051852646044e-03 -6.601563030796e-18)	(-3.309637039618e-03 4.357020793304e-06 1.347523097151e-17)
8.000000000000e+02	top	(-1.459176772764e-02 -1.051852646044e-03 -6.601563030679e-18)	(-3.309637039618e-03 4.357020793457e-06 1.347523097090e-17)
9.000000000000e+02	top	(-1.459176772764e-02 -1.051852646044e-03 -6.601563030841e-18)	(-3.309637039620e-03 4.357020793450e-06 1.347523097158e-17)
1.000000000000e+03	top	(-1.459176772765e-02 -1.051852646044e-03 -6.601563030900e-18)	(-3.309637039620e-03 4.357020793135e-06 1.347523097167e-17)
