# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.624605718533e+00	4.624605718534e+00	4.624605718534e+00
100                 	top	1.209512444145e+00	2.542197101504e+00	1.252128805598e+00
200                 	top	1.209512445738e+00	2.542197098649e+00	1.252128860380e+00
300                 	top	1.209512445340e+00	2.542197096461e+00	1.252128860147e+00
400                 	top	1.209512445289e+00	2.542197096462e+00	1.252128860100e+00
500                 	top	1.209512445293e+00	2.542197096462e+00	1.252128860103e+00
600                 	top	1.209512445300e+00	2.542197096462e+00	1.252128860108e+00
700                 	top	1.209512445303e+00	2.542197096461e+00	1.252128860111e+00
800                 	top	1.209512445303e+00	2.542197096461e+00	1.252128860112e+00
900                 	top	1.209512445303e+00	2.542197096461e+00	1.252128860116e+00
1000                	top	1.209512445303e+00	2.542197096462e+00	1.252128860111e+00
