# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.624605718533e+00	4.624605718534e+00	4.624605718534e+00
1                   	top	4.328357726007e+00	4.342920511020e+00	4.328533622629e+00
2                   	top	2.901827886723e+00	3.302520175749e+00	2.907537060452e+00
3                   	top	2.217906639627e+00	2.903855685738e+00	2.227919290581e+00
4                   	top	1.709269388516e+00	2.642304681535e+00	1.723685228941e+00
5                   	top	1.525129586689e+00	2.575555981495e+00	1.542695954288e+00
6                   	top	1.418194806813e+00	2.548587414798e+00	1.438167672066e+00
7                   	top	1.368121150199e+00	2.543992345435e+00	1.389817513228e+00
8                   	top	1.332334434057e+00	2.541124721720e+00	1.355695061545e+00
9                   	top	1.310463252010e+00	2.541194894659e+00	1.335349199962e+00
10                  	top	1.292952076985e+00	2.540988143565e+00	1.319212859465e+00
11                  	top	1.280352047762e+00	2.541331434338e+00	1.307833885123e+00
12                  	top	1.269706271969e+00	2.541486240742e+00	1.298351424302e+00
13                  	top	1.261159577589e+00	2.541714782444e+00	1.290911073599e+00
14                  	top	1.253707290690e+00	2.541842363559e+00	1.284511946333e+00
15                  	top	1.247344555593e+00	2.541959438720e+00	1.279154238877e+00
16                  	top	1.241687251037e+00	2.542029794709e+00	1.274467040556e+00
17                  	top	1.236705606002e+00	2.542085590287e+00	1.270420916516e+00
18                  	top	1.232253957148e+00	2.542120709884e+00	1.266865710948e+00
19                  	top	1.228295843672e+00	2.542146562870e+00	1.263768888834e+00
20                  	top	1.224765227461e+00	2.542163027062e+00	1.261059437809e+00
21                  	top	1.221629178168e+00	2.542174496799e+00	1.258707749631e+00
22                  	top	1.218851735931e+00	2.542181763132e+00	1.256671912047e+00
23                  	top	1.216406690249e+00	2.542186658168e+00	1.254925128632e+00
24                  	top	1.214266481312e+00	2.542189774520e+00	1.253437556668e+00
25                  	top	1.212411205271e+00	2.542191870668e+00	1.252185212495e+00
26                  	top	1.210819459972e+00	2.542193253843e+00	1.251143843816e+00
27                  	top	1.209472314225e+00	2.542194222822e+00	1.250292037629e+00
28                  	top	1.208351597948e+00	2.542194908937e+00	1.249609178304e+00
29                  	top	1.207440074546e+00	2.542195422157e+00	1.249076479745e+00
30                  	top	1.206721041198e+00	2.542195812990e+00	1.248676247283e+00
31                  	top	1.206178620686e+00	2.542196121072e+00	1.248392173095e+00
32                  	top	1.205797391584e+00	2.542196366174e+00	1.248209036743e+00
33                  	top	1.205562818020e+00	2.542196564047e+00	1.248112771896e+00
34                  	top	1.205460637938e+00	2.542196724042e+00	1.248090339916e+00
35                  	top	1.205478417797e+00	2.542196853955e+00	1.248129747657e+00
36                  	top	1.205604114352e+00	2.542196959026e+00	1.248220005257e+00
37                  	top	1.205824544583e+00	2.542197043664e+00	1.248351125346e+00
38                  	top	1.206140061916e+00	2.542197111226e+00	1.248514100648e+00
39                  	top	1.206537995667e+00	2.542197164586e+00	1.248700900308e+00
40                  	top	1.207012385365e+00	2.542197206079e+00	1.248904449912e+00
41                  	top	1.207550557024e+00	2.542197237642e+00	1.249118597563e+00
42                  	top	1.208139514224e+00	2.542197260863e+00	1.249338072652e+00
43                  	top	1.208766607010e+00	2.542197277148e+00	1.249558434597e+00
44                  	top	1.209419902877e+00	2.542197287516e+00	1.249776022994e+00
45                  	top	1.209617562098e+00	2.542197292855e+00	1.249987905649e+00
46                  	top	1.209655375531e+00	2.542197294040e+00	1.250191750197e+00
47                  	top	1.209667487039e+00	2.542197291909e+00	1.250385774312e+00
48                  	top	1.209669123416e+00	2.542197287215e+00	1.250568685440e+00
49                  	top	1.209658065301e+00	2.542197280594e+00	1.250739614480e+00
