# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	maxMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.040000000000e+00 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	1.020371919655e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
2                   	1.037692319121e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
3                   	1.109694874690e+00	(1.200000000000e-01 9.441495469782e-02 5.000000000000e-02)	111	6
4                   	1.060065556857e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
5                   	1.069017269224e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
6                   	1.077371362185e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
7                   	1.085292129842e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
8                   	1.092817572611e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
9                   	1.099964513195e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
10                  	1.106787302451e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
11                  	1.113327714105e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
12                  	1.119618585409e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
13                  	1.125692386428e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
14                  	1.131582866123e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
15                  	1.137329716114e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
16                  	1.142977189390e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
17                  	1.148571995456e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
18                  	1.154438295931e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
19                  	1.160448445893e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
20                  	1.166627902567e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
21                  	1.172961743338e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
22                  	1.179419249788e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
23                  	1.186809492985e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
24                  	1.194230342571e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
25                  	1.201255272225e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
26                  	1.209029447763e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
27                  	1.216753111765e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
28                  	1.222890429000e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
29                  	1.227477608465e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
30                  	1.233437148224e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
31                  	1.236641933496e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
32                  	1.237269860871e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
33                  	1.235891937688e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
34                  	1.233072849157e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
35                  	1.229276598844e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
36                  	1.224861935299e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
37                  	1.220092459443e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
38                  	1.215154899063e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
39                  	1.210179192256e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
40                  	1.205255131678e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
41                  	1.200444477338e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
42                  	1.195789428806e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
43                  	1.191318533088e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
44                  	1.187050781460e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
45                  	1.183668769497e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
46                  	1.182184187253e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
47                  	1.180943273697e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
48                  	1.179951460980e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
49                  	1.179126871519e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
50                  	1.178460592563e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
51                  	1.177935709931e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
52                  	1.177533246909e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
53                  	1.177234586745e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
54                  	1.177022529954e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
55                  	1.176881532882e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
56                  	1.176797747267e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
57                  	1.176759074820e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
58                  	1.176754993793e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
59                  	1.176776476149e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
60                  	1.176815927773e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
61                  	1.176867101768e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
62                  	1.176924979303e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
63                  	1.176985639691e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
64                  	1.177046117937e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
65                  	1.177104261717e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
66                  	1.177158598737e+00	(4.840000000000e+00 4.204846563605e-03 5.000000000000e-02)	10	12
67                  	1.177209731419e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
68                  	1.177256243511e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
69                  	1.177296890742e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
70                  	1.177331756864e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
71                  	1.177361196810e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
72                  	1.177385658130e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
73                  	1.177405615280e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
74                  	1.177421550839e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
75                  	1.177433949897e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
76                  	1.177443292055e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
77                  	1.177450033843e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
78                  	1.177454600924e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
79                  	1.177457380953e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
80                  	1.177458718950e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
81                  	1.177458918218e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
82                  	1.177458241265e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
83                  	1.177456914481e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
84                  	1.177455127204e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
85                  	1.177453036760e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
86                  	1.177450774281e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
87                  	1.177448444483e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
88                  	1.177446133380e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
89                  	1.177443908438e+00	(4.920000000000e+00 4.204846563605e-03 5.000000000000e-02)	11	12
