# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	minMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.040000000000e+00 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	3.710493664062e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
2                   	1.492500296105e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
3                   	9.518038808962e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
4                   	7.341833613231e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
5                   	6.184792674572e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
6                   	5.437508087663e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
7                   	4.913811149765e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
8                   	4.520632697552e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
9                   	4.220026684213e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
10                  	3.984802321112e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
11                  	3.802496984732e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
12                  	3.662857444690e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
13                  	3.561502572809e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
14                  	3.494757913580e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
15                  	3.461542579490e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
16                  	3.460844490858e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
17                  	3.492431144305e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
18                  	3.555387614023e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
19                  	3.648274263679e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
20                  	3.768368022264e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
21                  	3.911860488682e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
22                  	4.073806578490e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
23                  	4.248661098812e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
24                  	4.430736509168e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
25                  	4.614839863962e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
26                  	4.796690714389e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
27                  	4.973201405730e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
28                  	5.142489044453e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
29                  	5.303712197540e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
30                  	5.456649523555e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
31                  	5.600933180999e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
32                  	5.735351350645e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
33                  	5.858505008510e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
34                  	5.970307763995e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
35                  	6.072092184205e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
36                  	6.165633546049e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
37                  	6.252489636942e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
38                  	6.333858073550e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
39                  	6.410601543687e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
40                  	6.483279511909e-02	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
