#            face_x              face_y              face_z                 U_x                 U_y                 U_z   wallShearStress_x   wallShearStress_y   wallShearStress_z               yPlus                   p
               0.04                 0.1                0.05                   0                   0                   0    -0.0136434106642   0.000351054825949                   0       2.45578283446      0.320892093582
               0.12                 0.1                0.05                   0                   0                   0    -0.0053113398313   2.81662477657e-05                   0       1.53228579618      0.274807551253
                0.2                 0.1                0.05                   0                   0                   0   -0.00377576203929   5.54715962877e-06                   0        1.2918844461      0.268096726717
               0.28                 0.1                0.05                   0                   0                   0   -0.00327909615698   1.54809433967e-06                   0       1.20391962711      0.264797789073
               0.36                 0.1                0.05                   0                   0                   0   -0.00314474667086   1.98323547312e-07                   0       1.17899801225      0.261135043124
               0.44                 0.1                0.05                   0                   0                   0   -0.00316245535573  -3.00309797179e-07                   0       1.18231276307      0.257747228594
               0.52                 0.1                0.05                   0                   0                   0   -0.00322228832713  -3.71016419978e-07   1.06302128344e-17       1.19344483477      0.254691739795
                0.6                 0.1                0.05                   0                   0                   0   -0.00329154872144  -3.22837323264e-07   1.05019046496e-17       1.20620268659      0.251697453556
               0.68                 0.1                0.05                   0                   0                   0   -0.00334347408492  -2.15134699826e-07                   0       1.21567959814      0.248667230717
               0.76                 0.1                0.05                   0                   0                   0   -0.00337450972854  -1.16988174704e-07                   0       1.22130881748      0.245516726319
               0.84                 0.1                0.05                   0                   0                   0   -0.00338988461484  -5.06495655203e-08                   0       1.22408791686      0.242323585818
               0.92                 0.1                0.05                   0                   0                   0   -0.00339452480981  -8.92488889232e-09                   0       1.22492542241      0.239107673515
                  1                 0.1                0.05                   0                   0                   0   -0.00339345051396   1.55492967026e-08                   0       1.22473157911      0.235894118339
               1.08                 0.1                0.05                   0                   0                   0   -0.00338847772336   2.96099293797e-08                   0       1.22383388588      0.232690783605
               1.16                 0.1                0.05                   0                   0                   0   -0.00338092359171   3.96447474197e-08                   0       1.22246894287      0.229494786502
               1.24                 0.1                0.05                   0                   0                   0   -0.00337187807755   4.51308093539e-08                   0       1.22083251718      0.226313581792
               1.32                 0.1                0.05                   0                   0                   0   -0.00336209759611   4.73136704612e-08                   0       1.21906065627      0.223152897439
                1.4                 0.1                0.05                   0                   0                   0   -0.00335208151004   4.82170426905e-08                   0        1.2172434391      0.220010030488
               1.48                 0.1                0.05                   0                   0                   0   -0.00334198326475   4.79157979483e-08                   0       1.21540856552       0.21688745234
               1.56                 0.1                0.05                   0                   0                   0   -0.00333218134591   4.61080881524e-08                   0       1.21362488137      0.213789985193
