# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	top	(-4.838069426230e-02 -5.562357707750e-18 -5.823614238125e-34)	(-4.838069426229e-02 5.562357707750e-18 0.000000000000e+00)
1.000000000000e+02	top	(-1.364341196659e-02 -3.705129197551e-07 -6.389460675633e-18)	(-3.144778077848e-03 3.510549170452e-04 1.297875052137e-17)
2.000000000000e+02	top	(-1.364341066602e-02 -3.710164763558e-07 -6.388964493502e-18)	(-3.144746660267e-03 3.510548263255e-04 1.297684970266e-17)
3.000000000000e+02	top	(-1.364341066779e-02 -3.710161063276e-07 -6.388964249044e-18)	(-3.144746673689e-03 3.510548265546e-04 1.297684787597e-17)
4.000000000000e+02	top	(-1.364341066819e-02 -3.710163677086e-07 -6.388960752713e-18)	(-3.144746665886e-03 3.510548266619e-04 1.297683824095e-17)
5.000000000000e+02	top	(-1.364341067495e-02 -3.710164258332e-07 -6.388963657322e-18)	(-3.144746674619e-03 3.510548270477e-04 1.297684498673e-17)
6.000000000000e+02	top	(-1.364341066854e-02 -3.710156830192e-07 -6.388966182080e-18)	(-3.144746737641e-03 3.510548267681e-04 1.297685300083e-17)
7.000000000000e+02	top	(-1.364341066964e-02 -3.710165096784e-07 -6.388965836447e-18)	(-3.144746667360e-03 3.510548264736e-04 1.297685240944e-17)
8.000000000000e+02	top	(-1.364341066856e-02 -3.710166199576e-07 -6.388965898692e-18)	(-3.144746670893e-03 3.510548263200e-04 1.297685249236e-17)
9.000000000000e+02	top	(-1.364341066817e-02 -3.710165436479e-07 -6.388965880160e-18)	(-3.144746669833e-03 3.510548262933e-04 1.297685246853e-17)
1.000000000000e+03	top	(-1.364341066815e-02 -3.710164247270e-07 -6.388965887052e-18)	(-3.144746670133e-03 3.510548262912e-04 1.297685247866e-17)
