# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.624605718533e+00	4.624605718534e+00	4.624605718534e+00
100                 	top	1.179003893280e+00	2.455782953626e+00	1.220470720476e+00
200                 	top	1.178998011978e+00	2.455782834744e+00	1.220471898643e+00
300                 	top	1.178998012655e+00	2.455782834735e+00	1.220471900420e+00
400                 	top	1.178998014094e+00	2.455782834652e+00	1.220471900152e+00
500                 	top	1.178998013474e+00	2.455782834524e+00	1.220471898818e+00
600                 	top	1.178998012644e+00	2.455782834510e+00	1.220471898047e+00
700                 	top	1.178998012630e+00	2.455782834497e+00	1.220471897762e+00
800                 	top	1.178998012430e+00	2.455782834484e+00	1.220471897481e+00
900                 	top	1.178998012271e+00	2.455782834470e+00	1.220471897344e+00
1000                	top	1.178998012246e+00	2.455782834464e+00	1.220471897314e+00
