# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.624605718533e+00	4.624605718534e+00	4.624605718534e+00
1                   	top	2.797685999304e+00	3.183802358956e+00	2.803157193792e+00
2                   	top	1.772090620291e+00	2.610875539156e+00	1.784505097106e+00
3                   	top	1.414871522820e+00	2.491717008687e+00	1.434010078837e+00
4                   	top	1.242561225013e+00	2.452713460450e+00	1.268555715064e+00
5                   	top	1.140420717455e+00	2.435453144874e+00	1.169389732496e+00
6                   	top	1.069288238984e+00	2.435949922075e+00	1.101640118074e+00
7                   	top	1.016480354928e+00	2.443445954885e+00	1.053008947838e+00
8                   	top	9.749575567852e-01	2.447264567532e+00	1.015528893901e+00
9                   	top	9.419785080058e-01	2.449533767976e+00	9.865929793668e-01
10                  	top	9.153448259276e-01	2.451102076590e+00	9.640584155834e-01
11                  	top	8.941579164960e-01	2.452282241624e+00	9.470445770766e-01
12                  	top	8.775837176648e-01	2.453156457523e+00	9.346733616206e-01
13                  	top	8.653548098119e-01	2.453810528312e+00	9.266547932233e-01
14                  	top	8.572064028329e-01	2.454295987731e+00	9.226739454047e-01
15                  	top	8.531221631321e-01	2.454666894890e+00	9.226666367815e-01
16                  	top	8.530356704426e-01	2.454954505697e+00	9.264916203650e-01
17                  	top	8.569195507850e-01	2.455182518380e+00	9.340421762123e-01
18                  	top	8.646090605030e-01	2.455363159349e+00	9.450601459239e-01
19                  	top	8.758312920749e-01	2.455504421093e+00	9.591814728272e-01
20                  	top	8.901312231880e-01	2.455613036731e+00	9.758624088158e-01
21                  	top	9.069221202718e-01	2.455695053610e+00	9.944427422517e-01
22                  	top	9.255070283642e-01	2.455755322721e+00	1.014172033465e+00
23                  	top	9.451636392121e-01	2.455798002717e+00	1.034301823968e+00
24                  	top	9.652072428619e-01	2.455826430638e+00	1.054148141525e+00
25                  	top	9.850601252957e-01	2.455843473555e+00	1.073157412268e+00
26                  	top	1.004285493794e+00	2.455851521168e+00	1.090932575685e+00
27                  	top	1.022601204409e+00	2.455852611482e+00	1.107237560613e+00
28                  	top	1.039864852438e+00	2.455848401442e+00	1.121975592466e+00
29                  	top	1.056044110428e+00	2.455840409639e+00	1.135156940245e+00
30                  	top	1.071166172124e+00	2.455829911688e+00	1.146861064592e+00
31                  	top	1.085239667945e+00	2.455818036561e+00	1.157198961669e+00
32                  	top	1.098188934715e+00	2.455805672901e+00	1.166280396572e+00
33                  	top	1.109920619849e+00	2.455793583460e+00	1.174203598140e+00
34                  	top	1.120464739951e+00	2.455782302657e+00	1.181072895759e+00
35                  	top	1.129978900061e+00	2.455772264571e+00	1.187012636752e+00
36                  	top	1.138652946280e+00	2.455763703068e+00	1.192157301332e+00
37                  	top	1.146648652972e+00	2.455756789861e+00	1.196633040827e+00
38                  	top	1.154089021702e+00	2.455751531014e+00	1.200546715712e+00
39                  	top	1.161062704615e+00	2.455747916665e+00	1.203983561110e+00
40                  	top	1.167628354389e+00	2.455745813535e+00	1.207009929794e+00
41                  	top	1.173819618423e+00	2.455745108182e+00	1.209677085100e+00
42                  	top	1.177906817437e+00	2.455745593780e+00	1.212025030094e+00
43                  	top	1.177397075093e+00	2.455747114811e+00	1.214085467888e+00
44                  	top	1.177023565155e+00	2.455749440939e+00	1.215884365280e+00
45                  	top	1.176774681133e+00	2.455752404558e+00	1.217443699172e+00
46                  	top	1.176637260740e+00	2.455755779900e+00	1.218783060555e+00
47                  	top	1.176597009364e+00	2.455759424989e+00	1.219920079352e+00
48                  	top	1.176639103459e+00	2.455763152138e+00	1.220871283481e+00
49                  	top	1.176749474931e+00	2.455766859953e+00	1.221652384687e+00
50                  	top	1.176913566146e+00	2.455770403499e+00	1.222278615271e+00
51                  	top	1.177117349475e+00	2.455773725044e+00	1.222764731152e+00
52                  	top	1.177347656177e+00	2.455776724088e+00	1.223125223133e+00
53                  	top	1.177592521990e+00	2.455779385988e+00	1.223374137008e+00
54                  	top	1.177841424564e+00	2.455781652601e+00	1.223525191806e+00
55                  	top	1.178085439184e+00	2.455783547505e+00	1.223591577176e+00
56                  	top	1.178317230115e+00	2.455785045086e+00	1.223585959234e+00
57                  	top	1.178531124662e+00	2.455786194758e+00	1.223520289263e+00
58                  	top	1.178722989106e+00	2.455786992419e+00	1.223405858157e+00
59                  	top	1.178890182747e+00	2.455787503515e+00	1.223253092379e+00
60                  	top	1.179031331918e+00	2.455787734924e+00	1.223071613590e+00
61                  	top	1.179146217248e+00	2.455787757961e+00	1.222870066973e+00
62                  	top	1.179235573337e+00	2.455787581640e+00	1.222656207004e+00
63                  	top	1.179300904198e+00	2.455787276186e+00	1.222436758856e+00
64                  	top	1.179344239550e+00	2.455786846891e+00	1.222217534557e+00
65                  	top	1.179368028647e+00	2.455786358974e+00	1.222003333906e+00
66                  	top	1.179374918652e+00	2.455785812087e+00	1.221798099622e+00
67                  	top	1.179367690924e+00	2.455785264636e+00	1.221604829324e+00
68                  	top	1.179349085007e+00	2.455784707993e+00	1.221425760107e+00
69                  	top	1.179321767943e+00	2.455784191655e+00	1.221262347679e+00
70                  	top	1.179288191684e+00	2.455783698174e+00	1.221115467202e+00
71                  	top	1.179250612002e+00	2.455783268987e+00	1.220985355848e+00
72                  	top	1.179210988474e+00	2.455782879264e+00	1.220871824230e+00
73                  	top	1.179171031747e+00	2.455782564042e+00	1.220774228809e+00
74                  	top	1.179132131160e+00	2.455782292823e+00	1.220691685274e+00
75                  	top	1.179095425758e+00	2.455782095930e+00	1.220623027278e+00
76                  	top	1.179061750461e+00	2.455781938926e+00	1.220567006232e+00
77                  	top	1.179031722102e+00	2.455781849008e+00	1.220522232179e+00
78                  	top	1.179005697037e+00	2.455781789357e+00	1.220487355369e+00
79                  	top	1.178983866368e+00	2.455781785557e+00	1.220460989029e+00
80                  	top	1.178966216790e+00	2.455781799791e+00	1.220441865697e+00
81                  	top	1.178952627426e+00	2.455781857274e+00	1.220428745575e+00
82                  	top	1.178942833317e+00	2.455781920273e+00	1.220420555102e+00
83                  	top	1.178936511853e+00	2.455782014501e+00	1.220416274726e+00
84                  	top	1.178933265201e+00	2.455782103045e+00	1.220415066668e+00
85                  	top	1.178932684171e+00	2.455782212680e+00	1.220416147015e+00
86                  	top	1.178934310368e+00	2.455782307708e+00	1.220418913170e+00
87                  	top	1.178937722912e+00	2.455782416222e+00	1.220422807229e+00
88                  	top	1.178942479063e+00	2.455782503874e+00	1.220427428702e+00
89                  	top	1.178948205799e+00	2.455782600060e+00	1.220432405632e+00
90                  	top	1.178954529315e+00	2.455782671701e+00	1.220437502716e+00
91                  	top	1.178961154852e+00	2.455782749339e+00	1.220442488923e+00
92                  	top	1.178967776884e+00	2.455782800969e+00	1.220447248833e+00
93                  	top	1.178974214514e+00	2.455782858020e+00	1.220451654252e+00
94                  	top	1.178980273801e+00	2.455782889193e+00	1.220455673912e+00
95                  	top	1.178985835742e+00	2.455782926552e+00	1.220459242319e+00
96                  	top	1.178990789434e+00	2.455782939347e+00	1.220462380135e+00
97                  	top	1.178995092783e+00	2.455782960008e+00	1.220465063547e+00
98                  	top	1.178998702589e+00	2.455782958066e+00	1.220467344154e+00
99                  	top	1.179001636060e+00	2.455782966071e+00	1.220469218859e+00
100                 	top	1.179003900914e+00	2.455782953589e+00	1.220470751824e+00
101                 	top	1.179005554167e+00	2.455782953148e+00	1.220471948181e+00
102                 	top	1.179006634159e+00	2.455782934223e+00	1.220472877085e+00
103                 	top	1.179007221288e+00	2.455782929212e+00	1.220473543980e+00
104                 	top	1.179007368748e+00	2.455782907398e+00	1.220474015428e+00
105                 	top	1.179007165146e+00	2.455782900985e+00	1.220474293895e+00
106                 	top	1.179006665592e+00	2.455782879029e+00	1.220474441667e+00
107                 	top	1.179005955120e+00	2.455782873502e+00	1.220474455957e+00
108                 	top	1.179005080891e+00	2.455782853254e+00	1.220474393106e+00
109                 	top	1.179004117206e+00	2.455782850056e+00	1.220474244736e+00
110                 	top	1.179003097992e+00	2.455782832561e+00	1.220474061342e+00
111                 	top	1.179002083055e+00	2.455782832356e+00	1.220473828708e+00
112                 	top	1.179001091391e+00	2.455782817955e+00	1.220473592108e+00
113                 	top	1.179000167606e+00	2.455782820830e+00	1.220473332151e+00
114                 	top	1.178999317919e+00	2.455782809382e+00	1.220473091146e+00
115                 	top	1.178998573056e+00	2.455782815026e+00	1.220472845696e+00
116                 	top	1.178997924866e+00	2.455782806033e+00	1.220472627820e+00
117                 	top	1.178997392989e+00	2.455782813836e+00	1.220472410916e+00
118                 	top	1.178996960465e+00	2.455782806726e+00	1.220472233071e+00
119                 	top	1.178996640106e+00	2.455782816069e+00	1.220472070102e+00
120                 	top	1.178996408468e+00	2.455782810182e+00	1.220471942695e+00
121                 	top	1.178996273413e+00	2.455782820433e+00	1.220471823279e+00
122                 	top	1.178996207627e+00	2.455782815162e+00	1.220471742803e+00
123                 	top	1.178996216972e+00	2.455782825761e+00	1.220471668770e+00
124                 	top	1.178996273086e+00	2.455782820609e+00	1.220471629945e+00
125                 	top	1.178996381292e+00	2.455782831138e+00	1.220471593104e+00
126                 	top	1.178996514097e+00	2.455782825760e+00	1.220471587114e+00
127                 	top	1.178996677889e+00	2.455782835925e+00	1.220471577195e+00
128                 	top	1.178996846865e+00	2.455782830107e+00	1.220471593350e+00
129                 	top	1.178997030126e+00	2.455782839779e+00	1.220471607557e+00
130                 	top	1.178997203679e+00	2.455782833440e+00	1.220471637266e+00
131                 	top	1.178997378780e+00	2.455782842584e+00	1.220471656114e+00
132                 	top	1.178997534410e+00	2.455782835702e+00	1.220471696193e+00
133                 	top	1.178997684560e+00	2.455782844317e+00	1.220471726367e+00
134                 	top	1.178997809482e+00	2.455782836967e+00	1.220471766420e+00
135                 	top	1.178997924804e+00	2.455782845160e+00	1.220471787249e+00
136                 	top	1.178998013507e+00	2.455782837429e+00	1.220471818954e+00
137                 	top	1.178998092432e+00	2.455782845292e+00	1.220471837776e+00
