# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	maxMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.040000000000e+00 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	1.007076038531e+00	(1.200000000000e-01 1.229358735696e-02 5.000000000000e-02)	13	4
2                   	1.014078161221e+00	(7.600000000000e-01 1.976492149912e-02 5.000000000000e-02)	33	4
3                   	1.020350023823e+00	(9.200000000000e-01 2.666597511054e-02 5.000000000000e-02)	47	4
4                   	1.025925357934e+00	(9.200000000000e-01 2.666597511054e-02 5.000000000000e-02)	47	4
5                   	1.031541711694e+00	(1.000000000000e+00 2.666597511054e-02 5.000000000000e-02)	39	5
6                   	1.037668694516e+00	(1.080000000000e+00 2.666597511054e-02 5.000000000000e-02)	40	5
7                   	1.044442744564e+00	(1.160000000000e+00 2.666597511054e-02 5.000000000000e-02)	41	5
8                   	1.051821360000e+00	(1.320000000000e+00 2.666597511054e-02 5.000000000000e-02)	43	5
9                   	1.059556208474e+00	(1.400000000000e+00 2.666597511054e-02 5.000000000000e-02)	44	5
10                  	1.068257819434e+00	(1.560000000000e+00 1.976492149912e-02 5.000000000000e-02)	33	5
11                  	1.077060906411e+00	(1.560000000000e+00 1.976492149912e-02 5.000000000000e-02)	33	5
12                  	1.085080032898e+00	(1.480000000000e+00 1.976492149912e-02 5.000000000000e-02)	32	5
13                  	1.094092689333e+00	(1.480000000000e+00 1.229358735696e-02 5.000000000000e-02)	19	5
14                  	1.102108051487e+00	(1.240000000000e+00 1.229358735696e-02 5.000000000000e-02)	16	5
15                  	1.108858698471e+00	(1.080000000000e+00 1.229358735696e-02 5.000000000000e-02)	14	5
16                  	1.114295338055e+00	(1.000000000000e+00 1.229358735696e-02 5.000000000000e-02)	13	5
17                  	1.118543826900e+00	(9.200000000000e-01 1.229358735696e-02 5.000000000000e-02)	23	4
18                  	1.121805505119e+00	(8.400000000000e-01 1.229358735696e-02 5.000000000000e-02)	22	4
19                  	1.124284457109e+00	(8.400000000000e-01 1.229358735696e-02 5.000000000000e-02)	22	4
