# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	minMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.040000000000e+00 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	8.806754890810e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
2                   	7.892866482748e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
3                   	7.746787596626e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
4                   	7.710655752030e-01	(8.400000000000e-01 9.957951534364e-02 5.000000000000e-02)	185	6
5                   	7.716386281224e-01	(8.400000000000e-01 9.957951534364e-02 5.000000000000e-02)	185	6
6                   	7.736594611745e-01	(8.400000000000e-01 9.957951534364e-02 5.000000000000e-02)	185	6
7                   	7.760641282396e-01	(9.200000000000e-01 9.957951534364e-02 5.000000000000e-02)	186	6
8                   	7.784518016497e-01	(9.200000000000e-01 9.957951534364e-02 5.000000000000e-02)	186	6
9                   	7.806865541699e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
10                  	7.827348806886e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
11                  	7.846059730447e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
12                  	7.863204633504e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
13                  	7.879034664710e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
14                  	7.893792901086e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
15                  	7.907693765265e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
16                  	7.920922069553e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
17                  	7.933631781058e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
18                  	7.945949051482e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
19                  	7.957977610818e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
20                  	7.969803607472e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
21                  	7.981499014599e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
22                  	7.993123963256e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
23                  	8.004728397367e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
24                  	8.016353340931e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
25                  	8.028031985435e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
26                  	8.039790666693e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
27                  	8.051649755958e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
28                  	8.063624495345e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
29                  	8.075725725848e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
30                  	8.087960551678e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
31                  	8.100332926682e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
32                  	8.112844179449e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
33                  	8.125493466423e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
34                  	8.138278168466e-01	(1.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	7
35                  	8.151192863538e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
36                  	8.164231268540e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
37                  	8.177390324919e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
38                  	8.190663269557e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
39                  	8.204042809346e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
40                  	8.217521298123e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
41                  	8.231090841106e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
42                  	8.244743405591e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
43                  	8.258470910817e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
44                  	8.272265289437e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
45                  	8.286118554764e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
46                  	8.300022844204e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
47                  	8.313970458450e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
48                  	8.327953887513e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
49                  	8.341965832064e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
50                  	8.355999220264e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
51                  	8.370047225392e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
52                  	8.384103277141e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
53                  	8.398161062639e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
54                  	8.412214530820e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
55                  	8.426257902297e-01	(1.000000000000e+00 9.957951534364e-02 5.000000000000e-02)	187	6
