# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	top	(-4.756416363230e-02 -5.468480686912e-18 -5.725327938698e-34)	(-4.756416363229e-02 5.468480686912e-18 0.000000000000e+00)
1.000000000000e+02	top	(-4.522929089088e-02 -4.579804925567e-05 -3.088678721480e-19)	(-4.277555106332e-02 4.096163518219e-04 6.331304124171e-19)
2.000000000000e+02	top	(-4.660182506181e-02 -5.095496536941e-05 -1.085266486966e-19)	(-4.591606565446e-02 3.757056079816e-04 2.224880866325e-19)
3.000000000000e+02	top	(-4.705266103959e-02 -4.650311416845e-05 -4.405276076047e-20)	(-4.691260364201e-02 3.691254443497e-04 9.031790854328e-20)
4.000000000000e+02	top	(-4.726979023226e-02 -4.025498710897e-05 -2.337971644195e-20)	(-4.721632813921e-02 3.694424961733e-04 4.793575820597e-20)
5.000000000000e+02	top	(-4.736769879091e-02 -3.441852789407e-05 -1.566853664953e-20)	(-4.728661034291e-02 3.713289950440e-04 3.212620893592e-20)
6.000000000000e+02	top	(-4.741410968684e-02 -2.945541302616e-05 -1.203337736974e-20)	(-4.732346358652e-02 3.733330146148e-04 2.467308734582e-20)
7.000000000000e+02	top	(-4.744134527249e-02 -2.535491852245e-05 -9.905096610925e-21)	(-4.734634421020e-02 3.750871617461e-04 2.030939130362e-20)
8.000000000000e+02	top	(-4.745962153470e-02 -2.199329137589e-05 -8.466380842255e-21)	(-4.736226421309e-02 3.765365256577e-04 1.735949057128e-20)
9.000000000000e+02	top	(-4.747287967616e-02 -1.923483451840e-05 -7.409328931591e-21)	(-4.737415509924e-02 3.777120343365e-04 1.519212291017e-20)
1.000000000000e+03	top	(-4.748297978105e-02 -1.696002306657e-05 -6.592946566366e-21)	(-4.738344912257e-02 3.786620292909e-04 1.351821342072e-20)
