# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.585219064476e+00	4.585219064477e+00	4.585219064476e+00
100                 	top	4.348284623912e+00	4.471276257688e+00	4.352087640438e+00
200                 	top	4.505079833787e+00	4.538606925573e+00	4.506830574309e+00
300                 	top	4.553705359976e+00	4.560506265409e+00	4.554468645570e+00
400                 	top	4.568430299681e+00	4.571006243886e+00	4.569353084393e+00
500                 	top	4.571828742697e+00	4.575737864245e+00	4.574784035245e+00
600                 	top	4.573609684528e+00	4.577979182404e+00	4.577291765090e+00
700                 	top	4.574715012512e+00	4.579294046882e+00	4.578735132897e+00
800                 	top	4.575483906213e+00	4.580176219551e+00	4.579698500422e+00
900                 	top	4.576058108495e+00	4.580816097067e+00	4.580399566012e+00
1000                	top	4.576506853018e+00	4.581303514096e+00	4.580936943675e+00
