# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.585219064476e+00	4.585219064477e+00	4.585219064476e+00
1                   	top	4.302967283787e+00	4.316913159272e+00	4.303135780527e+00
2                   	top	4.073591423203e+00	4.146847469723e+00	4.074507850099e+00
3                   	top	4.035718946691e+00	4.135855771188e+00	4.036921427744e+00
4                   	top	4.026296434887e+00	4.147186638586e+00	4.027779530763e+00
5                   	top	4.027792320885e+00	4.164072185536e+00	4.029537712676e+00
6                   	top	4.033063035322e+00	4.181047268240e+00	4.035039839887e+00
7                   	top	4.039325900399e+00	4.196513897375e+00	4.041509173974e+00
8                   	top	4.045534913187e+00	4.210202650882e+00	4.047907474579e+00
9                   	top	4.051337642488e+00	4.222262098986e+00	4.053886161045e+00
10                  	top	4.056649009861e+00	4.232936823188e+00	4.059367710563e+00
11                  	top	4.061494733776e+00	4.242463503086e+00	4.064377326849e+00
12                  	top	4.065929822027e+00	4.251042442674e+00	4.068975007781e+00
13                  	top	4.070020484650e+00	4.258836600376e+00	4.073227991496e+00
14                  	top	4.073830483314e+00	4.265975775535e+00	4.077199473152e+00
15                  	top	4.077415886162e+00	4.272564046874e+00	4.080944552799e+00
16                  	top	4.080824892719e+00	4.278684568959e+00	4.084509692352e+00
17                  	top	4.084097574709e+00	4.284404481002e+00	4.087933595293e+00
18                  	top	4.087266704919e+00	4.289778581621e+00	4.091248408565e+00
19                  	top	4.090359182468e+00	4.294851982491e+00	4.094480850707e+00
20                  	top	4.093397304629e+00	4.299661891531e+00	4.097653141588e+00
21                  	top	4.096399662021e+00	4.304239499635e+00	4.100783730893e+00
22                  	top	4.099381752769e+00	4.308611072853e+00	4.103887870316e+00
23                  	top	4.102356419011e+00	4.312798867655e+00	4.106978079892e+00
24                  	top	4.105334181503e+00	4.316821805975e+00	4.110064537874e+00
25                  	top	4.108323526349e+00	4.320696186796e+00	4.113155418813e+00
26                  	top	4.111331161999e+00	4.324436095320e+00	4.116257186042e+00
27                  	top	4.114362253162e+00	4.328053779851e+00	4.119374845375e+00
28                  	top	4.117420639476e+00	4.331559739398e+00	4.122512164717e+00
29                  	top	4.120509025886e+00	4.334963006995e+00	4.125671866738e+00
30                  	top	4.123629156019e+00	4.338271461622e+00	4.128855795984e+00
31                  	top	4.126781965034e+00	4.341492088472e+00	4.132065063507e+00
32                  	top	4.129967716259e+00	4.344631230870e+00	4.135300171391e+00
33                  	top	4.133186118977e+00	4.347694642008e+00	4.138561116160e+00
34                  	top	4.136436431359e+00	4.350687608356e+00	4.141847480152e+00
35                  	top	4.139717201408e+00	4.353614624514e+00	4.145158498356e+00
36                  	top	4.143026762554e+00	4.356479588574e+00	4.148493132660e+00
37                  	top	4.146364270432e+00	4.359285837301e+00	4.151850130916e+00
38                  	top	4.149727944376e+00	4.362036253047e+00	4.155228073386e+00
39                  	top	4.153115874821e+00	4.364733373442e+00	4.158625410252e+00
40                  	top	4.156526068692e+00	4.367379492526e+00	4.162040504089e+00
41                  	top	4.159956476243e+00	4.369976707376e+00	4.165471651448e+00
42                  	top	4.163405019344e+00	4.372526953601e+00	4.168917108118e+00
43                  	top	4.166869614367e+00	4.375032024192e+00	4.172375108806e+00
44                  	top	4.170348187784e+00	4.377493581472e+00	4.175843883571e+00
45                  	top	4.173838693141e+00	4.379913167744e+00	4.179321671514e+00
46                  	top	4.177339121936e+00	4.382292215232e+00	4.182806732100e+00
47                  	top	4.180847513369e+00	4.384632055976e+00	4.186297354410e+00
48                  	top	4.184361960721e+00	4.386933931714e+00	4.189791864608e+00
49                  	top	4.187880616523e+00	4.389199003208e+00	4.193288631914e+00
50                  	top	4.191401696545e+00	4.391428358931e+00	4.196786073235e+00
51                  	top	4.194923483965e+00	4.393623022672e+00	4.200282656718e+00
52                  	top	4.198444331922e+00	4.395783960122e+00	4.203776904367e+00
53                  	top	4.201962663476e+00	4.397912084361e+00	4.207267393873e+00
54                  	top	4.205476972404e+00	4.400008260762e+00	4.210752759758e+00
55                  	top	4.208985825355e+00	4.402073310876e+00	4.214231693960e+00
56                  	top	4.212487855492e+00	4.404108016017e+00	4.217702945963e+00
57                  	top	4.215981762949e+00	4.406113120320e+00	4.221165322541e+00
58                  	top	4.219466314789e+00	4.408089333381e+00	4.224617687158e+00
59                  	top	4.222940343670e+00	4.410037332673e+00	4.228058959127e+00
60                  	top	4.226402745612e+00	4.411957765579e+00	4.231488112488e+00
61                  	top	4.229852478969e+00	4.413851251397e+00	4.234904174812e+00
62                  	top	4.233288561566e+00	4.415718383101e+00	4.238306225845e+00
63                  	top	4.236710069199e+00	4.417559728951e+00	4.241693396091e+00
64                  	top	4.240116133031e+00	4.419375833955e+00	4.245064865146e+00
65                  	top	4.243505937696e+00	4.421167221253e+00	4.248419860169e+00
