# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	maxMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.040000000000e+00 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	1.020267225368e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
2                   	1.038204893716e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
3                   	1.052321908879e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
4                   	1.064629708895e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
5                   	1.076788503634e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
6                   	1.089140720139e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
7                   	1.101882920741e+00	(7.960000000000e+00 2.666597511054e-02 5.000000000000e-02)	51	11
8                   	1.115292993669e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
9                   	1.129507647340e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
10                  	1.144693052499e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
11                  	1.161056962644e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
12                  	1.178810066945e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
13                  	1.198163920346e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
14                  	1.219322951813e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
15                  	1.242469679234e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
16                  	1.267736491681e+00	(7.960000000000e+00 3.304027721530e-02 5.000000000000e-02)	64	11
17                  	1.296324536696e+00	(3.080000000000e+00 1.976492149912e-02 5.000000000000e-02)	27	3
18                  	1.331189447791e+00	(2.600000000000e+00 1.229358735696e-02 5.000000000000e-02)	19	2
19                  	1.368499677089e+00	(2.840000000000e+00 1.229358735696e-02 5.000000000000e-02)	22	2
20                  	1.402589825478e+00	(3.320000000000e+00 1.229358735696e-02 5.000000000000e-02)	17	3
21                  	1.436033763591e+00	(4.040000000000e+00 1.229358735696e-02 5.000000000000e-02)	12	12
22                  	1.475957700490e+00	(7.400000000000e+00 1.976492149912e-02 5.000000000000e-02)	31	11
23                  	1.520556693096e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
24                  	1.565945136305e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
25                  	1.609146351678e+00	(7.960000000000e+00 1.976492149912e-02 5.000000000000e-02)	38	11
26                  	1.652966128814e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
27                  	1.695714712820e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
28                  	1.726902937488e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
29                  	1.739438382310e+00	(7.960000000000e+00 1.229358735696e-02 5.000000000000e-02)	25	11
30                  	1.744267018810e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
31                  	1.746905490048e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
32                  	1.736284144264e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
33                  	1.717871775700e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
34                  	1.696012067287e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
35                  	1.673320404927e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
36                  	1.651194598197e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
37                  	1.630314013052e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
38                  	1.610950456536e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
39                  	1.593156854943e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
40                  	1.576879129514e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
41                  	1.562017216936e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
42                  	1.548455106268e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
43                  	1.536074424124e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
44                  	1.524760316237e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
45                  	1.514403967841e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
46                  	1.504903714238e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
47                  	1.496165476336e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
48                  	1.488102800266e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
49                  	1.480636676262e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
50                  	1.473695249495e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
51                  	1.467213452662e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
52                  	1.461132608418e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
53                  	1.455400015199e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
54                  	1.449968524205e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
55                  	1.444796130534e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
56                  	1.439845569976e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
57                  	1.435083932332e+00	(7.960000000000e+00 4.204846563605e-03 5.000000000000e-02)	12	11
