# Selection         : all 
# Volume            : 8.000000000000e-02
# Time              	minMag(U)	location	cell	processor
0                   	1.000000000000e+00	(4.040000000000e+00 7.796978376965e-02 5.000000000000e-02)	0	15
1                   	3.742858784279e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
2                   	1.654313510320e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
3                   	1.281883653381e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
4                   	1.109157192343e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
5                   	1.083773196011e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
6                   	1.098446125172e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
7                   	1.148474573535e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
8                   	1.217870750813e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
9                   	1.299435411976e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
10                  	1.386713264804e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
11                  	1.474774594062e-01	(6.520000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	8
12                  	1.560198863608e-01	(6.440000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	8
13                  	1.641054392632e-01	(6.360000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	8
14                  	1.716537919103e-01	(6.360000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	8
15                  	1.786584251465e-01	(6.360000000000e+00 9.957951534364e-02 5.000000000000e-02)	179	8
16                  	1.851530702556e-01	(6.440000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	8
17                  	1.911893305638e-01	(6.440000000000e+00 9.957951534364e-02 5.000000000000e-02)	180	8
18                  	1.968237788942e-01	(6.520000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	8
19                  	2.021116829836e-01	(6.600000000000e+00 9.957951534364e-02 5.000000000000e-02)	182	8
20                  	2.071042149225e-01	(6.760000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	8
21                  	2.118482191202e-01	(6.920000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	8
22                  	2.163862342909e-01	(7.080000000000e+00 9.957951534364e-02 5.000000000000e-02)	175	9
23                  	2.207573890335e-01	(7.320000000000e+00 9.957951534364e-02 5.000000000000e-02)	178	9
24                  	2.249977482308e-01	(7.560000000000e+00 9.957951534364e-02 5.000000000000e-02)	181	9
25                  	2.291410281490e-01	(7.800000000000e+00 9.957951534364e-02 5.000000000000e-02)	184	9
26                  	2.332252906723e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
27                  	2.372873545515e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
28                  	2.413697339877e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
29                  	2.455101146622e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
30                  	2.497384092269e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
31                  	2.540686910450e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
32                  	2.585004755054e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
33                  	2.630313180462e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
34                  	2.676663616540e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
35                  	2.724178932083e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
36                  	2.773010053434e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
37                  	2.823295620930e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
38                  	2.875134851676e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
39                  	2.928575373210e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
40                  	2.983612922452e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
41                  	3.040197551307e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
42                  	3.098242266104e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
43                  	3.157631947692e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
44                  	3.218231690218e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
45                  	3.279894276591e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
46                  	3.342466621944e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
47                  	3.405795120558e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
48                  	3.469729897055e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
49                  	3.534127996890e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
50                  	3.598855719776e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
51                  	3.663789999953e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
52                  	3.728819201621e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
53                  	3.793843375155e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
54                  	3.858774008626e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
55                  	3.923533641165e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
56                  	3.988055159614e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
57                  	4.052281001453e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
58                  	4.116162288111e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
59                  	4.179657953457e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
60                  	4.242733872322e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
61                  	4.305362031678e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
62                  	4.367519748003e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
63                  	4.429188963295e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
64                  	4.490355586489e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
65                  	4.551008871836e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
66                  	4.611141012884e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
67                  	4.670746575473e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
68                  	4.729822131745e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
69                  	4.788365911688e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
70                  	4.846377503035e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
71                  	4.903857591632e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
72                  	4.960807744095e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
73                  	5.017230220143e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
74                  	5.073127816154e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
75                  	5.128503735707e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
76                  	5.183361479365e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
77                  	5.237704756780e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
78                  	5.291537413707e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
79                  	5.344863373213e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
80                  	5.397686589388e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
81                  	5.450011010879e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
82                  	5.501840552251e-01	(7.960000000000e+00 9.957951534364e-02 5.000000000000e-02)	186	9
