# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	top	(-4.756416363230e-02 -5.468480686912e-18 -5.725327938698e-34)	(-4.756416363229e-02 5.468480686912e-18 0.000000000000e+00)
1.000000000000e+02	top	(-4.446549809621e-02 -3.891336440832e-05 -1.060982336552e-18)	(-3.022301609784e-02 4.326072726637e-04 2.237453554281e-18)
2.000000000000e+02	top	(-4.640556015438e-02 -5.609866982105e-05 -3.132237432174e-19)	(-4.263032017144e-02 3.778605452695e-04 6.521660130563e-19)
3.000000000000e+02	top	(-4.700206952628e-02 -5.331354576396e-05 -9.252745009091e-20)	(-4.615536762175e-02 3.670232023685e-04 1.916676792115e-19)
4.000000000000e+02	top	(-4.721689040588e-02 -4.665508597035e-05 -3.391940503982e-20)	(-4.706982183407e-02 3.665427749688e-04 6.989865840330e-20)
5.000000000000e+02	top	(-4.735671787106e-02 -4.012915727832e-05 -1.765804477895e-20)	(-4.728566072012e-02 3.684453897121e-04 3.622884072410e-20)
6.000000000000e+02	top	(-4.741229876128e-02 -3.453882897124e-05 -1.220705020120e-20)	(-4.732493197430e-02 3.706456483751e-04 2.499334797037e-20)
7.000000000000e+02	top	(-4.744161339847e-02 -2.991435070700e-05 -9.736898270982e-21)	(-4.734819792055e-02 3.726173062162e-04 1.992457084730e-20)
8.000000000000e+02	top	(-4.746038484510e-02 -2.611932816308e-05 -8.263654625262e-21)	(-4.736401664301e-02 3.742671169905e-04 1.690931268051e-20)
9.000000000000e+02	top	(-4.747375479459e-02 -2.300002506352e-05 -7.228860965119e-21)	(-4.737571603380e-02 3.756191422656e-04 1.479344766809e-20)
1.000000000000e+03	top	(-4.748386043748e-02 -2.042163009577e-05 -6.440093174776e-21)	(-4.738482405402e-02 3.767229655458e-04 1.318098591832e-20)
