# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.585219064476e+00	4.585219064477e+00	4.585219064476e+00
100                 	top	3.655013667623e+00	4.433365853162e+00	3.745427051200e+00
200                 	top	4.340896562593e+00	4.529040554858e+00	4.362582386904e+00
300                 	top	4.516804142511e+00	4.558054305155e+00	4.521706897610e+00
400                 	top	4.561329363922e+00	4.568446402572e+00	4.562322338244e+00
500                 	top	4.571783044827e+00	4.575207150156e+00	4.573448464640e+00
600                 	top	4.573680806825e+00	4.577891492160e+00	4.577158683114e+00
700                 	top	4.574804704772e+00	4.579306757833e+00	4.578830030910e+00
800                 	top	4.575568672272e+00	4.580212852939e+00	4.579818630969e+00
900                 	top	4.576133601022e+00	4.580858146019e+00	4.580507129186e+00
1000                	top	4.576573344463e+00	4.581345848145e+00	4.581028004616e+00
