# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.585219064476e+00	4.585219064477e+00	4.585219064476e+00
1                   	top	2.805186953132e+00	3.188124849750e+00	2.810626568269e+00
2                   	top	1.864957751104e+00	2.689823892983e+00	1.877083699961e+00
3                   	top	1.641664451763e+00	2.738052092520e+00	1.660603554726e+00
4                   	top	1.527061891659e+00	2.799441607101e+00	1.551781504241e+00
5                   	top	1.509486705279e+00	2.929998899294e+00	1.539019979720e+00
6                   	top	1.519670629721e+00	3.068978617543e+00	1.554084435861e+00
7                   	top	1.553891824641e+00	3.219400162127e+00	1.594110393569e+00
8                   	top	1.600149976958e+00	3.361333606831e+00	1.646485096239e+00
9                   	top	1.652865209246e+00	3.490599402139e+00	1.705552411832e+00
10                  	top	1.707471346430e+00	3.603273580952e+00	1.766553198451e+00
11                  	top	1.760852235992e+00	3.698144370552e+00	1.826228633878e+00
12                  	top	1.811131850281e+00	3.776056272155e+00	1.882606895460e+00
13                  	top	1.857469013008e+00	3.839284282149e+00	1.934789150299e+00
14                  	top	1.899707731643e+00	3.890620194834e+00	1.982614533418e+00
15                  	top	1.938080626030e+00	3.932689762811e+00	2.026340476253e+00
16                  	top	1.972993018401e+00	3.967654943009e+00	2.066411588780e+00
17                  	top	2.004896306315e+00	3.997175243854e+00	2.103322947041e+00
18                  	top	2.034224461189e+00	4.022487377048e+00	2.137552508567e+00
19                  	top	2.061369275689e+00	4.044504518611e+00	2.169535085914e+00
20                  	top	2.086673776573e+00	4.063904556970e+00	2.199659948888e+00
21                  	top	2.110437514727e+00	4.081195818121e+00	2.228278625534e+00
22                  	top	2.132921657215e+00	4.096764302775e+00	2.255698351205e+00
23                  	top	2.154357207012e+00	4.110906716266e+00	2.282179112328e+00
24                  	top	2.174949488806e+00	4.123855753318e+00	2.307945962399e+00
25                  	top	2.194883724675e+00	4.135794878801e+00	2.333192952552e+00
26                  	top	2.214358384570e+00	4.146871808854e+00	2.358084937685e+00
27                  	top	2.233558782818e+00	4.157205080174e+00	2.382758021069e+00
28                  	top	2.252690332983e+00	4.166890148859e+00	2.407318903168e+00
29                  	top	2.271929151167e+00	4.176011215735e+00	2.431843751688e+00
30                  	top	2.291409767309e+00	4.184636017012e+00	2.456377875390e+00
31                  	top	2.311190078592e+00	4.192812674360e+00	2.480941660738e+00
32                  	top	2.331260271255e+00	4.200598363665e+00	2.505543380550e+00
33                  	top	2.351601995563e+00	4.208034418388e+00	2.530187732672e+00
34                  	top	2.372231056694e+00	4.215153444692e+00	2.554878922527e+00
35                  	top	2.393193994848e+00	4.221983223850e+00	2.579617824010e+00
36                  	top	2.414547822785e+00	4.228538842243e+00	2.604398581141e+00
37                  	top	2.436342082230e+00	4.234851103800e+00	2.629208335241e+00
38                  	top	2.458607482443e+00	4.240938306156e+00	2.654026070744e+00
39                  	top	2.481351517824e+00	4.246816302713e+00	2.678824997636e+00
40                  	top	2.504559359586e+00	4.252499244102e+00	2.703574461405e+00
41                  	top	2.528197467117e+00	4.257999421046e+00	2.728241886270e+00
42                  	top	2.552218054676e+00	4.263327798981e+00	2.752794487992e+00
43                  	top	2.576563458199e+00	4.268494412806e+00	2.777200587033e+00
44                  	top	2.601170038666e+00	4.273508460370e+00	2.801430549439e+00
45                  	top	2.625971521883e+00	4.278378395419e+00	2.825457417114e+00
46                  	top	2.650901732616e+00	4.283111958401e+00	2.849257279714e+00
47                  	top	2.675896730543e+00	4.287716230156e+00	2.872809443746e+00
48                  	top	2.700896384884e+00	4.292197701010e+00	2.896096440595e+00
49                  	top	2.725845438216e+00	4.296562338708e+00	2.919103914391e+00
50                  	top	2.750694172645e+00	4.300815656692e+00	2.941820453582e+00
51                  	top	2.775398670584e+00	4.304962761483e+00	2.964237334812e+00
52                  	top	2.799920837291e+00	4.309008399513e+00	2.986348262132e+00
53                  	top	2.824228219930e+00	4.312956997090e+00	3.008149093508e+00
54                  	top	2.848293650695e+00	4.316812687116e+00	3.029637549586e+00
55                  	top	2.872094860301e+00	4.320579342314e+00	3.050812968261e+00
56                  	top	2.895613999813e+00	4.324260596657e+00	3.071676049869e+00
57                  	top	2.918837156787e+00	4.327859865637e+00	3.092228630750e+00
58                  	top	2.941753874630e+00	4.331380363516e+00	3.112473479044e+00
