# Selection         : all 
# Volume            : 1.395979868100e-03
# Time              	max(p)	location	cell	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell	max(epsilon)	max(nuTilda)
0                   	0.000000000000e+00	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0	1.500000000000e-04	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0	7.500000000000e+00	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0	2.000000000000e-05	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0
1                   	5.948150069119e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.065103868119e-02	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.117590996867e-05	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
2                   	6.109447823295e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.414193684283e-03	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	5.240578024478e-04	(4.000000000000e-02 8.672354953835e-02 1.000000000000e-01)	19
3                   	5.055785878340e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	2.887972169771e-04	(4.000000000000e-02 9.868946523832e-02 1.000000000000e-01)	28	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	3.083481492075e-05	(1.200000000000e-01 8.478723090457e-02 1.000000000000e-01)	48
4                   	4.558792595772e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	2.292398032394e-04	(2.000000000000e-01 9.671553434398e-02 1.000000000000e-01)	86	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	5.011592753410e-05	(4.000000000000e-02 9.016425328551e-02 1.000000000000e-01)	21
5                   	4.481700343012e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	2.430370396335e-04	(2.800000000000e-01 9.560463532282e-02 1.000000000000e-01)	115	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.510189595111e-05	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
6                   	4.495075591912e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	2.807409023142e-04	(2.800000000000e-01 9.560463532282e-02 1.000000000000e-01)	115	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.651517843336e-05	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
7                   	4.523906255559e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	3.325984367686e-04	(4.400000000000e-01 9.440195554410e-02 1.000000000000e-01)	174	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.784377897296e-05	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
8                   	4.551033197763e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	4.033700385707e-04	(4.400000000000e-01 9.440195554410e-02 1.000000000000e-01)	174	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.896759435582e-05	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
9                   	4.588756262379e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	4.885373702180e-04	(6.800000000000e-01 9.309991496569e-02 1.000000000000e-01)	263	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.975729054524e-05	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
10                  	4.631409576518e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	6.078372712163e-04	(7.600000000000e-01 9.309991496569e-02 1.000000000000e-01)	293	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	3.009838587615e-05	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
11                  	4.681593500775e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	7.597203542082e-04	(3.000000000000e+00 9.169030822923e-02 1.000000000000e-01)	1132	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.991759555962e-05	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
12                  	4.736407629459e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	9.811989429746e-04	(7.880000000000e+00 9.016425328551e-02 1.000000000000e-01)	2961	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.919823319539e-05	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
13                  	4.798538224384e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.259438691562e-03	(7.880000000000e+00 9.016425328551e-02 1.000000000000e-01)	2961	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.798519590829e-05	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
14                  	4.867971871337e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.597773963991e-03	(7.880000000000e+00 9.016425328551e-02 1.000000000000e-01)	2961	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.638223386656e-05	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
15                  	4.949978365026e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	2.026635999890e-03	(7.960000000000e+00 8.851213587209e-02 1.000000000000e-01)	2990	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.454130926188e-05	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
16                  	5.047973191647e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	2.536017390471e-03	(7.960000000000e+00 8.851213587209e-02 1.000000000000e-01)	2990	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.536899986949e-05	(7.960000000000e+00 8.042163427956e-02 1.000000000000e-01)	2986
17                  	5.159356088083e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	3.118322093599e-03	(7.960000000000e+00 8.851213587209e-02 1.000000000000e-01)	2990	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	3.288244534419e-05	(7.960000000000e+00 8.269098984244e-02 1.000000000000e-01)	2987
18                  	5.284833388246e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	3.762936891262e-03	(7.960000000000e+00 8.851213587209e-02 1.000000000000e-01)	2990	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	4.237160075714e-05	(7.960000000000e+00 8.269098984244e-02 1.000000000000e-01)	2987
19                  	5.422318562799e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	4.486338940654e-03	(7.960000000000e+00 8.672354953835e-02 1.000000000000e-01)	2989	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	5.396069675482e-05	(7.960000000000e+00 8.269098984244e-02 1.000000000000e-01)	2987
20                  	5.575430230271e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	5.241417238039e-03	(7.960000000000e+00 8.672354953835e-02 1.000000000000e-01)	2989	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	6.798358177901e-05	(7.960000000000e+00 8.042163427956e-02 1.000000000000e-01)	2986
21                  	5.744936931316e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	5.995343800406e-03	(7.960000000000e+00 8.672354953835e-02 1.000000000000e-01)	2989	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	8.441253509836e-05	(7.960000000000e+00 8.042163427956e-02 1.000000000000e-01)	2986
22                  	5.930405814711e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	6.722378509328e-03	(7.960000000000e+00 8.478723090457e-02 1.000000000000e-01)	2988	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	1.028725625756e-04	(7.960000000000e+00 8.042163427956e-02 1.000000000000e-01)	2986
23                  	6.130021563968e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	7.448896117975e-03	(7.960000000000e+00 8.478723090457e-02 1.000000000000e-01)	2988	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	1.232722712636e-04	(7.960000000000e+00 7.796488937169e-02 1.000000000000e-01)	2985
24                  	6.341142906131e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	8.111491195510e-03	(7.960000000000e+00 8.478723090457e-02 1.000000000000e-01)	2988	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	1.459830112113e-04	(7.960000000000e+00 7.796488937169e-02 1.000000000000e-01)	2985
25                  	6.559514044898e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	8.699800735479e-03	(7.960000000000e+00 8.269098984244e-02 1.000000000000e-01)	2987	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	1.695466607415e-04	(7.960000000000e+00 7.796488937169e-02 1.000000000000e-01)	2985
26                  	6.778592154234e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	9.249623912943e-03	(7.960000000000e+00 8.269098984244e-02 1.000000000000e-01)	2987	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	1.953123017413e-04	(7.960000000000e+00 7.530531087350e-02 1.000000000000e-01)	2984
27                  	6.992772800113e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	9.712137647151e-03	(7.960000000000e+00 8.269098984244e-02 1.000000000000e-01)	2987	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.216020701950e-04	(7.960000000000e+00 7.530531087350e-02 1.000000000000e-01)	2984
28                  	7.197097535290e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.013660231752e-02	(7.960000000000e+00 8.042163427956e-02 1.000000000000e-01)	2986	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.493518678291e-04	(7.960000000000e+00 7.242619270681e-02 1.000000000000e-01)	2983
29                  	7.387185859868e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.049931104010e-02	(7.960000000000e+00 8.042163427956e-02 1.000000000000e-01)	2986	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	2.778248346649e-04	(7.960000000000e+00 7.242619270681e-02 1.000000000000e-01)	2983
30                  	7.558436289110e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.083342686854e-02	(7.960000000000e+00 7.796488937169e-02 1.000000000000e-01)	2985	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	3.064771189163e-04	(7.960000000000e+00 6.930946904294e-02 1.000000000000e-01)	2982
31                  	7.707639027734e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.112941020120e-02	(7.960000000000e+00 7.796488937169e-02 1.000000000000e-01)	2985	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	3.342754135709e-04	(7.960000000000e+00 6.593561181440e-02 1.000000000000e-01)	2981
32                  	7.832197716668e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.140102482029e-02	(7.960000000000e+00 7.530531087350e-02 1.000000000000e-01)	2984	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	3.614944270918e-04	(7.960000000000e+00 6.593561181440e-02 1.000000000000e-01)	2981
33                  	7.929182846306e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.164585529432e-02	(7.960000000000e+00 7.530531087350e-02 1.000000000000e-01)	2984	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	3.907504302498e-04	(7.960000000000e+00 6.228352572410e-02 1.000000000000e-01)	2980
34                  	7.997169103730e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.186064766644e-02	(7.960000000000e+00 7.242619270681e-02 1.000000000000e-01)	2983	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	4.188323092719e-04	(7.960000000000e+00 6.228352572410e-02 1.000000000000e-01)	2980
35                  	8.035937297761e-01	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29	1.205332004654e-02	(7.960000000000e+00 7.242619270681e-02 1.000000000000e-01)	2983	9.077691240894e+03	(2.360000000000e+00 9.956494065743e-02 1.000000000000e-01)	899	4.495246948255e-04	(7.960000000000e+00 5.833044511334e-02 1.000000000000e-01)	2979
