# Selection         : all 
# Volume            : 1.395979868100e-03
# Time              	maxMag(U)	location	cell
0                   	1.000000000000e+00	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0
1                   	1.043740244588e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
2                   	1.082079314174e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
3                   	1.108512855769e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
4                   	1.129631941153e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
5                   	1.148750676592e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
6                   	1.166523060010e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
7                   	1.183104621483e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
8                   	1.198664048840e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
9                   	1.213363250593e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
10                  	1.227313005920e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
11                  	1.240595668049e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
12                  	1.253268639449e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
13                  	1.265391311384e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
14                  	1.277021504032e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
15                  	1.288227248985e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
16                  	1.299093298580e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
17                  	1.309813872646e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
18                  	1.320502557101e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
19                  	1.331223530921e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
20                  	1.342123589709e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
21                  	1.353333309665e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
22                  	1.364936047013e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
23                  	1.376944410118e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
24                  	1.389293303239e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
25                  	1.402276925313e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972
26                  	1.416061590069e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972
27                  	1.429792006038e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972
28                  	1.442935988929e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972
29                  	1.454929605310e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
30                  	1.468269261885e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
31                  	1.479751567889e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
32                  	1.488079263329e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
33                  	1.493100182414e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
34                  	1.498819264916e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
