# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	4.620894717234e+00	4.620894717234e+00	4.620894717234e+00
100                 	top	1.159103345222e+00	2.458173480007e+00	1.262211567460e+00
200                 	top	1.159112411143e+00	2.458173480861e+00	1.262212484687e+00
300                 	top	1.159112415784e+00	2.458173480888e+00	1.262212485984e+00
400                 	top	1.159112415137e+00	2.458173480879e+00	1.262212484953e+00
500                 	top	1.159112415318e+00	2.458173480884e+00	1.262212485398e+00
600                 	top	1.159112417150e+00	2.458173480889e+00	1.262212492417e+00
700                 	top	1.159112414925e+00	2.458173480881e+00	1.262212487911e+00
800                 	top	1.159112415397e+00	2.458173480883e+00	1.262212489206e+00
900                 	top	1.159112415259e+00	2.458173480882e+00	1.262212488831e+00
1000                	top	1.159112415311e+00	2.458173480883e+00	1.262212488936e+00
