# Selection         : all 
# Volume            : 1.395979868100e-03
# Time              	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell	min(epsilon)	min(nuTilda)
0                   	0.000000000000e+00	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0	1.500000000000e-04	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0	7.500000000000e+00	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0	2.000000000000e-05	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0
1                   	2.963870408216e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	7.418259000402e-05	(1.480000000000e+00 8.851213587209e-02 1.000000000000e-01)	560	5.708086242365e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973	1.703744863438e-07	(8.400000000000e-01 9.560463532282e-02 1.000000000000e-01)	325
2                   	2.720689067053e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	4.533953650195e-05	(1.480000000000e+00 9.016425328551e-02 1.000000000000e-01)	561	5.487159537232e-05	(4.000000000000e-02 9.309991496569e-02 1.000000000000e-01)	23	8.352237057394e-08	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
3                   	1.957898803833e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	5.608111791950e-05	(1.400000000000e+00 8.851213587209e-02 1.000000000000e-01)	530	3.953563977553e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974	9.191414349929e-09	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
4                   	1.625432065596e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	9.600169504615e-06	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	2.424263648277e+00	(4.000000000000e-02 9.169030822923e-02 1.000000000000e-01)	22	1.057556293760e-09	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
5                   	1.516372122811e-03	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970	1.354071771828e-06	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	3.117598147721e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974	1.491647750397e-10	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
6                   	1.447660911841e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	3.588034787446e-07	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	2.861600427585e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974	3.952585180782e-11	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
7                   	1.386382913288e-03	(7.960000000000e+00 6.228352572410e-02 1.000000000000e-01)	2980	2.003666933799e-07	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	2.672942718840e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974	2.207242877763e-11	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
8                   	1.335315753022e-03	(7.960000000000e+00 7.530531087350e-02 1.000000000000e-01)	2984	1.684600872165e-07	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	2.534070934904e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974	1.855759165477e-11	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
9                   	1.295299064822e-03	(7.960000000000e+00 8.478723090457e-02 1.000000000000e-01)	2988	1.587091690550e-07	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	2.430656234461e+00	(7.160000000000e+00 3.312973965551e-02 1.000000000000e-01)	2674	1.748342886351e-11	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
10                  	1.264034273405e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.628613003627e-07	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	2.350528508884e+00	(6.920000000000e+00 3.312973965551e-02 1.000000000000e-01)	2584	1.794082834951e-11	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
