#            face_x              face_y              face_z
               0.04                 0.1                0.05
               0.12                 0.1                0.05
                0.2                 0.1                0.05
               0.28                 0.1                0.05
               0.36                 0.1                0.05
               0.44                 0.1                0.05
               0.52                 0.1                0.05
                0.6                 0.1                0.05
               0.68                 0.1                0.05
               0.76                 0.1                0.05
               0.84                 0.1                0.05
               0.92                 0.1                0.05
                  1                 0.1                0.05
               1.08                 0.1                0.05
               1.16                 0.1                0.05
               1.24                 0.1                0.05
               1.32                 0.1                0.05
                1.4                 0.1                0.05
               1.48                 0.1                0.05
               1.56                 0.1                0.05
               1.64                 0.1                0.05
               1.72                 0.1                0.05
                1.8                 0.1                0.05
               1.88                 0.1                0.05
               1.96                 0.1                0.05
               2.04                 0.1                0.05
               2.12                 0.1                0.05
                2.2                 0.1                0.05
               2.28                 0.1                0.05
               2.36                 0.1                0.05
               2.44                 0.1                0.05
               2.52                 0.1                0.05
                2.6                 0.1                0.05
               2.68                 0.1                0.05
               2.76                 0.1                0.05
               2.84                 0.1                0.05
               2.92                 0.1                0.05
                  3                 0.1                0.05
               3.08                 0.1                0.05
               3.16                 0.1                0.05
               3.24                 0.1                0.05
               3.32                 0.1                0.05
                3.4                 0.1                0.05
               3.48                 0.1                0.05
               3.56                 0.1                0.05
               3.64                 0.1                0.05
               3.72                 0.1                0.05
                3.8                 0.1                0.05
               3.88                 0.1                0.05
               3.96                 0.1                0.05
               4.04                 0.1                0.05
               4.12                 0.1                0.05
                4.2                 0.1                0.05
               4.28                 0.1                0.05
               4.36                 0.1                0.05
               4.44                 0.1                0.05
               4.52                 0.1                0.05
                4.6                 0.1                0.05
               4.68                 0.1                0.05
               4.76                 0.1                0.05
               4.84                 0.1                0.05
               4.92                 0.1                0.05
                  5                 0.1                0.05
               5.08                 0.1                0.05
               5.16                 0.1                0.05
               5.24                 0.1                0.05
               5.32                 0.1                0.05
                5.4                 0.1                0.05
               5.48                 0.1                0.05
               5.56                 0.1                0.05
               5.64                 0.1                0.05
               5.72                 0.1                0.05
                5.8                 0.1                0.05
               5.88                 0.1                0.05
               5.96                 0.1                0.05
               6.04                 0.1                0.05
               6.12                 0.1                0.05
                6.2                 0.1                0.05
               6.28                 0.1                0.05
               6.36                 0.1                0.05
               6.44                 0.1                0.05
               6.52                 0.1                0.05
                6.6                 0.1                0.05
               6.68                 0.1                0.05
               6.76                 0.1                0.05
               6.84                 0.1                0.05
               6.92                 0.1                0.05
                  7                 0.1                0.05
               7.08                 0.1                0.05
               7.16                 0.1                0.05
               7.24                 0.1                0.05
               7.32                 0.1                0.05
                7.4                 0.1                0.05
               7.48                 0.1                0.05
               7.56                 0.1                0.05
               7.64                 0.1                0.05
               7.72                 0.1                0.05
                7.8                 0.1                0.05
               7.88                 0.1                0.05
               7.96                 0.1                0.05
