# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.50000000e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.00000000e-07	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	3.58591179e-03	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	1.05943200e-03	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	4.30500724e+02	(1.84777604e-02 2.05728518e-03 5.00000000e-01)	205	1.39531724e-06	(8.02553783e-03 4.00664797e-04 5.00000000e-01)	2
2               	6.05525288e-03	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	3.94956119e-03	(3.54090802e-01 4.00664797e-04 5.00000000e-01)	49	1.89799692e+03	(1.96867370e+00 1.21537301e-03 5.00000000e-01)	199	1.36068228e-06	(3.40497276e-01 4.00664797e-04 5.00000000e-01)	48
3               	6.84597007e-03	(8.02553783e-03 4.00664797e-04 5.00000000e-01)	2	4.73384016e-03	(8.76651182e-02 4.00664797e-04 5.00000000e-01)	20	1.06704201e+03	(7.33354481e-01 1.21537301e-03 5.00000000e-01)	169	2.84897408e-06	(5.61804552e-02 4.00664797e-04 5.00000000e-01)	14
4               	7.31308016e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	6.05394961e-03	(6.10390842e-02 4.00664797e-04 5.00000000e-01)	15	8.87051693e+02	(1.33817151e+00 1.21537301e-03 5.00000000e-01)	187	4.36118433e-06	(3.39751789e-02 4.00664797e-04 5.00000000e-01)	9
5               	7.54441566e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	6.79547212e-03	(5.14666457e-02 4.00664797e-04 5.00000000e-01)	13	8.64756291e+02	(6.10390842e-02 4.00664797e-04 5.00000000e-01)	15	5.77807066e-06	(2.99232349e-02 4.00664797e-04 5.00000000e-01)	8
6               	7.66969357e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.22978599e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.16187045e+02	(5.14666457e-02 4.00664797e-04 5.00000000e-01)	13	6.76855328e-06	(2.99232349e-02 4.00664797e-04 5.00000000e-01)	8
7               	7.83423657e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.44152351e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.45011405e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	7.41817487e-06	(2.99232349e-02 4.00664797e-04 5.00000000e-01)	8
8               	7.95991714e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.55211846e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.58749738e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	7.67458994e-06	(3.39751789e-02 4.00664797e-04 5.00000000e-01)	9
9               	8.01300135e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.61054440e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.65847869e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.27093644e-06	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
10              	8.05497092e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.63860313e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.69576747e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.13707119e-05	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
11              	8.09979310e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.64833793e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.71362431e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.32726878e-05	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
12              	8.16018438e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.64837679e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.71981197e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.56037624e-05	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
13              	8.23692788e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.64392242e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.71983666e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.77737074e-05	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
14              	8.33141269e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.63874486e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.71700586e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.99344983e-05	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
15              	8.43123476e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.63397169e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.71371443e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	2.18443312e-05	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
16              	8.52017045e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.63058174e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.71067908e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	2.40929792e-05	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499
17              	8.59462702e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62792803e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70852278e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	2.62092747e-05	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499
18              	8.65040965e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62622344e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70683444e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	2.81341814e-05	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499
19              	8.70959528e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62527401e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70574981e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	3.01494460e-05	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	599
20              	8.76376403e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62475879e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70514563e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	3.21769733e-05	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	599
21              	8.82597382e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62457760e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70481775e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	3.41039651e-05	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	599
22              	8.87882989e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62451262e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70470244e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	3.59189751e-05	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	599
23              	8.91329888e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62459767e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70466108e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	3.78289586e-05	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	699
24              	8.93293051e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62466646e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70471521e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	3.98004542e-05	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	699
25              	8.94780481e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62467736e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70475898e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	4.17062780e-05	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	699
26              	8.95849294e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62466223e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70476592e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	4.35317231e-05	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	699
27              	8.96655123e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62463368e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70475629e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	4.54033605e-05	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	799
28              	8.97179485e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62459519e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70473812e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	4.73441647e-05	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	799
29              	8.97483575e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62454210e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70471363e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	4.92246910e-05	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	799
30              	8.97325280e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62448087e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70467984e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	5.10258977e-05	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	799
31              	8.97004326e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62441431e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70464088e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	5.27284746e-05	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	799
32              	8.95733084e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62433652e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70459852e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	5.45296016e-05	(1.96867370e+00 7.73309085e-03 5.00000000e-01)	899
33              	8.93856936e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62424151e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70454901e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	5.62587610e-05	(1.96867370e+00 7.73309085e-03 5.00000000e-01)	899
34              	8.90645187e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62411449e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70448854e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	5.79016724e-05	(1.96867370e+00 7.73309085e-03 5.00000000e-01)	899
35              	8.89906442e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62398322e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70440770e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	5.94360144e-05	(1.96867370e+00 7.73309085e-03 5.00000000e-01)	899
36              	8.89072762e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62385881e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70432416e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	6.08544033e-05	(1.96867370e+00 7.73309085e-03 5.00000000e-01)	899
37              	8.91353967e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62377183e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70424498e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	6.21574228e-05	(1.96867370e+00 7.73309085e-03 5.00000000e-01)	899
38              	8.92883606e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62371904e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70418962e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	6.35231494e-05	(1.96867370e+00 8.79263643e-03 5.00000000e-01)	999
39              	8.93086267e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62369178e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70415603e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	6.48271690e-05	(1.96867370e+00 8.79263643e-03 5.00000000e-01)	999
40              	8.92164305e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62367991e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70413867e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	6.60327933e-05	(1.96867370e+00 8.79263643e-03 5.00000000e-01)	999
41              	8.91304260e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62367834e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70413112e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	6.71405286e-05	(1.96867370e+00 8.79263643e-03 5.00000000e-01)	999
42              	8.90504615e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.62368320e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	9.70413012e+02	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	6.81547228e-05	(1.96867370e+00 8.79263643e-03 5.00000000e-01)	999
