# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.50000000e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.00000000e-07	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	2.15642681e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	5.00913313e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.36119379e+02	(4.24563479e-02 4.00664797e-04 5.00000000e-01)	11	2.33247136e-07	(2.21780719e-02 2.92730968e-03 5.00000000e-01)	306
2               	1.38492669e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	2.51738713e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.19182316e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	2.00748731e-07	(-2.84388080e-01 9.10418368e-01 5.00000000e-01)	5670
3               	-6.10210273e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.61796843e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.24276658e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.94109339e-07	(-2.84388080e-01 7.48729285e-01 5.00000000e-01)	5660
4               	-7.70595868e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.18534920e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	2.17191953e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.84805663e-07	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671
5               	-4.37935083e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	9.36714356e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.65650458e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.65207298e-07	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1
6               	-4.22841535e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.76377735e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.36222000e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	8.70639223e-08	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1
7               	-6.30222546e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	6.64379379e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.17514849e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.37702731e-08	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1
8               	-1.35917418e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	5.81410612e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.04736004e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	5.28613329e-08	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1
9               	-2.02179909e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	5.17113138e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	9.55516314e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.19352050e-08	(8.02553783e-03 4.00664797e-04 5.00000000e-01)	2
10              	-2.38648007e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	4.65483026e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	8.86991367e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.50083027e-08	(8.02553783e-03 4.00664797e-04 5.00000000e-01)	2
