# Wall shear stress
# Time          	patch           	min             	max             
1.00000000e+02	bottom	(-3.34444795e-03 -1.23619904e-05 0.00000000e+00)	(-1.21173928e-03 -6.18571047e-08 0.00000000e+00)
2.00000000e+02	bottom	(-3.34454319e-03 -1.23511523e-05 0.00000000e+00)	(-1.21178450e-03 -6.31223473e-08 0.00000000e+00)
3.00000000e+02	bottom	(-3.34459667e-03 -1.23503414e-05 0.00000000e+00)	(-1.21178439e-03 -6.26622686e-08 0.00000000e+00)
4.00000000e+02	bottom	(-3.34444667e-03 -1.23626061e-05 0.00000000e+00)	(-1.21178367e-03 -6.17608923e-08 0.00000000e+00)
5.00000000e+02	bottom	(-3.34455461e-03 -1.23501402e-05 0.00000000e+00)	(-1.21178420e-03 -6.28270644e-08 0.00000000e+00)
6.00000000e+02	bottom	(-3.34459222e-03 -1.23510256e-05 0.00000000e+00)	(-1.21178427e-03 -6.26320155e-08 0.00000000e+00)
7.00000000e+02	bottom	(-3.34444699e-03 -1.23625348e-05 0.00000000e+00)	(-1.21178416e-03 -6.16676860e-08 0.00000000e+00)
8.00000000e+02	bottom	(-3.34456416e-03 -1.23493963e-05 0.00000000e+00)	(-1.21178401e-03 -6.25761751e-08 0.00000000e+00)
9.00000000e+02	bottom	(-3.34458411e-03 -1.23518883e-05 0.00000000e+00)	(-1.21178420e-03 -6.26734045e-08 0.00000000e+00)
1.00000000e+03	bottom	(-3.34445339e-03 -1.23617297e-05 0.00000000e+00)	(-1.21178469e-03 -6.20505867e-08 0.00000000e+00)
1.10000000e+03	bottom	(-3.34457321e-03 -1.23488750e-05 0.00000000e+00)	(-1.21178367e-03 -6.24299698e-08 0.00000000e+00)
1.20000000e+03	bottom	(-3.34457094e-03 -1.23529227e-05 0.00000000e+00)	(-1.21178435e-03 -6.27171208e-08 0.00000000e+00)
1.30000000e+03	bottom	(-3.34446589e-03 -1.23604008e-05 0.00000000e+00)	(-1.21178541e-03 -6.27899513e-08 0.00000000e+00)
1.40000000e+03	bottom	(-3.34457992e-03 -1.23486629e-05 0.00000000e+00)	(-1.21178382e-03 -6.23968505e-08 0.00000000e+00)
1.50000000e+03	bottom	(-3.34454614e-03 -1.23545118e-05 0.00000000e+00)	(-1.21178378e-03 -6.25669008e-08 0.00000000e+00)
1.60000000e+03	bottom	(-3.34447839e-03 -1.23588202e-05 0.00000000e+00)	(-1.21178594e-03 -6.33296333e-08 0.00000000e+00)
1.70000000e+03	bottom	(-3.34458600e-03 -1.23486273e-05 0.00000000e+00)	(-1.21178378e-03 -6.24754971e-08 0.00000000e+00)
1.80000000e+03	bottom	(-3.34452123e-03 -1.23561630e-05 0.00000000e+00)	(-1.21178389e-03 -6.26168818e-08 0.00000000e+00)
1.90000000e+03	bottom	(-3.34449267e-03 -1.23569350e-05 0.00000000e+00)	(-1.21178571e-03 -6.37539005e-08 0.00000000e+00)
2.00000000e+03	bottom	(-3.34459037e-03 -1.23487669e-05 0.00000000e+00)	(-1.21178401e-03 -6.25177919e-08 0.00000000e+00)
