# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.17665518e+02	1.17665518e+02	1.17665518e+02
100             	bottom	6.97357998e+01	1.15852697e+02	8.28634464e+01
200             	bottom	6.97371011e+01	1.15854325e+02	8.28639025e+01
300             	bottom	6.97370976e+01	1.15855277e+02	8.28645597e+01
400             	bottom	6.97370771e+01	1.15852666e+02	8.28635113e+01
500             	bottom	6.97370924e+01	1.15854526e+02	8.28639736e+01
600             	bottom	6.97370946e+01	1.15855204e+02	8.28645167e+01
700             	bottom	6.97370911e+01	1.15852662e+02	8.28635607e+01
800             	bottom	6.97370872e+01	1.15854695e+02	8.28640470e+01
900             	bottom	6.97370922e+01	1.15855069e+02	8.28643831e+01
1000            	bottom	6.97371072e+01	1.15852768e+02	8.28636073e+01
1100            	bottom	6.97370773e+01	1.15854855e+02	8.28641333e+01
1200            	bottom	6.97370969e+01	1.15854846e+02	8.28642032e+01
1300            	bottom	6.97371278e+01	1.15852980e+02	8.28636474e+01
1400            	bottom	6.97370816e+01	1.15854974e+02	8.28642247e+01
1500            	bottom	6.97370809e+01	1.15854418e+02	8.28640874e+01
1600            	bottom	6.97371428e+01	1.15853196e+02	8.28636851e+01
1700            	bottom	6.97370809e+01	1.15855082e+02	8.28643045e+01
1800            	bottom	6.97370840e+01	1.15853988e+02	8.28638670e+01
1900            	bottom	6.97371358e+01	1.15853442e+02	8.28637196e+01
2000            	bottom	6.97370874e+01	1.15855159e+02	8.28643886e+01
