# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(epsilon)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	1.50000000e-04	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	1.00000000e-02	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	2.10103941e-08	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
1               	4.20593788e-04	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	1.64140967e-04	(1.46301914e+00 3.02191818e-06 5.00000000e-01)	259	2.27131428e+02	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160	2.10094194e-08	(-2.42411298e-01 5.08654275e-06 5.00000000e-01)	274
2               	6.53251786e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.49786381e-04	(-2.00507731e-03 5.08654275e-06 5.00000000e-01)	295	1.14412762e+02	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160	2.10084137e-08	(-6.04783071e-03 5.08654275e-06 5.00000000e-01)	294
3               	7.12574820e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.49674262e-04	(-2.00507731e-03 5.08654275e-06 5.00000000e-01)	295	5.76746245e+01	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160	2.10073859e-08	(-6.04783071e-03 5.08654275e-06 5.00000000e-01)	294
4               	7.28121935e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.49559896e-04	(-2.00507731e-03 5.08654275e-06 5.00000000e-01)	295	2.90957813e+01	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160	4.49461537e-08	(-3.13296488e-01 9.42574530e-01 5.00000000e-01)	12920
5               	7.74068493e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.49443705e-04	(-2.00507731e-03 5.08654275e-06 5.00000000e-01)	295	1.46911710e+01	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160	1.52524000e-07	(-3.13296488e-01 9.42574530e-01 5.00000000e-01)	12920
6               	8.49826675e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.49325942e-04	(-2.00507731e-03 5.08654275e-06 5.00000000e-01)	295	7.42550809e+00	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160	4.13004993e-07	(-3.13296488e-01 9.42574530e-01 5.00000000e-01)	12920
7               	9.35715604e-04	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.49206767e-04	(-2.00507731e-03 5.08654275e-06 5.00000000e-01)	295	3.75775564e+00	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160	7.88267868e-07	(-3.13296488e-01 9.42574530e-01 5.00000000e-01)	12920
8               	1.01998688e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.49086269e-04	(-2.00507731e-03 5.08654275e-06 5.00000000e-01)	295	1.90458945e+00	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160	1.11214126e-06	(-3.13296488e-01 9.42574530e-01 5.00000000e-01)	12920
9               	1.10184497e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.48964493e-04	(-2.00507731e-03 5.08654275e-06 5.00000000e-01)	295	9.67334187e-01	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160	1.40260790e-06	(-3.13296488e-01 9.42574530e-01 5.00000000e-01)	12920
10              	1.18113858e-03	(-2.00507731e-03 1.00232707e-06 5.00000000e-01)	23	1.48841448e-04	(-2.00507731e-03 5.08654275e-06 5.00000000e-01)	295	4.92812241e-01	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160	1.68294044e-06	(-3.13296488e-01 9.42574530e-01 5.00000000e-01)	12920
