# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(epsilon)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	1.50000000e-04	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	1.00000000e-02	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0	2.10103941e-08	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
1               	2.62622301e-07	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	8.22542717e-05	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	5.41676110e-03	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.83078050e-13	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160
2               	3.32839549e-07	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	4.42986119e-05	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	2.96439450e-03	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.52050711e-13	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160
3               	2.51220179e-07	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.36116249e-05	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	1.64212255e-03	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	8.22135439e-14	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160
4               	-7.74759138e-05	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26	1.25812454e-05	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	9.22786098e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	4.48077033e-14	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160
5               	-2.08206003e-04	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	6.70710061e-06	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	5.27357050e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.46680797e-14	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160
6               	-3.38321367e-04	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	3.58201268e-06	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	3.07329736e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.37681857e-14	(2.00594380e-03 3.02191818e-06 5.00000000e-01)	160
7               	-4.56116539e-04	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.92064204e-06	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	1.83179852e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	7.76902842e-15	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
8               	-5.66193280e-04	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.03781740e-06	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	1.12010085e-04	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	4.23054267e-15	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
9               	-6.70038551e-04	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	5.68799735e-07	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	7.04607079e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.35178848e-15	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
10              	-7.68194739e-04	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	3.19646023e-07	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24	4.56844425e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.35512564e-15	(2.00594380e-03 1.00232707e-06 5.00000000e-01)	24
11              	-8.61227793e-04	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.85144304e-07	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	3.05508178e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	7.69558147e-16	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
12              	-9.49974686e-04	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.03310061e-07	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	2.10624921e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	4.34885695e-16	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
13              	-1.03553206e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	5.87121250e-08	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.49497801e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	2.51717384e-16	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
14              	-1.11862341e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	3.47393922e-08	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.09030377e-05	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.55066095e-16	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
15              	-1.19986867e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	2.17723466e-08	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	8.15204334e-06	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	1.02941022e-16	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
16              	-1.27971842e-03	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	1.46509532e-08	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25	6.23411894e-06	(1.97852077e+00 9.42574530e-01 5.00000000e-01)	13055	7.43749575e-17	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
