# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
1               	4.96333670e-01	(1.46301914e+00 1.00232707e-06 5.00000000e-01)	123
2               	2.92839279e-01	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
3               	2.04783275e-01	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
4               	1.60195021e-01	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
5               	1.34175946e-01	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
6               	1.17122986e-01	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
7               	1.04935958e-01	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
8               	9.56687663e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
9               	8.83009738e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
10              	8.22507823e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
11              	7.71590128e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
12              	7.27913294e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
13              	6.89872426e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
14              	6.56325354e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
15              	6.26433440e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
16              	5.99564694e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
17              	5.75232261e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
18              	5.53053957e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
19              	5.32724833e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
20              	5.13998095e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
21              	4.96671509e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
22              	4.80577520e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
23              	4.65575930e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
24              	4.51548387e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
25              	4.38394175e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
26              	4.26026964e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
27              	4.14372249e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
28              	4.03365336e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
29              	3.92949724e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
30              	3.83075791e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
31              	3.73699731e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
32              	3.64782674e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
33              	3.56289965e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
34              	3.48190555e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
35              	3.40456505e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
36              	3.33062575e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
37              	3.25985874e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
38              	3.19205571e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
39              	3.12702668e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
40              	3.06459786e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
41              	3.00461005e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
42              	2.94691757e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
43              	2.89138642e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
44              	2.83789334e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
45              	2.78632517e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
46              	2.73657831e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
47              	2.68659155e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
48              	2.63800771e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
49              	2.59096667e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
50              	2.54539572e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
51              	2.50122726e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
52              	2.45839830e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
53              	2.41685015e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
54              	2.37652798e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
55              	2.33738045e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
56              	2.29935949e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
57              	2.26241993e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
58              	2.22651928e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
59              	2.19161755e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
60              	2.15767702e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
61              	2.12466211e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
62              	2.09253922e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
63              	2.06127647e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
64              	2.03084370e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
65              	2.00121228e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
66              	1.97235497e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
67              	1.94417380e-02	(1.37710220e+00 1.00232707e-06 5.00000000e-01)	121
68              	1.91599413e-02	(1.37710220e+00 1.00232707e-06 5.00000000e-01)	121
69              	1.88845895e-02	(1.42006067e+00 1.00232707e-06 5.00000000e-01)	122
70              	1.86154575e-02	(1.42006067e+00 1.00232707e-06 5.00000000e-01)	122
71              	1.83523313e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
72              	1.80950069e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
73              	1.78432903e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
74              	1.75969963e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
75              	1.73559484e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
76              	1.71199780e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
77              	1.68889240e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
78              	1.66626325e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
79              	1.64409562e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
80              	1.62237543e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
81              	1.60108918e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
82              	1.58022395e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
83              	1.55976735e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
84              	1.53970749e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
85              	1.52003296e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
86              	1.50073282e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
87              	1.48179655e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
88              	1.46321403e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
89              	1.44497554e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
90              	1.42707174e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
91              	1.40949363e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
92              	1.39223253e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
93              	1.37528011e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
94              	1.35862832e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
95              	1.34226941e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
96              	1.32619590e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
97              	1.31040058e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
98              	1.29487647e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
99              	1.27961687e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
100             	1.26461528e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
101             	1.24986541e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
102             	1.23536122e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
103             	1.22109682e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
104             	1.20706656e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
105             	1.19326494e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
106             	1.17968666e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
107             	1.16632656e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
108             	1.15317968e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
109             	1.14024118e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
110             	1.12750639e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
111             	1.11497078e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
112             	1.10262995e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
113             	1.09047965e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
114             	1.07851573e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
115             	1.06673419e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
116             	1.05513113e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
117             	1.04370277e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
118             	1.03244544e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
119             	1.02135557e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
120             	1.01042969e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
121             	9.99664435e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
122             	9.89056533e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
123             	9.78602796e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
124             	9.68300129e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
125             	9.58145518e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
126             	9.48136034e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
127             	9.38268822e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
128             	9.28541107e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
129             	9.18950186e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
130             	9.09493424e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
131             	9.00168259e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
132             	8.90972193e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
133             	8.81902790e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
134             	8.72957680e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
135             	8.64134549e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
136             	8.55431144e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
137             	8.46845266e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
138             	8.38374772e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
139             	8.30017569e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
140             	8.21771619e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
141             	8.13634929e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
142             	8.05605556e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
143             	7.97681605e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
144             	7.89861223e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
145             	7.82142601e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
146             	7.74523976e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
147             	7.67003620e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
148             	7.59579850e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
149             	7.52251020e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
150             	7.45015520e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
151             	7.37871778e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
152             	7.30818258e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
153             	7.23853457e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
154             	7.16975907e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
155             	7.10184169e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
156             	7.03476840e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
