# Wall shear stress
# Time          	patch           	min             	max             
1.00000000e+02	bottom	(-5.51884681e-03 -3.52615226e-05 -7.00070503e-19)	(-2.52335856e-03 -2.27338757e-15 3.29848151e-18)
2.00000000e+02	bottom	(-5.27323794e-03 -3.50504118e-05 -2.23221785e-17)	(-9.47803571e-04 -1.48702095e-12 2.62546882e-19)
3.00000000e+02	bottom	(-5.25493513e-03 -3.50053202e-05 -2.27370212e-17)	(-4.56284951e-04 1.40058185e-10 4.44172365e-19)
4.00000000e+02	bottom	(-5.24871421e-03 -3.49773748e-05 -2.27685748e-17)	(-3.68934742e-04 5.42737815e-09 5.32170018e-19)
5.00000000e+02	bottom	(-5.24463989e-03 -3.49568860e-05 -2.27589855e-17)	(-3.42958350e-04 2.34117568e-08 5.70369012e-19)
6.00000000e+02	bottom	(-5.24172208e-03 -3.49418667e-05 -2.27471140e-17)	(-3.28584319e-04 5.74399437e-08 1.54864886e-18)
7.00000000e+02	bottom	(-5.23959344e-03 -3.49308563e-05 -2.27376220e-17)	(-3.27024230e-04 5.73078353e-08 5.90741152e-19)
8.00000000e+02	bottom	(-5.23802309e-03 -3.49226950e-05 -2.27304827e-17)	(-3.23345551e-04 1.32275706e-07 5.92507030e-19)
9.00000000e+02	bottom	(-5.23685441e-03 -3.49165537e-05 -2.27251253e-17)	(-3.26633977e-04 1.37873162e-07 7.70861134e-19)
1.00000000e+03	bottom	(-5.23596648e-03 -3.49118415e-05 -2.27210348e-17)	(-3.27133795e-04 1.10744392e-07 2.14426025e-18)
1.10000000e+03	bottom	(-5.23529065e-03 -3.49081631e-05 -2.27179154e-17)	(-3.27896220e-04 1.61880678e-07 3.54950197e-18)
1.20000000e+03	bottom	(-5.23477206e-03 -3.49052634e-05 -2.27155045e-17)	(-3.32856518e-04 1.28825344e-07 4.84609780e-18)
1.30000000e+03	bottom	(-5.23437578e-03 -3.49029498e-05 -2.27136651e-17)	(-3.31305527e-04 9.32714865e-08 5.21185726e-18)
1.40000000e+03	bottom	(-5.23408347e-03 -3.49011204e-05 -2.27122946e-17)	(-3.37304406e-04 1.55228084e-07 5.93158705e-19)
1.50000000e+03	bottom	(-5.23386198e-03 -3.48996632e-05 -2.27112503e-17)	(-3.38275588e-04 1.28623690e-07 5.93145159e-19)
1.60000000e+03	bottom	(-5.23369058e-03 -3.48985179e-05 -2.27104332e-17)	(-3.39091030e-04 1.02932174e-07 5.93137601e-19)
1.70000000e+03	bottom	(-5.23356687e-03 -3.48976520e-05 -2.27098303e-17)	(-3.37638390e-04 1.83142083e-07 2.34527503e-18)
1.80000000e+03	bottom	(-5.23349644e-03 -3.48970352e-05 -2.27094684e-17)	(-3.44394048e-04 1.67196106e-07 5.93100465e-19)
1.90000000e+03	bottom	(-5.23346591e-03 -3.48966127e-05 -2.27092868e-17)	(-3.44269120e-04 1.39598769e-07 6.77772038e-19)
2.00000000e+03	bottom	(-5.23346352e-03 -3.48963219e-05 -2.27092414e-17)	(-3.44907235e-04 1.13614427e-07 6.73221700e-19)
