# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	2.23866821e+00	2.23866821e+00	2.23866821e+00
100             	bottom	2.51749690e-01	3.72311109e-01	2.53651416e-01
200             	bottom	1.54290304e-01	3.63932388e-01	1.61756803e-01
300             	bottom	1.07052679e-01	3.63300266e-01	1.23794162e-01
400             	bottom	9.62618590e-02	3.63085160e-01	1.18404258e-01
500             	bottom	9.28111496e-02	3.62944213e-01	1.28524537e-01
600             	bottom	9.08453869e-02	3.62843238e-01	1.39728385e-01
700             	bottom	9.06294686e-02	3.62769555e-01	1.48288977e-01
800             	bottom	9.01182837e-02	3.62715192e-01	1.54513290e-01
900             	bottom	9.05753767e-02	3.62674729e-01	1.59194793e-01
1000            	bottom	9.06446498e-02	3.62643980e-01	1.62590008e-01
1100            	bottom	9.07502158e-02	3.62620572e-01	1.64959758e-01
1200            	bottom	9.14340578e-02	3.62602614e-01	1.66615307e-01
1300            	bottom	9.12207863e-02	3.62588892e-01	1.67673160e-01
1400            	bottom	9.20429373e-02	3.62578763e-01	1.68536298e-01
1500            	bottom	9.21753505e-02	3.62571095e-01	1.69198274e-01
1600            	bottom	9.22863806e-02	3.62565154e-01	1.69566469e-01
1700            	bottom	9.20884964e-02	3.62560873e-01	1.69854372e-01
1800            	bottom	9.30052117e-02	3.62558429e-01	1.70259472e-01
1900            	bottom	9.29883403e-02	3.62557374e-01	1.70644760e-01
2000            	bottom	9.30744802e-02	3.62557293e-01	1.70843651e-01
