# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	2.23866821e+00	2.23866821e+00	2.23866821e+00
1               	bottom	1.57716308e+00	1.57885519e+00	1.57735881e+00
2               	bottom	1.21144694e+00	1.21459208e+00	1.21165328e+00
3               	bottom	1.01306422e+00	1.01745878e+00	1.01326031e+00
4               	bottom	8.96012853e-01	9.01717207e-01	8.96366376e-01
5               	bottom	8.20024948e-01	8.26914537e-01	8.20503176e-01
6               	bottom	7.66144699e-01	7.74177541e-01	7.66738621e-01
7               	bottom	7.25190154e-01	7.34355430e-01	7.25901416e-01
8               	bottom	6.92428316e-01	7.02722742e-01	6.93259116e-01
9               	bottom	6.65231000e-01	6.76653747e-01	6.66182572e-01
10              	bottom	6.42036548e-01	6.54573709e-01	6.43101995e-01
11              	bottom	6.21846314e-01	6.35485514e-01	6.23018337e-01
12              	bottom	6.03989736e-01	6.18719798e-01	6.05260722e-01
13              	bottom	5.87995668e-01	6.03807545e-01	5.89358335e-01
14              	bottom	5.73520999e-01	5.90407981e-01	5.74968632e-01
15              	bottom	5.60308485e-01	5.78265921e-01	5.61834886e-01
16              	bottom	5.48160526e-01	5.67185429e-01	5.49759891e-01
17              	bottom	5.36922187e-01	5.57012873e-01	5.38588982e-01
18              	bottom	5.26469826e-01	5.47625634e-01	5.28198692e-01
19              	bottom	5.16703263e-01	5.38924334e-01	5.18488944e-01
20              	bottom	5.07540248e-01	5.30827350e-01	5.09377535e-01
21              	bottom	4.98912468e-01	5.23266842e-01	5.00796146e-01
22              	bottom	4.90762600e-01	5.16185827e-01	4.92687407e-01
23              	bottom	4.83042110e-01	5.09535985e-01	4.85002691e-01
24              	bottom	4.75709561e-01	5.03275991e-01	4.77700439e-01
25              	bottom	4.68729320e-01	4.97370228e-01	4.70744866e-01
26              	bottom	4.62070536e-01	4.91787787e-01	4.64104940e-01
27              	bottom	4.55706333e-01	4.86501664e-01	4.57753590e-01
28              	bottom	4.49613166e-01	4.81488135e-01	4.51667061e-01
29              	bottom	4.43770294e-01	4.76726242e-01	4.45824396e-01
30              	bottom	4.38159352e-01	4.72197385e-01	4.40207022e-01
31              	bottom	4.32763999e-01	4.67884984e-01	4.34798396e-01
32              	bottom	4.27569615e-01	4.63774211e-01	4.29583732e-01
33              	bottom	4.22563059e-01	4.59851761e-01	4.24549753e-01
34              	bottom	4.17732462e-01	4.56105659e-01	4.19684498e-01
35              	bottom	4.13067048e-01	4.52525105e-01	4.14977157e-01
36              	bottom	4.08556995e-01	4.49100329e-01	4.10417924e-01
37              	bottom	4.04193312e-01	4.45822476e-01	4.05997880e-01
38              	bottom	3.99967740e-01	4.42683498e-01	4.01708889e-01
39              	bottom	3.95872676e-01	4.39676054e-01	3.97543512e-01
40              	bottom	3.91901097e-01	4.36793431e-01	3.93494925e-01
41              	bottom	3.88046518e-01	4.34029465e-01	3.89556859e-01
42              	bottom	3.84302958e-01	4.31378450e-01	3.85723536e-01
43              	bottom	3.80664872e-01	4.28835115e-01	3.81989625e-01
44              	bottom	3.77127122e-01	4.26394561e-01	3.78350194e-01
45              	bottom	3.73684971e-01	4.24052198e-01	3.74800672e-01
46              	bottom	3.70334074e-01	4.21803688e-01	3.71336814e-01
47              	bottom	3.66936197e-01	4.19644952e-01	3.67954673e-01
48              	bottom	3.63603256e-01	4.17572160e-01	3.64650571e-01
49              	bottom	3.60346780e-01	4.15581675e-01	3.61421077e-01
50              	bottom	3.57163761e-01	4.13670010e-01	3.58262982e-01
51              	bottom	3.54051395e-01	4.11833817e-01	3.55173285e-01
52              	bottom	3.51007064e-01	4.10069876e-01	3.52149172e-01
53              	bottom	3.48028328e-01	4.08375159e-01	3.49188003e-01
54              	bottom	3.45112904e-01	4.06746819e-01	3.46287296e-01
55              	bottom	3.42258653e-01	4.05182127e-01	3.43444716e-01
56              	bottom	3.39463567e-01	4.03678436e-01	3.40658063e-01
57              	bottom	3.36725760e-01	4.02233188e-01	3.37925263e-01
58              	bottom	3.34043452e-01	4.00843927e-01	3.35244357e-01
59              	bottom	3.31414967e-01	3.99508300e-01	3.32613495e-01
60              	bottom	3.28838721e-01	3.98224063e-01	3.30030924e-01
61              	bottom	3.26313221e-01	3.96989074e-01	3.27494987e-01
62              	bottom	3.23837051e-01	3.95801294e-01	3.25004111e-01
63              	bottom	3.21408868e-01	3.94658866e-01	3.22556804e-01
64              	bottom	3.19027399e-01	3.93560027e-01	3.20151648e-01
65              	bottom	3.16691431e-01	3.92503036e-01	3.17787296e-01
66              	bottom	3.14399808e-01	3.91486192e-01	3.15462468e-01
67              	bottom	3.12145642e-01	3.90507845e-01	3.13175943e-01
68              	bottom	3.09875200e-01	3.89566410e-01	3.10926560e-01
69              	bottom	3.07640499e-01	3.88660370e-01	3.08713209e-01
70              	bottom	3.05440478e-01	3.87788273e-01	3.06534833e-01
71              	bottom	3.03274121e-01	3.86948735e-01	3.04390422e-01
72              	bottom	3.01140460e-01	3.86140434e-01	3.02279010e-01
73              	bottom	2.99038567e-01	3.85362114e-01	3.00199676e-01
74              	bottom	2.96967556e-01	3.84612574e-01	2.98151535e-01
75              	bottom	2.94926576e-01	3.83890671e-01	2.96133742e-01
76              	bottom	2.92914812e-01	3.83195313e-01	2.94145487e-01
77              	bottom	2.90931485e-01	3.82525453e-01	2.92185992e-01
78              	bottom	2.88975844e-01	3.81880094e-01	2.90254513e-01
79              	bottom	2.87047170e-01	3.81258280e-01	2.88350335e-01
80              	bottom	2.85144772e-01	3.80659097e-01	2.86472770e-01
81              	bottom	2.83267986e-01	3.80081673e-01	2.84621158e-01
82              	bottom	2.81416173e-01	3.79525172e-01	2.82794866e-01
83              	bottom	2.79588720e-01	3.78988791e-01	2.80993282e-01
84              	bottom	2.77785034e-01	3.78471807e-01	2.79215819e-01
85              	bottom	2.76004546e-01	3.77973542e-01	2.77461913e-01
86              	bottom	2.74246708e-01	3.77493285e-01	2.75731017e-01
87              	bottom	2.72510990e-01	3.77030327e-01	2.74022606e-01
88              	bottom	2.70796883e-01	3.76583981e-01	2.72336176e-01
89              	bottom	2.69103893e-01	3.76153589e-01	2.70671237e-01
90              	bottom	2.67431547e-01	3.75738521e-01	2.69027319e-01
91              	bottom	2.65779385e-01	3.75338177e-01	2.67403966e-01
92              	bottom	2.64146963e-01	3.74951984e-01	2.65800740e-01
93              	bottom	2.62533854e-01	3.74579395e-01	2.64217218e-01
94              	bottom	2.60939644e-01	3.74219889e-01	2.62652990e-01
95              	bottom	2.59363931e-01	3.73872966e-01	2.61107659e-01
96              	bottom	2.57806328e-01	3.73538148e-01	2.59580839e-01
97              	bottom	2.56266461e-01	3.73214979e-01	2.58072159e-01
98              	bottom	2.54743964e-01	3.72903024e-01	2.56581259e-01
99              	bottom	2.53238488e-01	3.72601867e-01	2.55107791e-01
100             	bottom	2.51749690e-01	3.72311109e-01	2.53651416e-01
101             	bottom	2.50277240e-01	3.72030366e-01	2.52211807e-01
102             	bottom	2.48820818e-01	3.71759269e-01	2.50788648e-01
103             	bottom	2.47380113e-01	3.71497467e-01	2.49381629e-01
104             	bottom	2.45954822e-01	3.71244622e-01	2.47990453e-01
105             	bottom	2.44544654e-01	3.71000407e-01	2.46614830e-01
106             	bottom	2.43149324e-01	3.70764508e-01	2.45254478e-01
107             	bottom	2.41768556e-01	3.70536623e-01	2.43909125e-01
108             	bottom	2.40402081e-01	3.70316461e-01	2.42578505e-01
109             	bottom	2.39049639e-01	3.70103746e-01	2.41262361e-01
110             	bottom	2.37710978e-01	3.69898210e-01	2.39960441e-01
111             	bottom	2.36385850e-01	3.69699598e-01	2.38672502e-01
112             	bottom	2.35074015e-01	3.69507660e-01	2.37398307e-01
113             	bottom	2.33775242e-01	3.69322157e-01	2.36137626e-01
114             	bottom	2.32489303e-01	3.69142859e-01	2.34890234e-01
115             	bottom	2.31215977e-01	3.68969545e-01	2.33655913e-01
116             	bottom	2.29955050e-01	3.68802003e-01	2.32434449e-01
117             	bottom	2.28706312e-01	3.68640029e-01	2.31225637e-01
118             	bottom	2.27469560e-01	3.68483425e-01	2.30029273e-01
119             	bottom	2.26244595e-01	3.68332001e-01	2.28845163e-01
120             	bottom	2.25031224e-01	3.68185574e-01	2.27673114e-01
121             	bottom	2.23829257e-01	3.68043967e-01	2.26512939e-01
122             	bottom	2.22638512e-01	3.67907012e-01	2.25364456e-01
123             	bottom	2.21458808e-01	3.67774544e-01	2.24227488e-01
124             	bottom	2.20289972e-01	3.67646402e-01	2.23101861e-01
125             	bottom	2.19131832e-01	3.67522427e-01	2.21987407e-01
126             	bottom	2.17984221e-01	3.67402465e-01	2.20883959e-01
127             	bottom	2.16846979e-01	3.67286369e-01	2.19791358e-01
128             	bottom	2.15719945e-01	3.67173993e-01	2.18709445e-01
129             	bottom	2.14602965e-01	3.67065203e-01	2.17638067e-01
130             	bottom	2.13495888e-01	3.66959868e-01	2.16577074e-01
131             	bottom	2.12398566e-01	3.66857864e-01	2.15526319e-01
132             	bottom	2.11310855e-01	3.66759073e-01	2.14485658e-01
133             	bottom	2.10232614e-01	3.66663381e-01	2.13454952e-01
134             	bottom	2.09163706e-01	3.66570680e-01	2.12434063e-01
135             	bottom	2.08103995e-01	3.66480867e-01	2.11422857e-01
136             	bottom	2.07053350e-01	3.66393844e-01	2.10421204e-01
137             	bottom	2.06011643e-01	3.66309515e-01	2.09428973e-01
138             	bottom	2.04978747e-01	3.66227790e-01	2.08446041e-01
139             	bottom	2.03954539e-01	3.66148581e-01	2.07472285e-01
140             	bottom	2.02938900e-01	3.66071804e-01	2.06507582e-01
141             	bottom	2.01931711e-01	3.65997378e-01	2.05551817e-01
142             	bottom	2.00932857e-01	3.65925223e-01	2.04604874e-01
143             	bottom	1.99942225e-01	3.65855260e-01	2.03666639e-01
144             	bottom	1.98959705e-01	3.65787417e-01	2.02737002e-01
145             	bottom	1.97985189e-01	3.65721621e-01	2.01815854e-01
146             	bottom	1.97018571e-01	3.65657802e-01	2.00903089e-01
147             	bottom	1.96059748e-01	3.65595895e-01	1.99998603e-01
148             	bottom	1.95108617e-01	3.65535835e-01	1.99102293e-01
149             	bottom	1.94165080e-01	3.65477559e-01	1.98214060e-01
150             	bottom	1.93229038e-01	3.65421009e-01	1.97333806e-01
151             	bottom	1.92300398e-01	3.65366126e-01	1.96461433e-01
152             	bottom	1.91379065e-01	3.65312855e-01	1.95596848e-01
153             	bottom	1.90464947e-01	3.65261142e-01	1.94739957e-01
154             	bottom	1.89557955e-01	3.65210938e-01	1.93890670e-01
155             	bottom	1.88658000e-01	3.65162194e-01	1.93048897e-01
156             	bottom	1.87764997e-01	3.65114863e-01	1.92214550e-01
157             	bottom	1.86878861e-01	3.65068901e-01	1.91387545e-01
158             	bottom	1.85999508e-01	3.65024265e-01	1.90567795e-01
159             	bottom	1.85126858e-01	3.64980912e-01	1.89755218e-01
160             	bottom	1.84260830e-01	3.64938801e-01	1.88949732e-01
161             	bottom	1.83401347e-01	3.64897892e-01	1.88151257e-01
162             	bottom	1.82548330e-01	3.64858146e-01	1.87359715e-01
163             	bottom	1.81701706e-01	3.64819524e-01	1.86575028e-01
164             	bottom	1.80861400e-01	3.64781989e-01	1.85797120e-01
165             	bottom	1.80027338e-01	3.64745508e-01	1.85025917e-01
166             	bottom	1.79199451e-01	3.64710046e-01	1.84261344e-01
167             	bottom	1.78377668e-01	3.64675572e-01	1.83503330e-01
168             	bottom	1.77561920e-01	3.64642055e-01	1.82751803e-01
169             	bottom	1.76752140e-01	3.64609464e-01	1.82006694e-01
170             	bottom	1.75948262e-01	3.64577771e-01	1.81267934e-01
171             	bottom	1.75150220e-01	3.64546947e-01	1.80535455e-01
172             	bottom	1.74357951e-01	3.64516965e-01	1.79809191e-01
173             	bottom	1.73571391e-01	3.64487798e-01	1.79089076e-01
174             	bottom	1.72790480e-01	3.64459422e-01	1.78375046e-01
175             	bottom	1.72015157e-01	3.64431810e-01	1.77667038e-01
176             	bottom	1.71245362e-01	3.64404941e-01	1.76964989e-01
177             	bottom	1.70481036e-01	3.64378790e-01	1.76268838e-01
178             	bottom	1.69722122e-01	3.64353336e-01	1.75578524e-01
179             	bottom	1.68968564e-01	3.64328556e-01	1.74893988e-01
180             	bottom	1.68220306e-01	3.64304430e-01	1.74215170e-01
181             	bottom	1.67477294e-01	3.64280938e-01	1.73542014e-01
182             	bottom	1.66739473e-01	3.64258059e-01	1.72874462e-01
183             	bottom	1.66006792e-01	3.64235774e-01	1.72212459e-01
184             	bottom	1.65279197e-01	3.64214065e-01	1.71555949e-01
185             	bottom	1.64556639e-01	3.64192915e-01	1.70904877e-01
186             	bottom	1.63839066e-01	3.64172307e-01	1.70259191e-01
187             	bottom	1.63126430e-01	3.64152224e-01	1.69618837e-01
188             	bottom	1.62418682e-01	3.64132650e-01	1.68983763e-01
189             	bottom	1.61715773e-01	3.64113570e-01	1.68353918e-01
190             	bottom	1.61017658e-01	3.64094969e-01	1.67729252e-01
191             	bottom	1.60324290e-01	3.64076834e-01	1.67109715e-01
192             	bottom	1.59635623e-01	3.64059151e-01	1.66495256e-01
193             	bottom	1.58951612e-01	3.64041905e-01	1.65885830e-01
194             	bottom	1.58272214e-01	3.64025083e-01	1.65281387e-01
195             	bottom	1.57597386e-01	3.64008674e-01	1.64681880e-01
