# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(epsilon)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50000000e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.00000000e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.10103941e-08	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
1               	6.83284506e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.66313614e-04	(-3.28081024e-01 7.50232578e-07 5.00000000e-01)	544	2.89627200e+03	(1.72613976e+00 7.50232578e-07 5.00000000e-01)	1062	2.10103027e-08	(-5.00000000e-04 1.34217505e-05 5.00000000e-01)	13151
2               	9.07762517e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49984947e-04	(5.00000000e-04 8.60233164e-06 5.00000000e-01)	8800	1.46626994e+03	(1.72613976e+00 7.50232578e-07 5.00000000e-01)	1062	2.10102016e-08	(-5.00000000e-04 1.40742803e-05 5.00000000e-01)	13695
3               	7.58449142e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49976776e-04	(5.00000000e-04 9.17106061e-06 5.00000000e-01)	9344	7.43366563e+02	(1.72613976e+00 7.50232578e-07 5.00000000e-01)	1062	2.32219490e-08	(-3.28081024e-01 9.84980311e-01 5.00000000e-01)	208352
4               	5.61461688e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49968235e-04	(5.00000000e-04 9.74832152e-06 5.00000000e-01)	9888	3.77485123e+02	(1.72613976e+00 7.50232578e-07 5.00000000e-01)	1062	4.03269244e-08	(-3.28081024e-01 9.84980311e-01 5.00000000e-01)	208352
5               	4.66083057e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49959267e-04	(5.00000000e-04 1.03346514e-05 5.00000000e-01)	10432	1.92055255e+02	(1.72613976e+00 7.50232578e-07 5.00000000e-01)	1062	6.72890899e-08	(-3.28081024e-01 9.84980311e-01 5.00000000e-01)	208352
6               	4.55583109e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49949780e-04	(5.00000000e-04 1.09305957e-05 5.00000000e-01)	10976	9.79375055e+01	(1.72613976e+00 7.50232578e-07 5.00000000e-01)	1062	1.02581292e-07	(-3.28081024e-01 9.84980311e-01 5.00000000e-01)	208352
7               	4.71628928e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49940103e-04	(5.00000000e-04 1.09305957e-05 5.00000000e-01)	10976	5.00850576e+01	(1.72613976e+00 7.50232578e-07 5.00000000e-01)	1062	1.39556481e-07	(-3.28081024e-01 9.84980311e-01 5.00000000e-01)	208352
8               	4.82142043e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49929986e-04	(5.00000000e-04 1.15367088e-05 5.00000000e-01)	11520	2.57081325e+01	(1.72613976e+00 7.50232578e-07 5.00000000e-01)	1062	1.78515919e-07	(-3.28081024e-01 9.84980311e-01 5.00000000e-01)	208352
9               	4.84068486e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.49919304e-04	(5.00000000e-04 1.15367088e-05 5.00000000e-01)	11520	1.32631312e+01	(5.00000000e-04 7.50232578e-07 5.00000000e-01)	640	2.20710154e-07	(-3.28081024e-01 9.84980311e-01 5.00000000e-01)	208352
