# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
1               	1.00002181e+00	(-3.17746885e-01 5.18958002e-03 5.00000000e-01)	114785
2               	1.00003813e+00	(-3.17746885e-01 6.04452227e-03 5.00000000e-01)	117505
3               	1.00004935e+00	(-3.17746885e-01 6.62368706e-03 5.00000000e-01)	119137
4               	1.00005788e+00	(-3.17746885e-01 7.04030827e-03 5.00000000e-01)	120225
5               	1.00006471e+00	(-3.17746885e-01 7.25834501e-03 5.00000000e-01)	120769
6               	1.00007157e+00	(-3.17746885e-01 7.48313426e-03 5.00000000e-01)	121313
7               	1.00007809e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
8               	1.00008345e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
9               	1.00009009e+00	(-3.17746885e-01 7.95381327e-03 5.00000000e-01)	122401
10              	1.00009481e+00	(-3.17746885e-01 8.20014090e-03 5.00000000e-01)	122945
11              	1.00010141e+00	(-3.17746885e-01 8.20014090e-03 5.00000000e-01)	122945
12              	1.00010507e+00	(-3.17746885e-01 8.20014090e-03 5.00000000e-01)	122945
13              	1.00011137e+00	(-3.17746885e-01 8.45409721e-03 5.00000000e-01)	123489
14              	1.00011435e+00	(-3.17746885e-01 8.45409721e-03 5.00000000e-01)	123489
15              	1.00012108e+00	(-3.17746885e-01 8.71591845e-03 5.00000000e-01)	124033
16              	1.00012323e+00	(-3.17746885e-01 8.71591845e-03 5.00000000e-01)	124033
17              	1.00012920e+00	(-3.17746885e-01 8.98584820e-03 5.00000000e-01)	124577
18              	1.00013182e+00	(-3.17746885e-01 8.98584820e-03 5.00000000e-01)	124577
19              	1.00013795e+00	(-3.17746885e-01 9.26413758e-03 5.00000000e-01)	125121
20              	1.00014054e+00	(-3.17746885e-01 9.26413758e-03 5.00000000e-01)	125121
21              	1.00014408e+00	(-3.17746885e-01 9.55104548e-03 5.00000000e-01)	125665
22              	1.00014891e+00	(-3.17746885e-01 9.55104548e-03 5.00000000e-01)	125665
23              	1.00015199e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
24              	1.00015763e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
25              	1.00015820e+00	(-3.17746885e-01 9.84683881e-03 5.00000000e-01)	126209
26              	1.00016201e+00	(-3.17746885e-01 1.01517928e-02 5.00000000e-01)	126753
27              	1.00016701e+00	(-3.17746885e-01 1.01517928e-02 5.00000000e-01)	126753
28              	1.00016924e+00	(-3.17746885e-01 1.04661910e-02 5.00000000e-01)	127297
29              	1.00017426e+00	(-3.17746885e-01 1.04661910e-02 5.00000000e-01)	127297
30              	1.00017652e+00	(-3.17746885e-01 1.04661910e-02 5.00000000e-01)	127297
31              	1.00017734e+00	(-3.07735209e-01 1.04661910e-02 5.00000000e-01)	127298
32              	1.00018155e+00	(-3.17746885e-01 1.07903261e-02 5.00000000e-01)	127841
33              	1.00018630e+00	(-3.17746885e-01 1.07903261e-02 5.00000000e-01)	127841
34              	1.00018769e+00	(-3.07735209e-01 1.07903261e-02 5.00000000e-01)	127842
35              	1.00019188e+00	(-3.17746885e-01 1.11244995e-02 5.00000000e-01)	128385
36              	1.00019595e+00	(-3.17746885e-01 1.11244995e-02 5.00000000e-01)	128385
37              	1.00019711e+00	(-3.07735209e-01 1.11244995e-02 5.00000000e-01)	128386
38              	1.00019888e+00	(-3.07735209e-01 1.14690222e-02 5.00000000e-01)	128930
39              	1.00020110e+00	(-3.07735209e-01 1.14690222e-02 5.00000000e-01)	128930
40              	1.00020693e+00	(-3.17746885e-01 1.14690222e-02 5.00000000e-01)	128929
41              	1.00020882e+00	(-3.07735209e-01 1.14690222e-02 5.00000000e-01)	128930
42              	1.00021042e+00	(-3.07735209e-01 1.14690222e-02 5.00000000e-01)	128930
43              	1.00021269e+00	(-3.17746885e-01 1.18242146e-02 5.00000000e-01)	129473
44              	1.00021750e+00	(-3.17746885e-01 1.18242146e-02 5.00000000e-01)	129473
45              	1.00022045e+00	(-3.17746885e-01 1.18242146e-02 5.00000000e-01)	129473
46              	1.00022214e+00	(-3.07735209e-01 1.18242146e-02 5.00000000e-01)	129474
47              	1.00022425e+00	(-3.07735209e-01 1.21904072e-02 5.00000000e-01)	130018
48              	1.00022667e+00	(-3.07735209e-01 1.21904072e-02 5.00000000e-01)	130018
49              	1.00022924e+00	(-3.07735209e-01 1.21904072e-02 5.00000000e-01)	130018
50              	1.00023190e+00	(-3.07735209e-01 1.21904072e-02 5.00000000e-01)	130018
51              	1.00023458e+00	(-3.07735209e-01 1.21904072e-02 5.00000000e-01)	130018
52              	1.00023708e+00	(-3.07735209e-01 1.25679406e-02 5.00000000e-01)	130562
53              	1.00023972e+00	(-3.07735209e-01 1.25679406e-02 5.00000000e-01)	130562
54              	1.00024244e+00	(-3.07735209e-01 1.25679406e-02 5.00000000e-01)	130562
55              	1.00024518e+00	(-3.07735209e-01 1.25679406e-02 5.00000000e-01)	130562
56              	1.00024793e+00	(-3.07735209e-01 1.25679406e-02 5.00000000e-01)	130562
57              	1.00025066e+00	(-3.07735209e-01 1.25679406e-02 5.00000000e-01)	130562
58              	1.00025328e+00	(-3.07735209e-01 1.29571661e-02 5.00000000e-01)	131106
59              	1.00025598e+00	(-3.07735209e-01 1.29571661e-02 5.00000000e-01)	131106
60              	1.00025872e+00	(-3.07735209e-01 1.29571661e-02 5.00000000e-01)	131106
61              	1.00026145e+00	(-3.07735209e-01 1.29571661e-02 5.00000000e-01)	131106
62              	1.00026415e+00	(-3.07735209e-01 1.29571661e-02 5.00000000e-01)	131106
63              	1.00026682e+00	(-3.07735209e-01 1.29571661e-02 5.00000000e-01)	131106
64              	1.00026945e+00	(-3.07735209e-01 1.29571661e-02 5.00000000e-01)	131106
65              	1.00027191e+00	(-3.07735209e-01 1.29571661e-02 5.00000000e-01)	131106
66              	1.00027445e+00	(-3.07735209e-01 1.33584459e-02 5.00000000e-01)	131650
67              	1.00027707e+00	(-3.07735209e-01 1.33584459e-02 5.00000000e-01)	131650
68              	1.00027971e+00	(-3.07735209e-01 1.33584459e-02 5.00000000e-01)	131650
69              	1.00028236e+00	(-3.07735209e-01 1.33584459e-02 5.00000000e-01)	131650
70              	1.00028502e+00	(-3.07735209e-01 1.33584459e-02 5.00000000e-01)	131650
