# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(epsilon)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.50000000e-04	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.00000000e-02	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.10103941e-08	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
1               	6.38247095e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	8.32713533e-05	(1.72613976e+00 2.50000000e-07 5.00000000e-01)	518	6.33359414e-03	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.16951879e-14	(1.72613976e+00 2.50000000e-07 5.00000000e-01)	518
2               	8.15950100e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	4.51761483e-05	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1	4.13095613e-03	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.15023124e-14	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
3               	6.17317599e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.42633387e-05	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	2.77610305e-03	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	6.11566839e-15	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
4               	3.83478198e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.30266002e-05	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.92154735e-03	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	3.28226188e-15	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
5               	2.65374617e-08	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	6.99542846e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.36837744e-03	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.76302725e-15	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
6               	-9.83668381e-07	(-3.17746885e-01 7.50232578e-07 5.00000000e-01)	545	3.76032833e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	1.00083099e-03	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	9.48633818e-16	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
7               	-1.17562133e-05	(-3.17746885e-01 7.50232578e-07 5.00000000e-01)	545	2.02544464e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	7.50286477e-04	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	5.12007515e-16	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
8               	-2.31269903e-05	(-3.17746885e-01 7.50232578e-07 5.00000000e-01)	545	1.09494525e-06	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	5.75247581e-04	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	2.77795853e-16	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
9               	-3.54978589e-05	(-3.17746885e-01 7.50232578e-07 5.00000000e-01)	545	5.95621423e-07	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0	4.50088066e-04	(1.99463019e+00 9.84980311e-01 5.00000000e-01)	208895	1.52058088e-16	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
