# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(epsilon)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.00000000e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.02500000e-07	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	1.08487870e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	6.26572510e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.69114611e-03	(8.02553783e-03 2.05728518e-03 5.00000000e-01)	202	1.92278823e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
2               	2.03857981e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	1.18133566e-03	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.56882262e-02	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	8.27614726e-06	(1.17399414e+00 4.00664797e-04 5.00000000e-01)	83
3               	2.80680212e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	1.97249156e-03	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	4.06140979e-02	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	8.63055927e-06	(1.78898115e+00 4.00664797e-04 5.00000000e-01)	96
4               	3.39213727e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	2.66464128e-03	(1.90695483e+00 4.00664797e-04 5.00000000e-01)	98	8.76273279e-02	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.67234865e-06	(8.69799978e-01 4.00664797e-04 5.00000000e-01)	74
5               	3.87582872e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	3.20720856e-03	(1.38241599e+00 4.00664797e-04 5.00000000e-01)	88	1.37586229e-01	(1.90695483e+00 4.00664797e-04 5.00000000e-01)	98	7.31291251e-06	(6.16067280e-01 4.00664797e-04 5.00000000e-01)	64
6               	4.27041087e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	3.63992127e-03	(9.62144744e-01 4.00664797e-04 5.00000000e-01)	77	1.81680218e-01	(1.38241599e+00 4.00664797e-04 5.00000000e-01)	88	7.10931167e-06	(4.61685795e-01 4.00664797e-04 5.00000000e-01)	56
7               	4.57188074e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	3.98839741e-03	(7.33354481e-01 4.00664797e-04 5.00000000e-01)	69	2.19661945e-01	(9.62144744e-01 4.00664797e-04 5.00000000e-01)	77	6.99430096e-06	(3.68101954e-01 4.00664797e-04 5.00000000e-01)	50
8               	4.78367164e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	4.27195036e-03	(5.73900861e-01 4.00664797e-04 5.00000000e-01)	62	2.51950066e-01	(7.33354481e-01 4.00664797e-04 5.00000000e-01)	69	6.92967756e-06	(3.02099817e-01 4.00664797e-04 5.00000000e-01)	45
9               	4.92791816e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	4.50606163e-03	(4.61685795e-01 4.00664797e-04 5.00000000e-01)	56	2.79290482e-01	(5.73900861e-01 4.00664797e-04 5.00000000e-01)	62	6.89561819e-06	(2.56035867e-01 4.00664797e-04 5.00000000e-01)	41
10              	5.02497285e-03	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	4.70218778e-03	(3.82543562e-01 4.00664797e-04 5.00000000e-01)	51	3.02560710e-01	(4.61685795e-01 4.00664797e-04 5.00000000e-01)	56	6.88058411e-06	(2.15223262e-01 4.00664797e-04 5.00000000e-01)	37
11              	5.15606250e-03	(1.84777604e-02 4.00664797e-04 5.00000000e-01)	5	4.86919700e-03	(3.14513681e-01 4.00664797e-04 5.00000000e-01)	46	3.22527530e-01	(3.82543562e-01 4.00664797e-04 5.00000000e-01)	51	7.25079451e-06	(1.96867370e+00 1.21537301e-03 5.00000000e-01)	199
12              	5.31421049e-03	(1.84777604e-02 4.00664797e-04 5.00000000e-01)	5	5.01382380e-03	(2.67034535e-01 4.00664797e-04 5.00000000e-01)	42	3.39862195e-01	(3.14513681e-01 4.00664797e-04 5.00000000e-01)	46	8.00566134e-06	(1.67793547e+00 1.21537301e-03 5.00000000e-01)	194
13              	5.44246212e-03	(1.84777604e-02 4.00664797e-04 5.00000000e-01)	5	5.14163594e-03	(2.35012260e-01 4.00664797e-04 5.00000000e-01)	39	3.55116163e-01	(2.67034535e-01 4.00664797e-04 5.00000000e-01)	42	8.67351360e-06	(1.42801977e+00 1.21537301e-03 5.00000000e-01)	189
14              	5.56188961e-03	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	5.25903579e-03	(1.96596372e-01 4.00664797e-04 5.00000000e-01)	35	3.68781242e-01	(2.35012260e-01 4.00664797e-04 5.00000000e-01)	39	9.26298607e-06	(1.25359959e+00 1.21537301e-03 5.00000000e-01)	185
15              	5.66760139e-03	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	5.37261193e-03	(1.70686804e-01 4.00664797e-04 5.00000000e-01)	32	3.81483737e-01	(1.96596372e-01 4.00664797e-04 5.00000000e-01)	35	9.78652045e-06	(1.13596202e+00 1.21537301e-03 5.00000000e-01)	182
16              	5.74719440e-03	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	5.49163498e-03	(1.39604096e-01 4.00664797e-04 5.00000000e-01)	28	3.93908223e-01	(1.70686804e-01 4.00664797e-04 5.00000000e-01)	32	1.02537276e-05	(1.02853319e+00 1.21537301e-03 5.00000000e-01)	179
17              	5.80775588e-03	(2.59920659e-02 4.00664797e-04 5.00000000e-01)	7	5.62885097e-03	(1.18640386e-01 4.00664797e-04 5.00000000e-01)	25	4.07070220e-01	(1.39604096e-01 4.00664797e-04 5.00000000e-01)	28	1.06794661e-05	(9.62144744e-01 1.21537301e-03 5.00000000e-01)	177
18              	5.87202682e-03	(2.59920659e-02 4.00664797e-04 5.00000000e-01)	7	5.78998177e-03	(9.94959316e-02 4.00664797e-04 5.00000000e-01)	22	4.22421937e-01	(1.18640386e-01 4.00664797e-04 5.00000000e-01)	25	1.10725521e-05	(9.30427152e-01 1.21537301e-03 5.00000000e-01)	176
19              	5.90289259e-03	(2.59920659e-02 4.00664797e-04 5.00000000e-01)	7	5.96778952e-03	(8.76651182e-02 4.00664797e-04 5.00000000e-01)	20	4.40689429e-01	(9.94959316e-02 4.00664797e-04 5.00000000e-01)	22	1.14355635e-05	(8.69799978e-01 1.21537301e-03 5.00000000e-01)	174
20              	5.95278376e-03	(2.99232349e-02 4.00664797e-04 5.00000000e-01)	8	6.14640952e-03	(8.20128557e-02 4.00664797e-04 5.00000000e-01)	19	4.61144555e-01	(8.76651182e-02 4.00664797e-04 5.00000000e-01)	20	1.17699007e-05	(8.12733129e-01 1.21537301e-03 5.00000000e-01)	172
