# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell	processor
0               	1.00000000e+00	(-2.84388080e-01 1.07261342e-01 5.00000000e-01)	0	15
1               	1.00007401e+00	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	215	4
2               	1.00015503e+00	(1.96867370e+00 2.15425256e-02 5.00000000e-01)	75	5
3               	1.00027160e+00	(1.96867370e+00 2.79366503e-02 5.00000000e-01)	187	5
4               	1.00040065e+00	(1.96867370e+00 3.72061836e-02 5.00000000e-01)	327	5
5               	1.00053227e+00	(1.96867370e+00 4.81301748e-02 5.00000000e-01)	467	5
6               	1.00065854e+00	(1.96867370e+00 5.55994611e-02 5.00000000e-01)	80	1
7               	1.00077690e+00	(1.90695483e+00 1.46452811e-02 5.00000000e-01)	403	4
8               	1.00088825e+00	(1.90695483e+00 1.46452811e-02 5.00000000e-01)	403	4
9               	1.00099104e+00	(1.90695483e+00 1.59356319e-02 5.00000000e-01)	430	4
10              	1.00108734e+00	(1.90695483e+00 1.72690689e-02 5.00000000e-01)	457	4
11              	1.00117961e+00	(1.90695483e+00 1.72690689e-02 5.00000000e-01)	457	4
12              	1.00127035e+00	(1.90695483e+00 1.72690689e-02 5.00000000e-01)	457	4
13              	1.00136041e+00	(1.90695483e+00 2.15425256e-02 5.00000000e-01)	74	5
14              	1.00145089e+00	(1.90695483e+00 2.46346160e-02 5.00000000e-01)	130	5
15              	1.00154104e+00	(1.90695483e+00 2.79366503e-02 5.00000000e-01)	186	5
16              	1.00163020e+00	(1.90695483e+00 3.14628829e-02 5.00000000e-01)	242	5
17              	1.00171852e+00	(1.90695483e+00 3.33147911e-02 5.00000000e-01)	270	5
18              	1.00180487e+00	(1.90695483e+00 3.72061836e-02 5.00000000e-01)	326	5
19              	1.00189348e+00	(1.90695483e+00 3.92498666e-02 5.00000000e-01)	354	5
20              	1.00198413e+00	(1.90695483e+00 4.13617903e-02 5.00000000e-01)	382	5
21              	1.00207725e+00	(1.90695483e+00 4.13617903e-02 5.00000000e-01)	382	5
22              	1.00216992e+00	(1.90695483e+00 4.35442333e-02 5.00000000e-01)	410	5
23              	1.00226417e+00	(1.73261832e+00 1.21883140e-02 5.00000000e-01)	346	4
24              	1.00236103e+00	(1.73261832e+00 9.88756135e-03 5.00000000e-01)	292	4
25              	1.00245668e+00	(1.73261832e+00 9.88756135e-03 5.00000000e-01)	292	4
26              	1.00255188e+00	(1.73261832e+00 9.88756135e-03 5.00000000e-01)	292	4
27              	1.00264760e+00	(1.73261832e+00 9.88756135e-03 5.00000000e-01)	292	4
28              	1.00274420e+00	(1.73261832e+00 1.10190470e-02 5.00000000e-01)	319	4
29              	1.00284083e+00	(1.73261832e+00 1.10190470e-02 5.00000000e-01)	319	4
30              	1.00293513e+00	(1.73261832e+00 1.10190470e-02 5.00000000e-01)	319	4
31              	1.00302590e+00	(1.73261832e+00 1.10190470e-02 5.00000000e-01)	319	4
32              	1.00311401e+00	(1.78898115e+00 1.10190469e-02 5.00000000e-01)	320	4
33              	1.00320047e+00	(1.78898115e+00 1.10190469e-02 5.00000000e-01)	320	4
34              	1.00328538e+00	(1.78898115e+00 1.10190469e-02 5.00000000e-01)	320	4
35              	1.00336731e+00	(1.78898115e+00 1.21883140e-02 5.00000000e-01)	347	4
36              	1.00344529e+00	(1.78898115e+00 1.21883140e-02 5.00000000e-01)	347	4
37              	1.00351810e+00	(1.78898115e+00 1.21883140e-02 5.00000000e-01)	347	4
38              	1.00358515e+00	(1.78898115e+00 1.21883140e-02 5.00000000e-01)	347	4
39              	1.00364727e+00	(1.78898115e+00 1.21883140e-02 5.00000000e-01)	347	4
40              	1.00370482e+00	(1.78898115e+00 1.21883140e-02 5.00000000e-01)	347	4
41              	1.00375696e+00	(1.78898115e+00 1.21883140e-02 5.00000000e-01)	347	4
42              	1.00380211e+00	(1.78898115e+00 1.21883140e-02 5.00000000e-01)	347	4
43              	1.00384149e+00	(1.78898115e+00 1.33966242e-02 5.00000000e-01)	374	4
