# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	processor	min(k)	location	cell	processor	min(epsilon)	location	cell	processor	min(nut)	location	cell	processor
0               	0.00000000e+00	(-2.84388080e-01 1.07261342e-01 5.00000000e-01)	0	15	1.50000000e-04	(-2.84388080e-01 1.07261342e-01 5.00000000e-01)	0	15	1.00000000e-02	(-2.84388080e-01 1.07261342e-01 5.00000000e-01)	0	15	2.02500000e-07	(-2.84388080e-01 1.07261342e-01 5.00000000e-01)	0	15
1               	7.94190873e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	8.80919595e-05	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	161	15	1.83761161e-03	(4.24563479e-02 4.00664797e-04 5.00000000e-01)	7	10	1.30783818e-07	(-2.84388080e-01 9.10418368e-01 5.00000000e-01)	160	15
2               	1.30379293e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	5.32197809e-05	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	161	15	2.19726024e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	11	9.03363233e-08	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	161	15
3               	1.77830730e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	3.26481107e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.51330233e-03	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	6.33917757e-08	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0
4               	2.08565455e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	2.03165439e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	8.19184636e-04	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	4.53482333e-08	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0
5               	2.28338334e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.29091525e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	4.48096836e-04	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	3.34708002e-08	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0
6               	2.37429211e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	8.39844801e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	2.48207339e-04	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	2.55756080e-08	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0
7               	1.48495188e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	5.61105521e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.39061771e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	11	2.02998825e-08	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0
8               	5.06218442e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	3.86150400e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	7.99483462e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.67859530e-08	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0
9               	-4.01184953e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	2.74524920e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	4.68107853e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.44897245e-08	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0
10              	-1.19881126e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	2.02088285e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	2.81372893e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.30629881e-08	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0
11              	-1.90922152e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	1.54261783e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.74408592e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.22798009e-08	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0
12              	-2.53985037e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	1.22129205e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.11962952e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.19896699e-08	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0
13              	-3.08962793e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	1.00166039e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	7.47021980e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.15502733e-08	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	134	4
14              	-3.57301758e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	8.49045415e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	5.19132725e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.15632047e-08	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	134	4
15              	-4.05080572e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	7.41398582e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	3.75914684e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.25409721e-08	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	161	4
16              	-4.60206815e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	6.64515862e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	2.83271152e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.01776799e-08	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	161	4
17              	-5.23479269e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	6.09116343e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	2.21547302e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	6.92917311e-09	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	161	4
18              	-5.86749393e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	5.69039442e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.79212183e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	5.03076590e-09	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	161	4
19              	-6.38894055e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	5.40123813e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.49362688e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	4.38833439e-09	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	161	4
20              	-6.78509394e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	5.19505643e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.27772423e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	4.36634067e-09	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	161	4
21              	-7.17936116e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	5.05176024e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	1.11791272e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	5.23080532e-09	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	161	4
22              	-7.69042075e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	4.95698753e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	9.97164176e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	7.15700524e-09	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	161	4
23              	-8.36948517e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	4.90027913e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	9.04269192e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	6.31749740e-09	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	188	4
24              	-9.09726354e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	4.87388051e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	8.31673825e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	4.38097202e-09	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	188	4
25              	-9.71801585e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	4.87194149e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	7.74172603e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	3.54128565e-09	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	188	4
26              	-1.01410284e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4	4.88997294e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	7.28102022e-07	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	466	0	3.38735511e-09	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	188	4
