# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell	processor
0               	1.00000000e+00	(-2.84388080e-01 1.07261342e-01 5.00000000e-01)	0	15
1               	9.22554718e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
2               	8.95818424e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
3               	8.22197762e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
4               	7.52533724e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
5               	6.79720498e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
6               	6.14522059e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
7               	5.60437583e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
8               	5.18891915e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
9               	4.88952349e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
10              	4.68076061e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
11              	4.53210915e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
12              	4.41960713e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
13              	4.33099322e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
14              	4.26241586e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
15              	4.21153180e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
16              	4.17322707e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
17              	4.14037281e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
18              	4.10763623e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
19              	4.07430619e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
20              	4.04334533e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
21              	4.01796272e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
22              	3.99941731e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
23              	3.98623497e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
24              	3.97526227e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
25              	3.96403414e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
26              	3.95223242e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
27              	3.94120352e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
28              	3.93252924e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
29              	3.92702080e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
30              	3.92428033e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
31              	3.92306981e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
32              	3.92226495e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
33              	3.92151285e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
34              	3.92117021e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
35              	3.92183577e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
36              	3.92388997e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
37              	3.92726267e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
38              	3.93156049e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
39              	3.93639369e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
40              	3.94160368e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
41              	3.94726490e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
42              	3.95354963e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
43              	3.96056802e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
44              	3.96829688e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
45              	3.97662671e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
46              	3.98545386e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
47              	3.99473991e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
48              	4.00451033e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
49              	4.01481383e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
50              	4.02567827e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
51              	4.03710013e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
52              	4.04905988e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
53              	4.06154266e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
54              	4.07455040e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
55              	4.08809713e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
56              	4.10219688e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
57              	4.11685677e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
58              	4.13207697e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
59              	4.14785445e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
60              	4.16418572e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
61              	4.18106686e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
62              	4.19849102e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
63              	4.21644727e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
64              	4.23492021e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
65              	4.25389099e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
66              	4.27333942e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
67              	4.29324330e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
68              	4.31357828e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
69              	4.33431832e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
70              	4.35543647e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
71              	4.37690512e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
72              	4.39869609e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
73              	4.42078036e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
74              	4.44312898e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
75              	4.46571282e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
76              	4.48850244e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
77              	4.51146786e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
78              	4.53457923e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
79              	4.55780670e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
80              	4.58112015e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
81              	4.60448939e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
82              	4.62788342e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
83              	4.65127117e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	26	4
